candidate_id,block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff
hexc_00074,75,113195507,113182659,12848,113183160,501,-6179.551635421177,-6185.567531398963,6.015895977786386,6.015895977786386
hexc_00074,75,113195507,113182659,12848,113183316,657,-6240.075076012248,-6305.633058936876,65.55798292462805,65.55798292462805
hexc_00074,75,113195507,113182659,12848,113183520,861,-6365.179516337725,-6462.641825717224,97.46230937949895,97.46230937949895
hexc_00074,75,113195507,113182659,12848,113183787,1128,-6588.370829515866,-6668.138594003267,79.76776448740111,79.76776448740111
hexc_00074,75,113195507,113182659,12848,113184137,1478,-6757.493730592136,-6937.516380146021,180.02264955388546,180.02264955388546
hexc_00074,75,113195507,113182659,12848,113184596,1937,-7164.14250683428,-7290.786105401803,126.64359856752344,126.64359856752344
hexc_00074,75,113195507,113182659,12848,113185197,2538,-7559.802955992978,-7753.346246749789,193.54329075681107,193.54329075681107
hexc_00074,75,113195507,113182659,12848,113185985,3326,-8213.983317816757,-8359.83109097976,145.84777316300278,145.84777316300278
hexc_00074,75,113195507,113182659,12848,113187017,4358,-9133.230201841308,-9154.110734692109,20.88053285080059,20.88053285080059
hexc_00074,75,113195507,113182659,12848,113188369,5710,-10107.441440288374,-10194.678640020687,87.23719973231346,87.23719973231346
hexc_00074,75,113195507,113182659,12848,113190141,7482,-11764.959029513646,-11558.499888720573,-206.45914079307295,206.45914079307295
hexc_00074,75,113195507,113182659,12848,113192464,9805,-13290.747131960105,-13346.398737890906,55.65160593080145,55.65160593080145
hexc_00074,75,113195507,113182659,12848,113195507,12848,-15688.446175697762,-15688.446175697762,0.0,0.0
hexc_00075,76,2879,2878,1,2878,0,-25.51046833492285,-25.51046833492285,0.0,0.0
hexc_00075,76,2879,2878,1,2879,1,-33.152316560535034,-33.152316560535034,0.0,0.0
hexc_00076,77,39674417,39673239,1178,39673239,0,-3389.708569071312,-3389.708569071312,0.0,0.0
hexc_00076,77,39674417,39673239,1178,39673240,1,-3389.564857931312,-3390.334929534561,0.7700716032491073,0.7700716032491073
hexc_00076,77,39674417,39673239,1178,39673241,2,-3389.241507866312,-3390.9612899978097,1.7197821314975954,1.7197821314975954
hexc_00076,77,39674417,39673239,1178,39673242,3,-3389.240117487102,-3391.5876504610587,2.3475329739567314,2.3475329739567314
hexc_00076,77,39674417,39673239,1178,39673243,4,-3406.412954960684,-3392.2140109243073,-14.198944036376815,14.198944036376815
hexc_00076,77,39674417,39673239,1178,39673244,5,-3406.412954960684,-3392.8403713875564,-13.572583573127758,13.572583573127758
hexc_00076,77,39674417,39673239,1178,39673245,6,-3406.0896048956843,-3393.466731850805,-12.62287304487927,12.62287304487927
hexc_00076,77,39674417,39673239,1178,39673247,8,-3405.6225436906843,-3394.719452777303,-10.90309091338122,10.90309091338122
hexc_00076,77,39674417,39673239,1178,39673248,9,-3405.616391965309,-3395.3458132405517,-10.270578724757343,10.270578724757343
