rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_end,C_best,C_gap,E_end_over_h,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,best_residual_fraction,slope_gap_abs,intercept_gap_abs,pythagorean_abs_error
best_residual_fraction,16,hexc_00028,29,3456977,3455716,1261,3456977,finite_negative,False,False,False,True,4.627711351383401,2.453832452521241,3.9235721793637635,21.415712351722785,6.02129370504641,15.39441864667731,0.00045714035807738976,0.0001285306935023629,0.010889821740866723,20.592510411884405,
best_residual_fraction,17,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,3.8932817375441644,3.5576645063146755,1.5813494074376655,15.157642687894906,12.656976739491244,2.500665948403456,0.00015270097539979443,0.00012750879101249224,0.0009537870633524737,21.68075716053363,
best_residual_fraction,18,hexc_00029,30,4994789,4991760,3029,4994789,finite_negative,False,False,False,True,2.602404479570238,2.1010219220669124,1.5356483836744221,6.7725090752872426,4.414293117005743,2.358215958281865,0.00019400084892647022,0.000126448942716709,0.016002431067257183,1.3967010602500523,
best_residual_fraction,19,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.555703716286487,3.5583005624841273,5.505973875960289,42.977251215732466,12.661502892974855,30.315748322757173,0.00039978059635265055,0.00011777912812212016,0.023378803045690955,15.920190263388918,
best_residual_fraction,20,hexc_00054,55,12895717,12894136,1581,12895717,finite_negative,False,False,False,True,4.173567953245754,3.506241972803063,2.2638323013231196,17.418669460359947,12.293732771845916,5.124936688513932,0.00015891694966435195,0.00011216026095084185,0.01987867299532642,8.13774952485278,
best_residual_fraction,21,hexc_00039,40,30417481,30409154,8327,30417481,finite_negative,False,False,False,True,3.92485530174517,3.032649072721169,2.4914912685701287,15.40448913963717,9.196960398276564,6.20752874136119,0.00018634179473541563,0.0001112518624402603,0.012146435911368991,16.913722484806385,
best_residual_fraction,22,hexc_00041,42,7117417,7115469,1948,7117417,finite_negative,False,False,False,True,4.735639977082937,2.5794923473327707,3.9714613459781187,22.42628599254608,6.653780769948327,15.772505222598332,0.0003621431164998395,0.00010744627555970189,0.019054065157119382,21.68546457025127,
best_residual_fraction,23,hexc_00112,113,30784249,30783029,1220,30784249,finite_negative,False,False,False,True,5.703211321141049,5.462188142709623,1.6404633696716058,32.52661937359144,29.835499306357605,2.6911200672343196,0.00011340296590874124,0.00010402046618641763,0.028748247298368557,1.2044602147625483,
best_residual_fraction,24,hexc_00074,75,113195507,113182659,12848,113195507,finite_negative,False,False,False,True,3.9103329374911073,3.8518043799418242,0.6740227746067861,15.290703682027832,14.83639698133902,0.45430670068863027,9.384499837790035e-05,9.10567413770586e-05,0.0023241487778806746,6.9020855685948845,
best_residual_fraction,25,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,4.9381612598933655,3.7473615742145925,3.216009617649237,24.385436628711634,14.042718767900068,10.342717860812392,0.00015172443417858675,8.737278695596712e-05,0.028244306607341008,6.446846595234547,
slope_gap_abs,1,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.38923518106439,6.071104017630254,4.212183824121211,54.6007965610797,36.85830399288621,17.74249256818839,5.261093137005674e-06,3.5515044173708654e-06,1.4361630502789637,2.859494676966733,
slope_gap_abs,2,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896997,6.037917219644655,4.1892031228576885,54.00586715584355,36.456444351281434,17.549422804560606,5.094887652269624e-06,3.439283506642126e-06,1.4283136157444813,2.8437958008044006,
slope_gap_abs,3,hexc_00679,680,604864891,604864888,3,604865039,post_P0_positive_tail,True,False,False,False,5.415322561869612,5.137426068001821,1.7124753559982586,29.325718449094058,26.39314660418465,2.932571844901363,1.426900148785597e-07,1.2842101339070372e-07,1.3264777069141918,1.9897165595448314,
slope_gap_abs,4,hexc_00607,608,604715329,604715326,3,604715411,post_P0_positive_tail,True,False,False,False,5.415255256501799,5.137362216523037,1.712454072174737,29.32498949307036,26.392490543758495,2.9324989493078397,1.3989593525318847e-07,1.2590634172784658e-07,1.326461220535153,1.9896918299800745,
slope_gap_abs,5,hexc_00452,453,180641719,180641716,3,180641999,finite_positive,False,False,False,True,5.086413380313377,4.825395420884192,1.608465140294065,25.87160107543095,23.284440967890124,2.5871601075412065,4.0721480686391063e-07,3.664933261775553e-07,1.2459117402629118,1.868867607629909,
slope_gap_abs,6,hexc_00485,486,179621503,179621500,3,179621809,finite_positive,False,False,False,True,5.084871905346888,4.823933049329003,1.6079776831100983,25.85592229378609,23.270330064408615,2.58559222938012,4.112856511579996e-07,3.701570860422177e-07,1.2455341575517291,1.8683012335468447,
slope_gap_abs,7,hexc_00410,411,179435749,179435746,3,179436077,finite_positive,False,False,False,True,5.084590302121457,4.823665897052712,1.6078886323501604,25.853058540427572,23.267752686389347,2.5853058540408695,4.1342006685402995e-07,3.720780601686994e-07,1.2454651791296545,1.8681977659098266,
slope_gap_abs,8,hexc_00558,559,179412619,179412616,3,179412683,finite_positive,False,False,False,True,5.084555216613337,4.82363261201692,1.6078775373387777,25.8527017507899,23.267431575713175,2.5852701750786125,4.201510210908507e-07,3.7813591898180244e-07,1.2454565849708725,1.868184874670078,
slope_gap_abs,9,hexc_00369,370,179411671,179411668,3,179411909,finite_positive,False,False,False,True,5.084553778511842,4.823631247713816,1.6078770825699804,25.852687126579053,23.26741841392115,2.5852687126537517,3.9959985007064947e-07,3.596398650635846e-07,1.2454562327084382,1.8681843462754841,
slope_gap_abs,10,hexc_00519,520,179378389,179378386,3,179378513,finite_positive,False,False,False,True,5.084503285400544,4.823583345742461,1.6078611152463127,25.852173659248923,23.26695629332403,2.585217365921116,4.041431273182276e-07,3.637288145864048e-07,1.2454438644727173,1.8681657939241632,
slope_gap_abs,11,hexc_00349,350,178894801,178894798,3,178894987,finite_positive,False,False,False,True,5.083768560798666,4.822886324783523,1.6076287749277627,25.844702779764944,23.260232501783918,2.5844702779757394,4.1498549452269455e-07,3.7348694507035236e-07,1.2452638944358316,1.8678958388591127,
