scope,rows,Qmax,Qmean,Qmedian,Q95,Q99,pass_Q_le_1_frac,pass_Q_le_0p75_frac,pass_Q_le_0p5_frac,pass_Q_le_0p25_frac,theta_local_norm_max,theta_local_norm_median,median_h,median_p_star,best_k4_corr_proxy_median,worst_block_id,worst_p_star,worst_h
pstar_mod_30:19,135,0.1069835705399953,0.05988057590108888,0.0581434284620721,0.07421673945016016,0.09329602592160553,1.0,1.0,1.0,1.0,0.0927057894159821,0.054345711967931,1.0,33919969.0,0.0012046487125257,86,15859,1
y_mod_30:18,128,0.1069835705399953,0.05919951961339477,0.0580445778327761,0.07172986510809624,0.08982635535929073,1.0,1.0,1.0,1.0,0.0927057894159821,0.05434589512245585,1.0,33917808.0,0.00120448283285055,86,15859,1
y_mod_30:10,197,0.0944180902326222,0.05992344252538419,0.0578255929598368,0.0821701875887822,0.09220500740484529,1.0,1.0,1.0,1.0,0.0828006431181152,0.0538910486054268,1.0,40836461.0,0.001183110068383,26,230647,3
pstar_mod_30:11,185,0.0923670994574258,0.058574713957053735,0.0572224328808061,0.07654595107589793,0.09195023920597126,1.0,1.0,1.0,1.0,0.0828006431181152,0.0538032918185222,1.0,40882901.0,0.0011790731414504,20,58511,1
h:65<=h<=256,3,0.0899443884131837,0.06879675941471909,0.0588053295328899,0.08683048252515431,0.08932160723557782,1.0,1.0,1.0,1.0,0.0186420686144074,0.0067422977497207,205.0,39635819.0,-0.0017949287253072,14,1195669,205
y_mod_30:15,8,0.0841518906254193,0.061173861481664885,0.05678874964009,0.08012919990342138,0.08334735248101972,1.0,1.0,1.0,1.0,0.0612390577643984,0.0481890172717445,4.0,69928860.0,0.002650251489705,190,31026421,446
y_mod_30:8,2,0.0805833243274027,0.07361996041164125,0.07361996041164125,0.07988698793582655,0.08044405704908747,1.0,1.0,1.0,1.0,0.0097158401781245,0.0049823170945151995,476.0,36764751.0,-0.0021123058168592,194,33878389,605
h:5<=h<=16,6,0.0730965487832678,0.06564756182004271,0.0655756453463309,0.07148838795315401,0.07277491661724504,1.0,1.0,1.0,1.0,0.0581191865376321,0.054422730431355246,10.5,30584070.0,0.0008206724451004499,60,3291137,8
y_mod_30:5,2,0.0730965487832678,0.06681564985007629,0.06681564985007629,0.07246845888994864,0.07297093080460397,1.0,1.0,1.0,1.0,0.0581191865376321,0.05247559307685725,11.0,56381154.0,0.0015800795872513498,60,3291137,8
y_mod_30:29,1,0.0675855848506355,0.0675855848506355,0.0675855848506355,0.0675855848506355,0.0675855848506355,1.0,1.0,1.0,1.0,0.002382998470945,0.002382998470945,332.0,12776941.0,-0.0025615908665235,175,12776941,332
y_mod_30:11,1,0.0668106572193494,0.0668106572193494,0.0668106572193494,0.0668106572193494,0.0668106572193494,1.0,1.0,1.0,1.0,0.0021817902997086,0.0021817902997086,350.0,30851287.0,-0.0013184163326407,179,30851287,350
scale:100M<=p<500M,475,0.0638594994842023,0.05403519666779102,0.0537885048618473,0.05526986735835676,0.06280355223090758,1.0,1.0,1.0,1.0,0.0573481948942701,0.0510386540780064,1.0,177978791.0,0.0010564687778851,327,109497203,3
y_mod_30:27,7,0.0636678531151053,0.05713421137567346,0.0585493445209605,0.0627849397139295,0.06349127043487014,1.0,1.0,1.0,1.0,0.0553511856398291,0.0510239841549303,4.0,33862799.0,0.0030205006904872,232,7103387,4
y_mod_30:21,1,0.0624388750646292,0.0624388750646292,0.0624388750646292,0.0624388750646292,0.0624388750646292,1.0,1.0,1.0,1.0,0.0461690329162983,0.0461690329162983,16.0,12808469.0,0.0016935779284314,246,12808469,16
y_mod_30:14,1,0.0588053295328899,0.0588053295328899,0.0588053295328899,0.0588053295328899,0.0588053295328899,1.0,1.0,1.0,1.0,0.0059596707112021,0.0059596707112021,218.0,39635819.0,-0.0015747604972131,199,39635819,218
tail:True,120,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.05045060587909455,0.056234009578331016,1.0,1.0,1.0,1.0,0.0528697920195814,0.0470095833001131,1.0,604692413.0,0.00088572546155995,680,604865039,3
scale:p>=500M,120,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.05045060587909455,0.056234009578331016,1.0,1.0,1.0,1.0,0.0528697920195814,0.0470095833001131,1.0,604692413.0,0.00088572546155995,680,604865039,3
y_mod_30:9,5,0.0583129230101737,0.05516893998205237,0.0537613436683464,0.05814167312648892,0.05827867303343674,1.0,1.0,1.0,1.0,0.0510536577711306,0.0470862129848647,4.0,178907011.0,0.0025145046978443,255,33472553,4
y_mod_30:7,1,0.0576405602980837,0.0576405602980837,0.0576405602980837,0.0576405602980837,0.0576405602980837,1.0,1.0,1.0,1.0,0.0186420686144074,0.0186420686144074,128.0,40846543.0,-0.0017949287253072,241,40846543,128
