extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_exc,Q_energy_L2,Q_energy_RMS,kappa_L2,kappa_RMS,bridge_argmax_location_fraction,threshold_relevant_flag,forbidden_flag,finite_certified_flag,threshold_relevance_non_surviving_flag,energy_L2_above_0p025_flag,high_energy_harmless_flag,harmful_concentration_flag
top_Q_energy_L2,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0155337822934355,0.0245850448951147,0.0086921259805556,0.6318386791525534,1.7871096585788993,0.5714285714285714,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00198,199,39635782,39635564,218,39635819,positive,finite_positive,0.0588053295328899,0.0085391222223537,0.0235535603972833,0.0039812783567538,0.36254061289768374,2.1448191905165386,0.12844036697247707,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00174,175,12776941,12776609,332,12776941,positive,finite_positive,0.0675855848506355,0.0075023689938937,0.0231134130828272,0.0038522355138045,0.3245894047326056,1.9475364283956504,0.608433734939759,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00071,72,12843647,12843190,457,12843647,negative,finite_negative,0.0679786634633438,0.0081632419242064,0.0226473860254771,0.0038281069315822,0.3604496304793493,2.132448771704619,0.29321663019693656,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0157384918917144,0.0221562198206484,0.0099085627286796,0.7103419274188179,1.5883728369766992,0.25,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00275,276,108562160,108561847,313,108562291,negative,finite_negative,0.0551202378966553,0.0091059828634137,0.0219576117786852,0.0038223295888187,0.4147073440952765,2.382312318134744,0.4984025559105431,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00055,56,1511449,1511046,403,1511527,positive,finite_positive,0.0952884508457212,0.007718928919738,0.021936891056258,0.0037080113623424,0.35186977498053446,2.081689662046194,0.3176178660049628,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00173,174,30825511,30824836,675,30825511,negative,finite_negative,0.0784523836661713,0.0110815667281192,0.0218196897816464,0.0036366149636077,0.5078700402716285,3.0472202416297995,0.27111111111111114,False,False,True,True,False,False,False
top_kappa_L2,hexc_00027,28,109670797,109660803,9994,109670797,negative,finite_negative,0.2345732370876761,0.0098010101179576,0.0120697134740987,0.0019083892641887,0.8120333708824421,5.135749976105757,0.7686611967180308,False,False,True,True,False,False,False
top_kappa_L2,hexc_00110,111,30780011,30777698,2313,30780011,negative,finite_negative,0.1309387070981607,0.0072627341203376,0.0092402141775634,0.001461006143444,0.7859919673693915,4.9710496789680185,0.8015564202334631,False,False,True,True,False,False,False
