rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,E_end_over_h,C_end,endpoint_residual_abs_max,residual_kappa,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,ddR_sq_over_h,distance_to_mean_template,ratio_E_end_to_h4_ddR_sq
E_end_over_h,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,44.28904182928211,6.655001264408754,9.447315099767366,0.7097906314677979,26.43856020875291,17.850481620545494,7.448955074200035e-07,,,
E_end_over_h,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,44.28886413326652,6.654987913833241,9.447296218789234,0.709790636820829,26.43845386248085,17.850410270786504,7.612323883255991e-07,,,
E_end_over_h,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,44.27285143166415,6.653784744915043,9.44559464377562,0.7097911193320563,26.428870695008715,17.843980736668392,7.690564429438081e-07,,,
E_end_over_h,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,42.97725121573247,6.555703716286487,40.1850159934861,0.3165404344986905,12.661502892974855,30.315748322757173,0.0003997805963526,,,
E_end_over_h,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,42.09537763075,6.488095069490736,85.60944577509645,0.5078700402716325,23.805987239538,18.28939039121296,8.866595523415045e-05,,,
E_end_over_h,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,42.091371128218206,6.487786304142439,104.27347431840008,0.4518892862356673,20.79100964997896,21.3003614782426,2.7773637107415584e-05,,,
E_end_over_h,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,42.01752080974671,6.482092317280486,9.20277943201654,0.7098617993670828,25.079161840784288,16.938358968968284,1.1772522978111863e-06,,,
E_end_over_h,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,41.980707369547154,6.479252068684097,9.198762621303104,0.7098629999103682,25.0571315025788,16.923575866981786,1.153044944529206e-06,,,
C_end,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,73.62931311610959,8.580752479596972,18.50388997128084,0.5980892364862637,43.78193585251833,29.84737726359048,9.861270095805125e-06,,,
C_end,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,64.13704142037176,8.008560508628985,76.23714683878279,0.3437276677689038,25.237480767773157,38.89956065262014,8.378008990139962e-06,,,
C_end,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,59.29000543512908,7.700000352930452,71.15483103322367,0.3328024061732526,15.370701986648015,43.91930344849154,7.786089605810606e-06,,,
C_end,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,56.50973597641633,7.517295788807058,55.15381198050545,0.41470734409527704,28.959926598778548,27.549809377640567,1.8522158874289463e-05,,,
C_end,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,55.32747455760799,7.438244050688844,64.68278396224969,0.3912504100723178,14.985154644742488,40.34231991286319,0.0001905539623356,,,
C_end,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,54.6007965610797,7.38923518106439,12.35249588295892,0.6318386791525418,36.85830399288621,17.74249256818839,5.261093137005674e-06,,,
C_end,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,54.00586715584355,7.348868426896997,12.28521502684498,0.6318489532934979,36.45644435128144,17.549422804560606,5.094887652269624e-06,,,
C_end,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,51.97483561645937,7.209357503721075,38.59059490648997,0.36254061289768497,21.09152818361997,30.88330743284049,2.945504504656541e-05,,,
C_end,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,50.81680635690252,7.12859076935284,50.44514412859007,0.3306609767602321,18.0750450189864,32.741761337916,0.0013147173309265,,,
C_end,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,50.20658843787949,7.085660762263424,10.056372108580035,0.7096283921845317,29.98033535342825,20.226253084497003,2.594248423585902e-07,,,
C_end,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,47.732209098918574,6.908850056190145,65.83835952501795,0.3420915708587609,12.331348394980049,35.400860703944744,3.3288283699061934e-05,,,
C_end,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,47.12482161579511,6.864752116121537,13.100680718981152,0.6747206612745972,24.69461226479452,22.43020935100241,4.0678337800586574e-05,,,
