metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,product_actual,rayleigh_over_h,weight_l2_sq,event_count,sample_count
weight_l2_sq,19,hexc_00027,28,109670797,9994,False,172050.0701267297,17.10438326742069,17.10438326742069,9.941514847870646e-05,172050.0701267297,502,40
weight_l2_sq,20,hexc_00127,128,187449539,9358,False,170999.7579549638,11.353153142896916,11.353153142896915,6.639280241488409e-05,170999.7579549638,472,39
rayleigh_over_h_times_16,1,hexc_00059,60,3291137,8,False,1.1250001754857295,47.5033278218918,47.50332782189178,0.0703125109678581,675.6027791925528,3,9
rayleigh_over_h_times_16,2,hexc_00032,33,1197697,4,False,1.0000001193198191,24.485463076576707,24.48546307657668,0.0625000074574887,391.767362479616,2,5
rayleigh_over_h_times_16,3,hexc_00231,232,7103387,4,False,1.0000000178472912,31.11053762086766,31.110537620867646,0.0625000011154557,497.7685930500613,2,5
rayleigh_over_h_times_16,4,hexc_00185,186,22052431,4,False,1.0000000053636335,35.73898635214269,35.73898635214264,0.0625000003352271,571.823778567229,2,5
rayleigh_over_h_times_16,5,hexc_00123,124,30340987,4,False,1.0000000038261985,37.10051919515608,37.10051919515607,0.0625000002391374,593.6083048512339,2,5
rayleigh_over_h_times_16,6,hexc_00297,298,30423359,4,False,1.0000000038152304,37.1122052310735,37.11220523107346,0.0625000002384519,593.7952814317096,2,5
rayleigh_over_h_times_16,7,hexc_00399,400,31019993,4,False,1.000000003737632,37.19591809331658,37.195918093316564,0.062500000233602,595.1346872686706,2,5
rayleigh_over_h_times_16,8,hexc_00254,255,33472553,4,False,1.000000003448576,37.5247797768865,37.52477977688646,0.062500000215536,600.3964743596705,2,5
rayleigh_over_h_times_16,9,hexc_00360,361,33862799,4,False,1.0000000034065473,37.57501427082907,37.57501427082905,0.0625000002129092,601.2002262852478,2,5
rayleigh_over_h_times_16,10,hexc_00341,342,40864051,4,False,1.0000000027926303,38.39402056811908,38.394020568119046,0.0625000001745394,614.3043273743798,2,5
rayleigh_over_h_times_16,11,hexc_00428,429,108831299,4,False,1.0000000009930703,42.805805829086985,42.805805829086964,0.0625000000620669,684.8928925852447,2,5
rayleigh_over_h_times_16,12,hexc_00619,620,109709357,4,False,1.0000000009846977,42.84298005706769,42.84298005706769,0.0625000000615436,685.487680238085,2,5
rayleigh_over_h_times_16,13,hexc_00459,460,178299217,4,False,1.0000000005904048,45.12012021068158,45.12012021068152,0.0625000000369003,721.9219229446782,2,5
rayleigh_over_h_times_16,14,hexc_00423,424,178907011,4,False,1.0000000005882943,45.13628574684368,45.13628574684366,0.0625000000367684,722.1805715246438,2,5
rayleigh_over_h_times_16,15,hexc_00448,449,178913689,4,False,1.0000000005882703,45.1364651387445,45.13646513874443,0.0625000000367669,722.1834417950718,2,5
rayleigh_over_h_times_16,16,hexc_00525,526,179146433,4,False,1.0000000005874672,45.14263941256952,45.142639412569515,0.0625000000367167,722.2822301767951,2,5
rayleigh_over_h_times_16,17,hexc_00444,445,179382319,4,False,1.0000000005866527,45.14888968695817,45.1488896869581,0.0625000000366658,722.3822345675421,2,5
rayleigh_over_h_times_16,18,hexc_00322,323,179438351,4,False,1.0000000005864609,45.150375852758906,45.150375852758884,0.0625000000366538,722.4060132204793,2,5
rayleigh_over_h_times_16,19,hexc_00673,674,187509659,4,False,1.00000000055992,45.35967113037008,45.359671130370025,0.062500000034995,725.7547376795558,2,5
rayleigh_over_h_times_16,20,hexc_00662,663,604872131,4,True,1.00000000016352,51.1087169203916,51.108716920391565,0.06250000001022,817.7394705925482,2,5
product_1over16,1,hexc_00000,1,180530237,684790,False,809940.857986498,4.242257262838288,4.242257262838288,3.2735856737309205e-07,12959053.727783969,35864,41
product_1over16,2,hexc_00040,41,604672261,151650,True,189604.78936084424,2.1504475741786093,2.1504475741786093,7.088585359010924e-07,3033676.629773508,7420,41
product_1over16,3,hexc_00006,7,30774449,104130,False,111203.0150955987,5.2493680971415095,5.2493680971415095,2.950329231534745e-06,1779248.2415295793,5986,41
product_1over16,4,hexc_00023,24,180619079,61662,False,71882.55307576449,14.8875268699018,14.8875268699018,1.2944315269216204e-05,1150120.8492122318,3182,41
product_1over16,5,hexc_00002,3,30974597,64413,False,68332.288541596,2.123480173174438,2.123480173174438,1.9422371715622123e-06,1093316.616665536,3676,41
product_1over16,6,hexc_00063,64,604810421,53021,True,65699.30818315792,2.1420864345912927,2.1420864345912927,2.0377749152049087e-06,1051188.9309305267,2571,41
product_1over16,7,hexc_00009,10,178298621,43765,False,49879.636113249,3.625948703216957,3.6259487032169564,4.543373039781753e-06,798074.177811984,2211,40
product_1over16,8,hexc_00104,105,604432601,22162,True,27136.727840782893,8.953720835599164,8.953720835599166,2.06217770804309e-05,434187.6454525263,1062,41
product_1over16,9,hexc_00024,25,109813367,23159,False,25965.21287686544,8.632103006925288,8.632103006925286,2.0778047940193143e-05,415443.40602984704,1212,41
product_1over16,10,hexc_00183,184,604356173,20686,True,25679.919031282945,10.34327835039494,10.343278350394943,2.5173556665508988e-05,410878.7045005271,1005,40
product_1over16,11,hexc_00020,21,30847123,15789,False,16559.55631120635,6.281871907446504,6.281871907446504,2.3709390930342185e-05,264952.9009793016,891,40
product_1over16,12,hexc_00074,75,113195507,12848,False,14513.700606390992,15.294287511442286,15.294287511442286,6.586142262327108e-05,232219.20970225587,676,41
product_1over16,13,hexc_00048,49,33902159,13400,False,14204.942464656522,4.868706166264111,4.86870616626411,2.1421708405269822e-05,227279.07943450435,756,41
product_1over16,14,hexc_00061,62,113166227,11734,False,12938.923507230953,6.659239168363888,6.659239168363888,3.216669824117494e-05,207022.77611569525,602,40
