block_id,p_star,y,h,theta_local_error,theta_local_norm,theta_local_norm_pos,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,repay_minus_prime_norm,cp_residual_norm,cp_obstruction_norm,canonical_response_norm,k4_sym_all_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin
476,59141,59140,1,9.987679702292931,0.0827280189182493,0.0827280189182493,0.091902998374857,-0.491460687085192,-0.5353126692657626,-0.04385198218057056,0.08833271493296634,-0.08833271493296634,-0.09190299837485706,0.09190299837485706,0.2314019163695939,0.00299957209804183,0.00299957209804183,False,p<100M,0.50-0.55,0.50-1.00
886,59183,59182,1,9.988389617470986,0.0827232092941124,0.0827232092941124,0.0905353629639327,-0.49007415243013047,-0.5339134899314986,-0.043839337501368016,0.08832718113897783,-0.08832718113897783,-0.0905353629639327,0.0905353629639327,0.2313720174614215,0.0029991845302458375,0.0029991845302458375,False,p<100M,0.50-0.55,0.50-1.00
17,59333,59332,1,9.990920922612805,0.0827060643791465,0.0827060643791465,0.0929815072257821,-0.6597310130682591,-0.7035252922304286,-0.0437942791621695,0.08830745523387654,-0.08830745523387654,-0.09298150722578219,0.09298150722578219,0.23126545573856488,0.0029978032125125413,0.0029978032125125413,False,p<100M,0.55-0.60,0.50-1.00
4,59921,59920,1,10.0007823069704,0.082639338604307,0.082639338604307,0.0921982535693211,-0.9770199397789744,-1.0206390997778156,-0.04361915999884127,0.08823069149837741,-0.08823069149837741,-0.09219825356932113,0.09219825356932113,0.23085101696668542,0.0029924310055923064,0.0029924310055923064,False,p<100M,>=0.70,0.25-0.50
158,60127,60126,1,10.00421427088809,0.0826161416033808,0.0826161416033808,0.0919654214564058,-0.5079332089658604,-0.551491579586009,-0.04355837062014862,0.0882040074099491,-0.0882040074099491,-0.09196542145640588,0.09196542145640588,0.23070704506733217,0.002990564754443754,0.002990564754443754,False,p<100M,0.50-0.55,0.50-1.00
22,60209,60208,1,10.005577121783782,0.0826069335200711,0.0826069335200711,0.0940510554686493,-0.5535494336762468,-0.5970836867752664,-0.04353425309901952,0.08819341549073223,-0.08819341549073223,-0.09405105546864928,0.09405105546864928,0.23064991042880661,0.002989824140579177,0.002989824140579177,False,p<100M,0.55-0.60,>=1.00
26,230647,230560,3,21.69655017143579,0.0821469680902342,0.0821469680902342,0.0944180902326222,-0.766642832802324,-0.8167198517460714,-0.050077018943747345,0.09105697672258141,-0.09105697672258141,-0.09441809023262228,0.09441809023262228,0.1039797658836044,-0.0040537150507109505,0.0027422190109088504,False,p<100M,0.55-0.60,0.25-0.50
23,354619,354550,3,22.55722059933116,0.0797526025198991,0.0797526025198991,0.0920232096308952,-0.6026279368134609,-0.644459279169331,-0.04183134235587003,0.08807285582027806,-0.08807285582027806,-0.09202320963089526,0.09202320963089526,0.09709732338036609,-0.003785398806848804,0.00256071095994989,False,p<100M,0.55-0.60,0.50-1.00
53,356243,356170,3,22.56633807844032,0.0797278138309229,0.0797278138309229,0.0917954514179663,-0.548319768917063,-0.5900709300975293,-0.041751161180466366,0.08804212044408564,-0.08804212044408564,-0.0917954514179663,0.0917954514179663,0.09702792556330679,-0.003782693290348573,0.0025588807575882533,False,p<100M,0.55-0.60,0.50-1.00
114,359477,359416,3,22.58448267109209,0.07967922224676,0.07967922224676,0.0897827713986883,-0.6068931940393465,-0.6484863887567077,-0.041593194717361254,0.08798178582913603,-0.08798178582913603,-0.0897827713986883,0.0897827713986883,0.09689088443896163,-0.003777350657988146,0.0025552666238871083,False,p<100M,0.50-0.55,0.25-0.50
1278,152981,152980,1,10.938069009656688,0.0767489581859055,0.0767489581859055,0.0849231420569244,-0.48913397661891966,-0.5188294297976743,-0.02969545317875469,0.08149679599182562,-0.08149679599182562,-0.08492314205692449,0.08492314205692449,0.19602468430348322,0.0025409909424650217,0.0025409909424650217,False,p<100M,0.50-0.55,0.50-1.00
253,153059,153058,1,10.938578746956969,0.0767459808386534,0.0767459808386534,0.0867976721097067,-0.48405187950577694,-0.5137410681265461,-0.029689188620769153,0.08149341321970513,-0.08149341321970513,-0.08679767210970679,0.08679767210970679,0.19600794546675313,0.002540773963503062,0.002540773963503062,False,p<100M,0.50-0.55,>=1.00
303,155849,155848,1,10.956642868748848,0.0766406167450937,0.0766406167450937,0.0823330539773264,-0.551034412737785,-0.580502411924554,-0.02946799918676902,0.08137371510014209,-0.08137371510014209,-0.08233305397732642,0.08233305397732642,0.19541613440729064,0.0025331025493284236,0.0025331025493284236,False,p<100M,0.50-0.55,0.10-0.25
38,156007,155920,1,10.957104747706284,0.0766308585381272,0.0766308585381272,0.0868104441327406,-0.5549762981009645,-0.584430540661439,-0.029454242560474422,0.08136315476443405,-0.08136315476443405,-0.08681044413274058,0.08681044413274058,0.1953830167988596,0.0025326732587859684,0.0025326732587859684,False,p<100M,0.55-0.60,>=1.00
