block_id,p_star,y,hi,h,prime_log_sum,theta_local_error,theta_local_sum_from_sieve,prime_log_sum_check_delta,theta_local_norm,theta_start_error,theta_end_error,theta_end_norm,theta_pstar_error,theta_pstar_norm,theta_start_sign,theta_end_sign,theta_local_sign,theta_crosses_sign,Q_max,near_forbidden_proxy,post_Q,cp_ratio,d_worst,is_tail,scale_bin,depth_bin,mu_bin
54,7112297,7110038,7112297,2259,2145.696051453453,-113.30394854654696,2145.6960514541715,-7.185008144006133e-10,-0.009576781758147345,-1412.3619855288416,-1525.66593407467,-0.0022981965497353065,-1525.66593407467,-0.0022981965497353065,negative,negative,negative,False,0.1547550134720171,False,0.0,0.1547550134720171,0.556380326479045,False,p<100M,0.55-0.60,0.10-0.25
55,12895717,12894136,12895717,1581,1424.3941279906464,-156.60587200935356,1424.3941279873252,3.3212472771992907e-09,-0.014693224235645673,-1895.2508312109858,-2051.8567032236606,-0.002131568432047315,-2051.8567032236606,-0.002131568432047315,negative,negative,negative,False,0.1217247995908262,False,0.0,0.1217247995908262,0.5562861011128931,False,p<100M,0.55-0.60,0.10-0.25
56,1511527,1511046,1511449,403,412.6251302173886,9.625130217388573,412.6251302175224,-1.3380940799834207e-10,0.0023682517122969957,-714.260146871442,-704.6350166539196,-0.0028310294832277596,-754.1777997303288,-0.003029978583763154,negative,negative,positive,False,0.0952884508457212,False,0.00603652731099433,0.0952884508457212,0.5561480230216432,False,p<100M,0.55-0.60,0.10-0.25
57,179620853,179616870,179620853,3983,3345.117079958123,-637.8829200418768,3345.1170799434185,1.4704710338264704e-08,-0.027979372651857314,-6692.321799874306,-7330.204719930887,-0.0015140488191748966,-7330.204719930887,-0.0015140488191748966,negative,negative,negative,False,0.1434186712486546,False,0.01734757717544536,0.1434186712486546,0.5561088242646545,False,100M<=p<500M,0.55-0.60,0.25-0.50
58,1188511,1188358,1188361,3,27.97616952660599,24.97616952660599,27.976169526576996,2.8993696332690888e-11,0.07369547219482654,-636.6867116000503,-611.7105420734733,-0.0028678419084118435,-663.7935052816756,-0.0031117664622279943,negative,negative,positive,False,0.0833294497303515,False,0.002296256544829283,0.0833294497303515,0.5545502017536743,False,p<100M,0.55-0.60,0.50-1.00
59,293,292,293,1,5.680172609017068,4.680172609017068,5.680172609017063,4.440892098500626e-15,0.14505703764384356,-20.655160533682306,-15.974987924665243,-0.028925685629031937,-15.974987924665243,-0.028925685629031937,negative,negative,positive,False,0.1707575979731007,False,0.0,0.1707575979731007,0.5426063203226165,False,p<100M,0.50-0.55,0.25-0.50
60,3291137,3290975,3290983,8,45.02008815604045,37.02008815604045,45.02008815575391,2.865405690499756e-10,0.05811918653763217,-1049.3252789666876,-1012.3051908109337,-0.002477869469926218,-1076.2648419090547,-0.0026343486055292356,negative,negative,positive,False,0.0730965487832678,False,0.0,0.0730965487832678,0.5512735894464837,False,p<100M,0.55-0.60,0.50-1.00
61,1190143,1190068,1190071,3,27.97904537377347,24.97904537377347,27.979045373853296,-7.982592364896846e-11,0.0736894995793346,-640.0511510875076,-615.0721057136543,-0.0028809369220483497,-659.092989757657,-0.003087006307629969,negative,negative,positive,False,0.0832943901091022,False,0.002277092848109802,0.0832943901091022,0.5512234961655321,False,p<100M,0.55-0.60,0.25-0.50
62,113166227,113154493,113166227,11734,11163.678212011508,-570.3217879884924,11163.678211927414,8.409369911532849e-08,-0.015309916844449729,-5310.907065212727,-5881.228853285313,-0.0016076280361705688,-5881.228853285313,-0.0016076280361705688,negative,negative,negative,False,0.2503069484559692,False,0.00459140626290162,0.2503069484559692,0.5505019497337198,False,100M<=p<500M,0.55-0.60,0.05-0.10
63,30816007,30813688,30816007,2319,2103.7078528160987,-215.2921471839013,2103.707852791995,2.410388333373703e-08,-0.015035736785433853,-2899.3161273673177,-3114.608274575323,-0.0018869576386256154,-3114.608274575323,-0.0018869576386256154,negative,negative,negative,False,0.1321516982536188,False,0.007607550910807089,0.1321516982536188,0.5491127518864393,False,p<100M,0.50-0.55,0.10-0.25
