column,primitive_candidate,leaky_excluded,non_null_count,min,max,mean,median,std,corr_with_R_R2Q_rec,corr_with_Q_R2Q,corr_with_E_theta,corr_with_negative_indicator,corr_with_near_forbidden_indicator
right_endpoint__prime_mesh_r2q_hexc_bridge_rigidity_rows,True,False,1468,127.0,604884331.0,122202906.8079019,39699287.0,169805380.40954426,0.034334771900571236,-0.026091973891345103,-0.08837682429325983,0.06103955234370003,0.03993185134209491
end_prime,True,False,1468,127.0,604884331.0,122202915.68256131,39699287.0,169805378.90238088,0.03433476951850727,-0.026091976229122873,-0.08837681093242851,0.06103955046704012,0.039931849330657763
worst_prime,True,False,1468,113.0,604884239.0,122201747.28337875,39697647.0,169804733.59707472,0.03422430957598352,-0.02618679246651366,-0.0882942943275211,0.06102085743170103,0.039848731121319834
start_prime,True,False,1468,113.0,604884179.0,122201038.26021798,39696552.0,169804314.05777088,0.0341915439463614,-0.02622127445449099,-0.08825787100983418,0.061009565961652655,0.03982386172332738
is_tail,True,False,1468,0.0,1.0,0.09673024523160763,0.0,0.29569082535154323,0.01733475638967922,-0.010372224019569295,-0.06805572142443489,0.05881327208632196,0.03622199322720869
theta_pstar_norm,True,False,1468,-0.057046719039518,-0.001314103096147,-0.0021067350779795293,-0.0018344218836752,0.0023355794178473426,0.013264083447612514,-0.12765348693189754,-0.02771337041722247,0.04466175987598908,0.010253778608853136
theta_end_norm,True,False,1468,-0.057046719039518,-0.0013037405206343,-0.0020998329376314476,-0.00183309376354965,0.00233023911557784,0.013137168716717322,-0.12697668554433292,-0.02713111821367132,0.04419580774854481,0.01014319479971416
Q_O2_cap_sum,True,False,1468,0.0499059549846063,0.0499059549846063,0.049905954984606316,0.0499059549846063,1.3882516991052024e-17,8.637867224226725e-18,-1.3157369275963516e-16,-1.163347252810529e-16,4.0189480198608454e-17,5.10776172555651e-17
Q_O2_conservative,True,False,1468,0.0499059549846063,0.0499059549846063,0.049905954984606316,0.0499059549846063,1.3882516991052024e-17,8.637867224226725e-18,-1.3157369275963516e-16,-1.163347252810529e-16,4.0189480198608454e-17,5.10776172555651e-17
Q_O2,True,False,1468,0.0499059549846063,0.0499059549846063,0.049905954984606316,0.0499059549846063,1.3882516991052024e-17,8.637867224226725e-18,-1.3157369275963516e-16,-1.163347252810529e-16,4.0189480198608454e-17,5.10776172555651e-17
