extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_energy_L2,Q_exc,C_bridge,C_exc,C_rms,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,finite_certified_flag,surviving_proxy_flag,h_over_x,rho_proxy
top_C_exc,hexc_00328,329,109452151,109452148,3,109452269,positive,finite_positive,0.0627535154340644,0.0144460773257225,0.0102149192539583,4.9500507915982235,3.500214487232043,2.475025395799095,False,False,False,False,True,False,2.7409237484971857e-08,2.7409237484971857e-08
top_C_exc,hexc_00287,288,108533473,108533470,3,108533687,positive,finite_positive,0.06296609300304,0.0144525397861196,0.010219488903672,4.947756750734138,3.4985923554251426,2.473878375367069,False,False,False,False,True,False,2.7641242071006057e-08,2.7641242071006057e-08
top_C_exc,hexc_00032,33,1197619,1197615,4,1197697,positive,finite_positive,0.0726584885625681,0.0249378557636041,0.0177247165152088,4.884965034332981,3.4720154467581152,2.184622776895621,False,False,False,False,True,False,3.3399603713701938e-06,3.3399603713701938e-06
top_C_exc,hexc_00035,36,39707851,39704004,3847,39707851,negative,finite_negative,0.1623741874086595,0.0161300283803644,0.0110407093348006,4.938161259893362,3.38008104097481,0.7907386457385237,False,False,False,False,True,False,9.688260389614134e-05,9.688260389614134e-05
top_C_exc,hexc_00027,28,109670797,109660803,9994,109670797,negative,finite_negative,0.2345732370876761,0.0120697134740987,0.0098010101179576,4.136664184987013,3.3591093623436743,0.6540640369901259,False,False,False,False,True,False,9.112726699706576e-05,9.112726699706576e-05
top_C_exc,hexc_00197,198,40839499,40839496,3,40839853,positive,finite_positive,0.0664294699592638,0.0152434348910011,0.0107787362260313,4.681739736475031,3.310489929548911,2.3408698682374998,False,False,False,False,True,False,7.345829585225814e-08,7.345829585225814e-08
top_C_exc,hexc_00150,151,39670783,39670780,3,39670973,positive,finite_positive,0.0668468275799452,0.015268261759704,0.0107962914747605,4.6738374772463755,3.304902188878206,2.3369187386231878,False,False,False,False,True,False,7.56224045287939e-08,7.56224045287939e-08
top_C_exc,hexc_00173,174,30825511,30824836,675,30825511,negative,finite_negative,0.0784523836661713,0.0218196897816464,0.0110815667281192,6.488095069490741,3.295109104228417,1.0813491782484468,False,False,False,False,True,False,2.1897447215068065e-05,2.1897447215068065e-05
top_C_exc,hexc_00314,315,33926353,33926350,3,33926539,positive,finite_positive,0.0662381750517639,0.0154033798318916,0.0108918343889229,4.631264559116574,3.274798592237996,2.315632279558287,False,False,False,False,True,False,8.842683444341925e-08,8.842683444341925e-08
top_C_exc,hexc_00327,328,33488869,33488866,3,33489013,positive,finite_positive,0.0671490711147243,0.015414700758731,0.0108998394938855,4.627732130242115,3.272300788049059,2.3138660651210574,False,False,False,False,True,False,8.958200409813782e-08,8.958200409813782e-08
top_C_exc,hexc_00512,513,33413521,33413518,3,33413579,positive,finite_positive,0.0672557489636599,0.0154166713770161,0.0109012329315828,4.627119083760234,3.271867298763504,2.313559541880102,False,False,False,False,True,False,8.978401288508325e-08,8.978401288508325e-08
top_C_exc,hexc_00344,345,31018453,31018450,3,31018529,positive,finite_positive,0.0692098295960013,0.0154818734239565,0.0109473377461031,4.6068758594995245,3.257553178949954,2.3034379297497476,False,False,False,False,True,False,9.671662219905037e-08,9.671662219905037e-08
top_C_exc,hexc_00172,173,30850279,30850276,3,30850439,positive,finite_positive,0.0687690106203953,0.0154866560042288,0.0109507195414241,4.60539623390951,3.2565069257625865,2.302698116954755,False,False,False,False,True,False,9.724385312690364e-08,9.724385312690364e-08
top_Q_energy_L2,hexc_00026,27,1192781,1192323,458,1192781,negative,finite_negative,0.0967472985369818,0.036413013628854,0.0120403626533005,7.128590769352836,2.3571467867181815,1.2049517637873792,False,True,False,False,True,False,0.0003839766059318,0.0003839766059318
top_Q_energy_L2,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0304825946938867,0.0205672364492246,6.864752116121557,4.631790087275691,2.288250705373845,False,True,False,False,True,False,2.430884632342373e-06,2.430884632342373e-06
top_Q_energy_L2,hexc_00013,14,1195591,1195386,205,1195669,positive,finite_positive,0.0899443884131837,0.0298022102047381,0.0127144572989962,5.8364080193795465,2.489975073396485,1.0317409220687042,False,True,False,False,True,False,0.0001714633181414,0.0001714633181414
top_Q_energy_L2,hexc_00095,96,3438637,3438262,375,3438637,negative,finite_negative,0.0753076301542394,0.0289409320608848,0.0091609752093495,6.55570371628648,2.0751453027979894,1.0926172860477392,False,True,False,False,True,False,0.0001090548377162,0.0001090548377162
top_Q_energy_L2,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0289054037503281,0.0172880108593613,8.580752479596955,5.132055698999871,2.4770498769724036,False,True,False,False,True,False,4.2781890452098955e-07,4.2781890452098955e-07
