block_id,p_star,pos_y,pos_h,pos_theta_local_norm,neg_y,neg_h,neg_theta_local_norm,lag,neg_abs_over_pos
422,187430753,187430752,1,0.0497405409161,,,,,
423,1197103,1197102,1,0.0663465875257503,,,,,
424,178907011,178906839,4,0.0470862129848647,,,,,
426,1198103,1198102,1,0.0663429339229389,,,,,
427,108829177,108829176,1,0.0511184313644863,,,,,
428,109588771,109588770,1,0.0511003218376577,,,,,
429,108831299,108831195,4,0.0481982135332708,,,,,
430,1190983,1190982,1,0.0663690230464318,,,,,
431,39691187,39691186,1,0.053887271095141,,,,,
433,40864661,40864660,1,0.0538031054841006,,,,,
434,30360431,30360430,1,0.0546738781450856,,,,,
435,30360047,30360046,1,0.0546739158097379,,,,,
436,109496869,109496868,1,0.0511025055146416,,,,,
437,187505317,187505316,1,0.049739559892989,,,,,
438,12837337,12837336,1,0.0573626733033204,,,,,
439,12830437,12830436,1,0.057364434955351,,,,,
440,39623959,39623958,1,0.0538921760737262,,,,,
441,17992691,17992690,1,0.0562773176683551,,,,,
442,39646073,39646072,1,0.0538905616124254,,,,,
444,178895413,178895308,1,0.0498557648373555,,,,,
445,179382319,179382099,4,0.0470804118877564,,,,,
446,3242093,3242092,1,0.0622540945413876,,,,,
447,1192097,1192096,1,0.0663649295015562,,,,,
448,179438731,179438730,1,0.0498482533389166,,,,,
449,178913689,178913595,4,0.0470861325817367,,,,,
450,1511597,1511596,1,0.0653412387466855,,,,,
451,1199767,1199766,1,0.0663368619655992,,,,,
452,179433593,179433592,1,0.0498483242710375,,,,,
453,180641999,180641716,3,0.0559434039389059,,,,,
455,230891,230890,1,0.0744168930515604,,,,,
456,30775091,30775090,1,0.0546335114292263,,,,,
457,12783817,12783816,1,0.057376365311794,,,,,
458,109709861,109709668,3,0.0573177509365859,,,,,
459,40861831,40861830,1,0.053803305229468,,,,,
460,178299217,178299027,4,0.0470936543841883,,,,,
461,33487507,33487506,1,0.0543834932936241,,,,,
462,17594867,17594866,1,0.0563479307971814,,,,,
464,109593397,109593396,1,0.0511002119729232,,,,,
465,40864853,40864852,1,0.0538030919330261,,,,,
466,33862469,33862468,1,0.0543507045050372,,,,,
467,30400417,30400416,1,0.0546699590046811,,,,,
468,31039963,31039962,1,0.0546080406834165,,,,,
469,30802151,30802150,1,0.0546308981503567,,,,,
470,33904141,33904140,1,0.0543470853256932,,,,,
471,187509061,187509060,1,0.0497395106452593,,,,,
472,33388783,33388782,1,0.0543921939486125,,,,,
473,109490539,109490538,1,0.0511026559956361,,,,,
474,39691573,39691572,1,0.0538872429590042,,,,,
475,17585857,17585856,1,0.0563495505512696,,,,,
476,59141,59140,1,0.0827280189182493,,,,,
477,17998327,17998326,1,0.0562763297938478,,,,,
478,12895963,12895962,1,0.0573477477986453,,,,,
479,30795049,30795048,1,0.0546315837689884,,,,,
480,12422209,12422208,1,0.0574705813426497,,,,,
481,33877339,33877338,1,0.0543494124916978,,,,,
482,178037333,178037332,1,0.0498676833751253,,,,,
483,33453599,33453598,1,0.0543864784352865,,,,,
484,33486469,33486468,1,0.0543835846258156,,,,,
485,30788267,30788266,1,0.0546322386588088,,,,,
486,179621809,179621500,3,0.0559586453495933,,,,,
487,109567891,109567750,3,0.0573214083021299,,,,,
488,108563857,108563856,1,0.0511247897062246,,,,,
489,12883709,12883708,1,0.0573508612709631,,,,,
490,1196177,1196176,1,0.0663499738413972,,,,,
491,30805079,30805078,1,0.0546306155357277,,,,,
492,40864429,40864428,1,0.0538031218584098,,,,,
493,30776687,30776686,1,0.0546333572272576,,,,,
494,3440929,3440928,1,0.0620254276128566,,,,,
495,33475061,33475060,1,0.0543845886067494,,,,,
496,7051189,7051188,1,0.0593950581897329,,,,,
497,109712789,109712788,1,0.0510973782501361,,,,,
498,12784687,12784686,1,0.0573761422298032,,,,,
499,7047823,7047822,1,0.0593967349560759,,,,,
500,30849131,30849130,1,0.0546263671655719,,,,,
501,33921049,33921048,1,0.0543456182847851,,,,,
502,3454387,3454386,1,0.0620104897937103,,,,,
503,108585611,108585610,1,0.0511242677320197,,,,,
504,109595947,109595946,1,0.0511001514141315,,,,,
505,30816259,30816258,1,0.0546295367004087,,,,,
506,109494731,109494730,1,0.0511025563395362,,,,,
507,33844543,33844542,1,0.0543522628816317,,,,,
508,356287,356286,1,0.0721065982574651,,,,,
510,109637959,109637958,1,0.0510991539135939,,,,,
511,30824461,30824460,1,0.0546287455086881,,,,,
512,3440893,3440892,1,0.0620254676592705,,,,,
513,33413579,33413518,3,0.0608805422645447,,,,,
514,33925271,33925270,1,0.0543452520847846,,,,,
515,17988973,17988972,1,0.0562779695453576,,,,,
516,108563101,108563100,1,0.0511248078480634,,,,,
517,30819307,30819306,1,0.0546292426531201,,,,,
518,179148961,179148960,1,0.0498522572192981,,,,,
519,179651309,179651308,1,0.049845320570699,,,,,
520,179378513,179378386,3,0.0559622974953533,,,,,
521,3452957,3452956,1,0.0620120739290835,,,,,
522,33913889,33913888,1,0.0543462394310179,,,,,
523,179152973,179152972,1,0.0498522017351389,,,,,
524,179663573,179663572,1,0.0498451514905047,,,,,
525,40862021,40862020,1,0.0538032918185222,,,,,
526,179146433,179146269,4,0.0470832892558092,,,,,
527,113356141,113356140,1,0.0510125011966988,,,,,
528,12787051,12787050,1,0.0573755361475623,,,,,
529,30775463,30775462,1,0.0546334754866218,,,,,
530,30372257,30372256,1,0.0546727184499719,,,,,
531,30405521,30405520,1,0.0546694591585359,,,,,
532,604687003,604687002,1,0.0470096015601246,,,,,
533,1516817,1516816,1,0.0653266077142255,,,,,
534,109710431,109710430,1,0.0510974341834652,,,,,
535,187510417,187510416,1,0.0497394928090084,,,,,
536,40837523,40837522,1,0.0538050215530019,,,,,
537,109705961,109705906,3,0.0573178555311768,,,,,
538,22051937,22051936,1,0.05564282559169,,,,,
539,30405239,30405238,1,0.0546694867729997,,,,,
540,39693659,39693658,1,0.0538870909124795,,,,,
541,109549709,109549708,1,0.0511012497405388,,,,,
542,109708373,109708372,1,0.0510974830016769,,,,,
543,1513361,1513360,1,0.0653362880936789,,,,,
544,39639179,39639178,1,0.0538910648108903,,,,,
545,3439529,3439528,1,0.0620269853200418,,,,,
546,109707407,109707406,1,0.0510975059166955,,,,,
547,187428431,187428430,1,0.0497405714730582,,,,,
548,187428029,187428028,1,0.0497405767633231,,,,,
549,180642563,180642562,1,0.0498316952064544,,,,,
550,7049821,7049820,1,0.0593957395483403,,,,,
551,178893971,178893970,1,0.0498557864209518,,,,,
552,40874503,40874502,1,0.0538024109411302,,,,,
553,30819421,30819420,1,0.0546292316559138,,,,,
554,180640799,180640798,1,0.0498317193806179,,,,,
555,108537551,108537550,1,0.051125421056864,,,,,
556,17641999,17641998,1,0.0563394727404797,,,,,
557,3290149,3290148,1,0.0621974129969924,,,,,
558,33912947,33912946,1,0.0543463211624675,,,,,
559,179412683,179412616,3,0.0559617857622173,,,,,
560,12421481,12421480,1,0.0574707740894504,,,,,
561,33413669,33413668,1,0.0543899980337629,,,,,
562,30819749,30819748,1,0.0546292000150804,,,,,
563,179149511,179149510,1,0.0498522496129642,,,,,
564,33919969,33919968,1,0.054345711967931,,,,,
565,108548483,108548482,1,0.0511251586656382,,,,,
566,179410463,179410462,1,0.0498486436174763,,,,,
567,187494809,187494808,1,0.0497396981186181,,,,,
568,22049009,22049008,1,0.0556432350930537,,,,,
569,12801863,12801862,1,0.0573717414857354,,,,,
570,3457007,3457006,1,0.0620075893010592,,,,,
571,33876299,33876298,1,0.0543495028339976,,,,,
572,109707049,109707048,1,0.0510975144090673,,,,,
573,187422503,187422502,1,0.0497406494859905,,,,,
574,39640721,39640720,1,0.0538909522506911,,,,,
575,109549457,109549456,1,0.0511012557278856,,,,,
576,31038971,31038970,1,0.0546081356265869,,,,,
577,178897717,178897716,1,0.0498557345342495,,,,,
578,30405371,30405370,1,0.0546694738470451,,,,,
579,33453479,33453478,1,0.0543864890056183,,,,,
580,108832879,108832878,1,0.051118342767611,,,,,
581,618463,618462,1,0.0693670673072352,,,,,
582,30816061,30816060,1,0.0546295558030208,,,,,
583,108833357,108833356,1,0.0511183313282781,,,,,
584,1188223,1188222,1,0.0663791837272039,,,,,
585,178900037,178900036,1,0.0498557023999979,,,,,
586,30372487,30372486,1,0.0546726959004038,,,,,
587,3459373,3459372,1,0.0620049721210069,,,,,
588,108625339,108625338,1,0.0511233147796505,,,,,
589,179148199,179148198,1,0.0498522677575704,,,,,
590,30372071,30372070,1,0.0546727366858481,,,,,
591,1188553,1188552,1,0.0663779674589157,,,,,
592,30775243,30775242,1,0.0546334967429427,,,,,
593,31020361,31020360,1,0.0546099173917325,,,,,
594,7117519,7117518,1,0.0593621973425256,,,,,
595,180625573,180625572,1,0.0498319280511612,,,,,
596,187503917,187503916,1,0.0497395783085502,,,,,
597,187494523,187494522,1,0.0497397018808736,,,,,
598,604874233,604874232,1,0.0470089192729355,,,,,
599,3293281,3293280,1,0.0621937511569249,,,,,
600,39634897,39634896,1,0.0538913774062018,,,,,
601,231131,231130,1,0.0744111847870341,,,,,
602,3281137,3281136,1,0.0622079714330779,,,,,
603,3279949,3279948,1,0.0622093657200932,,,,,
604,108583547,108583546,1,0.0511243172515175,,,,,
605,108549391,108549390,1,0.0511251368730183,,,,,
606,179378777,179378776,1,0.0498490811665626,,,,,
607,108835721,108835720,1,0.0511182747546501,,,,,
608,604715411,604715326,3,0.0528697920195814,,,,,
609,7050133,7050132,1,0.0593955841377564,,,,,
610,39690817,39690816,1,0.0538872980652975,,,,,
611,12787499,12787498,1,0.0573754213034026,,,,,
612,179471947,179471946,1,0.049847794832762,,,,,
613,3454541,3454540,1,0.0620103192384295,,,,,
614,178894333,178894332,1,0.0498557814067549,,,,,
615,12772597,12772596,1,0.0573792438162723,,,,,
616,39639547,39639546,1,0.0538910379478344,,,,,
617,33924949,33924948,1,0.0543452800120445,,,,,
618,40841677,40841676,1,0.0538047281699684,,,,,
619,179143313,179143312,1,0.0498523353309175,,,,,
620,109709357,109709025,4,0.0481798210102182,,,,,
621,109547923,109547922,1,0.0511012921749983,,,,,
622,109706381,109706380,1,0.0510975302552506,,,,,
623,3236923,3236922,1,0.062260248661981,,,,,
624,17992787,17992786,1,0.0562773008386565,,,,,
625,179156291,179156290,1,0.0498521558497199,,,,,
626,39641387,39641386,1,0.0538909036366951,,,,,
627,108562541,108562540,1,0.0511248212865523,,,,,
628,179642357,179642356,1,0.049845443997324,,,,,
629,604176893,604176892,1,0.0470114616310681,,,,,
630,30848971,30848970,1,0.0546263825837853,,,,,
631,108582251,108582250,1,0.0511243483456857,,,,,
632,39640963,39640962,1,0.0538909345860414,,,,,
633,22048451,22048450,1,0.0556433131401225,,,,,
634,33925711,33925710,1,0.0543452139237862,,,,,
635,109814437,109814320,3,0.0573150637267435,,,,,
636,31019627,31019626,1,0.0546099876909013,,,,,
637,179471563,179471562,1,0.0498478001328783,,,,,
638,40844891,40844890,1,0.0538045011986305,,,,,
639,180628951,180628950,1,0.0498318817543989,,,,,
640,30419219,30419218,1,0.0546681181423492,,,,,
641,187504433,187504432,1,0.0497395715210829,,,,,
642,17640383,17640382,1,0.0563397623231231,,,,,
643,40865009,40865008,1,0.0538030809228299,,,,,
644,109489717,109489716,1,0.0511026755374729,,,,,
645,22052533,22052532,1,0.0556427422442994,,,,,
646,4994851,4994850,1,0.0606308735906759,,,,,
647,1184527,1184526,1,0.0663928320911218,,,,,
648,12784897,12784896,1,0.0573760883849591,,,,,
649,109494937,109494936,1,0.051102551442422,,,,,
650,180642689,180642688,1,0.0498316934797384,,,,,
651,30372383,30372382,1,0.0546727060967068,,,,,
652,39644461,39644460,1,0.0538906792648927,,,,,
653,30336731,30336730,1,0.0546762037503313,,,,,
654,109442621,109442620,1,0.0511037954453198,,,,,
655,109568047,109568046,1,0.0511008140829798,,,,,
