rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,K_R,eta_aff,K_D,eta_times_KD,Q_exc,Q_energy_L2,C_end
K_R,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,47.732209098918574,3.3288283699061934e-05,1433904.1787325211,47.732209098918574,0.0068967990800009,0.0201606811377659,6.908850056190145
K_R,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,47.12482161579511,4.0678337800586574e-05,1158474.612379948,47.12482161579511,0.0205672364492246,0.0304825946938867,6.864752116121537
K_R,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,45.74617977052387,1.3293950372010177e-05,3441127.6174793327,45.74617977052387,0.0064493327137434,0.0165421719649012,6.763592223849976
K_R,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,44.51014034988176,7.352200833734836e-07,60539886.43189866,44.51014034988176,0.0130495572184996,0.0183852514257526,6.671592040126686
K_R,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,44.30282104878313,7.154629182248775e-07,61921896.88698623,44.30282104878313,0.0130795953907561,0.0184274100815586,6.656036436858135
K_R,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,44.30134893036435,7.589229592880685e-07,58373973.78506327,44.30134893036435,0.0130798087714223,0.0184277095556904,6.655925850726129
K_R,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,44.295157736736925,7.705762945638789e-07,57483156.50146822,44.295157736736925,0.0130807094930725,0.0184289737116236,6.655460745638647
K_R,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,44.28904182928211,7.448955074200035e-07,59456717.6041647,44.28904182928211,0.013081599559448,0.0184302229129119,6.655001264408754
K_R,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,44.288864133266515,7.612323883255992e-07,58180477.8836118,44.288864133266515,0.0130816248069056,0.0184302583442049,6.654987913833241
K_R,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,44.27285143166415,7.690564429438081e-07,57567753.10560527,44.27285143166415,0.0130839545118638,0.0184335280556581,6.653784744915043
K_R,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,42.97725121573246,0.0003997805963526505,107502.0939180895,42.97725121573246,0.0091609752093495,0.0289409320608848,6.555703716286487
K_R,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,42.09537763075,8.866595523415045e-05,474763.7074408533,42.09537763075,0.0110815667281192,0.0218196897816464,6.488095069490736
K_R,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,42.091371128218206,2.7773637107415588e-05,1515515.2695856234,42.091371128218206,0.0080795888060062,0.017879575931775,6.487786304142439
K_R,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,42.01752080974671,1.1772522978111865e-06,35691177.57329337,42.01752080974671,0.0134251522178237,0.0189123463606488,6.482092317280486
K_R,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,41.980707369547154,1.153044944529206e-06,36408561.14822834,41.980707369547154,0.0134309492743368,0.0189204808195844,6.479252068684097
eta_aff,1,hexc_00004,5,356077,355293,784,356077,finite_negative,False,False,False,True,21.7152630494778,0.0013550898740644507,16024.961491554162,21.7152630494778,0.0128661873649445,0.0285182984397066,4.659963846370249
eta_aff,2,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,50.81680635690252,0.0013147173309265249,38652.26780047862,50.81680635690251,0.0120403626533005,0.036413013628854,7.12859076935284
eta_aff,3,hexc_00018,19,1515197,1513853,1344,1515197,finite_negative,False,False,False,True,13.226155874884487,0.0005320069009106019,24860.87276733841,13.226155874884485,0.0103425912084517,0.0179573629992226,3.636778227344154
eta_aff,4,hexc_00011,12,3279709,3278912,797,3279709,finite_negative,False,False,False,True,32.74537462401581,0.00046694207578390354,70127.2734290282,32.74537462401581,0.0114062615417102,0.0254216307563309,5.722357435883904
eta_aff,5,hexc_00028,29,3456977,3455716,1261,3456977,finite_negative,False,False,False,True,21.415712351722792,0.00045714035807738993,46847.12686884954,21.415712351722792,0.0077614986724626,0.0204151477381646,4.627711351383401
eta_aff,6,hexc_00005,6,3448507,3446024,2483,3448507,finite_negative,False,False,False,True,15.603074800215607,0.00041596788133785876,37510.28745304119,15.603074800215609,0.0076387824505859,0.017431425110126,3.950072758850855
