q,count,count_frac,sum_W,sum_W_frac,sum_W2,sum_W2_frac,mean_W,mean_W_over_shell2,mean_W2,side_left_frac
9497,1,6.058182787491064e-06,2.7931261945147e-07,3.2407358019194033e-12,7.801553938484167e-14,1.2097752072668823e-18,2.7931261945147e-07,1.7739734129504434e-07,7.801553938484167e-14,1.0
13457,2,1.2116365574982128e-05,2.782254955356689e-07,3.228122403348375e-12,3.870471318303426e-14,6.001881520325469e-19,1.3911274776783446e-07,8.83534429727037e-08,1.935235659151713e-14,0.0
9533,1,6.058182787491064e-06,2.7720703502028964e-07,3.216305674617991e-12,7.684374026474009e-14,1.1916042949771766e-18,2.7720703502028964e-07,1.7606004017095914e-07,7.684374026474009e-14,1.0
9547,1,6.058182787491064e-06,2.7639462212435104e-07,3.206879621606209e-12,7.63939871392628e-14,1.1846300410672059e-18,2.7639462212435104e-07,1.7554405958957207e-07,7.63939871392628e-14,0.0
9587,1,6.058182787491064e-06,2.740930218808677e-07,3.1801752130284266e-12,7.51269846437858e-14,1.164982824388843e-18,2.740930218808677e-07,1.7408226468492433e-07,7.51269846437858e-14,1.0
13577,2,1.2116365574982128e-05,2.73329050947257e-07,3.1713112098156814e-12,3.73543850458641e-14,5.792488171909969e-19,1.366645254736285e-07,8.679852530824475e-08,1.867719252293205e-14,0.5
9601,1,6.058182787491064e-06,2.732942499686019e-07,3.1709074300735026e-12,7.468974706590068e-14,1.1582026471884835e-18,2.732942499686019e-07,1.7357494778024817e-07,7.468974706590068e-14,1.0
9613,1,6.058182787491064e-06,2.726123641754802e-07,3.1629958229755867e-12,7.431750110134465e-14,1.1524302851375902e-18,2.726123641754802e-07,1.7314186771747044e-07,7.431750110134465e-14,0.0
9629,1,6.058182787491064e-06,2.717071457846949e-07,3.152492990510176e-12,7.382477307046545e-14,1.144789625848642e-18,2.717071457846949e-07,1.7256694440705197e-07,7.382477307046545e-14,0.0
9643,1,6.058182787491064e-06,2.70918773134641e-07,3.1433458654096304e-12,7.33969816367791e-14,1.13815592858223e-18,2.70918773134641e-07,1.720662322933496e-07,7.33969816367791e-14,0.0
9697,1,6.058182787491064e-06,2.679098261312829e-07,3.1084344378521835e-12,7.177567493769424e-14,1.1130145700350161e-18,2.679098261312829e-07,1.7015518652842253e-07,7.177567493769424e-14,0.0
13723,2,1.2116365574982128e-05,2.675440535279576e-07,3.1041905466406606e-12,3.57899102890853e-14,5.549887430048839e-19,1.337720267639788e-07,8.496143831303882e-08,1.789495514454265e-14,0.0
9733,1,6.058182787491064e-06,2.659316247665542e-07,3.0854822776573735e-12,7.071962905097938e-14,1.09663862568396e-18,2.659316247665542e-07,1.688987890790761e-07,7.071962905097938e-14,1.0
9749,1,6.058182787491064e-06,2.6505945030081696e-07,3.0753628386496215e-12,7.025651219377125e-14,1.0894571424008154e-18,2.6505945030081696e-07,1.683448526630593e-07,7.025651219377125e-14,0.0
9767,1,6.058182787491064e-06,2.640833729574734e-07,3.064037862362378e-12,6.9740027872596e-14,1.0814480978998514e-18,2.640833729574734e-07,1.6772492533593916e-07,6.9740027872596e-14,0.0
9787,1,6.058182787491064e-06,2.630051526971724e-07,3.0515277688092312e-12,6.917171034526294e-14,1.072635283685606e-18,2.630051526971724e-07,1.6704012488587898e-07,6.917171034526294e-14,0.0
9811,1,6.058182787491064e-06,2.617199823374654e-07,3.0366165284777085e-12,6.849734915472323e-14,1.062178066373635e-18,2.617199823374654e-07,1.6622388605867903e-07,6.849734915472323e-14,1.0
9871,1,6.058182787491064e-06,2.585479686230152e-07,2.999813112904198e-12,6.684705207908766e-14,1.0365871584279694e-18,2.585479686230152e-07,1.6420927318297023e-07,6.684705207908766e-14,0.0
9973,1,6.058182787491064e-06,2.532863558641321e-07,2.938765041116267e-12,6.415397806693177e-14,9.948260657414271e-19,2.532863558641321e-07,1.6086751183977349e-07,6.415397806693177e-14,1.0
14159,2,1.2116365574982128e-05,2.51320703017715e-07,2.9159584756054117e-12,3.1581047882659254e-14,4.897225482154753e-19,1.256603515088575e-07,7.98095421096618e-08,1.5790523941329627e-14,1.0
10039,1,6.058182787491064e-06,2.499669120889732e-07,2.900251062386119e-12,6.248345713929643e-14,9.6892154957184e-19,2.499669120889732e-07,1.587592630200531e-07,6.248345713929643e-14,1.0
10093,1,6.058182787491064e-06,2.472993001016436e-07,2.869299987959385e-12,6.115694383076279e-14,9.483515076875257e-19,2.472993001016436e-07,1.5706500632986696e-07,6.115694383076279e-14,1.0
10111,1,6.058182787491064e-06,2.464195799682568e-07,2.859093000041923e-12,6.072260939173213e-14,9.41616349023692e-19,2.464195799682568e-07,1.5650627750102633e-07,6.072260939173213e-14,0.0
10151,1,6.058182787491064e-06,2.444813742980453e-07,2.836604891487168e-12,5.977114237866092e-14,9.268620934994464e-19,2.444813742980453e-07,1.5527528216163298e-07,5.977114237866092e-14,0.0
10193,1,6.058182787491064e-06,2.4247076647813845e-07,2.8132767341042774e-12,5.879207259649595e-14,9.116798059963812e-19,2.4247076647813845e-07,1.5399830268845714e-07,5.879207259649595e-14,1.0
10259,1,6.058182787491064e-06,2.393609909238243e-07,2.777195439264856e-12,5.729368397603512e-14,8.884445195627074e-19,2.393609909238243e-07,1.5202321858218568e-07,5.729368397603512e-14,1.0
10267,1,6.058182787491064e-06,2.389881182460448e-07,2.7728691691564355e-12,5.711532066278549e-14,8.856786665550014e-19,2.389881182460448e-07,1.5178639927266237e-07,5.711532066278549e-14,1.0
10271,1,6.058182787491064e-06,2.38802008553309e-07,2.7707098240272476e-12,5.702639928909466e-14,8.842997762193642e-19,2.38802008553309e-07,1.51668197077769e-07,5.702639928909466e-14,1.0
10301,1,6.058182787491064e-06,2.3741308938585693e-07,2.75459483401794e-12,5.6364975011736906e-14,8.740431696696785e-19,2.3741308938585693e-07,1.5078606519248721e-07,5.6364975011736906e-14,0.0
10303,1,6.058182787491064e-06,2.373209259203487e-07,2.7535255037353054e-12,5.6321221879691626e-14,8.733646964474716e-19,2.373209259203487e-07,1.5072753022984283e-07,5.6321221879691626e-14,0.0
10331,1,6.058182787491064e-06,2.3603625241183186e-07,2.738620028139523e-12,5.5713112452622e-14,8.639348352432171e-19,2.3603625241183186e-07,1.4991160696332297e-07,5.5713112452622e-14,1.0
10337,1,6.058182787491064e-06,2.357623225481593e-07,2.7354417459761105e-12,5.558387273330232e-14,8.619307344004886e-19,2.357623225481593e-07,1.4973762832386063e-07,5.558387273330232e-14,1.0
10343,1,6.058182787491064e-06,2.3548886926838334e-07,2.7322689933963577e-12,5.5455007549301747e-14,8.599324414204868e-19,2.3548886926838334e-07,1.495639523728924e-07,5.5455007549301747e-14,1.0
