candidate_id,block_id,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,E_theta,E_theta_sign,Q_R2Q,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,Q_formula_sum,formula_residual,abs_formula_residual,positive_harmless_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,primitive_available_flag,instrumentation_gap_flag
hexc_00038,39,39690667,39682692,7975,39690667,39690667,False,True,-364.0109776889212,negative,0.2349256240499423,-3641.029352975941,-9613.98205726598,-5972.95270429004,negative,0.21848170759405397,188.65092151155022,39685548,39,0.00690056953597366,0.22538227713002762,0.00954334691991468,0.00954334691991468,False,False,False,False,True,False
hexc_00039,40,30417481,30409154,8327,30417481,30417481,False,True,-228.7179970545885,negative,0.24963148266117,-3185.022130148648,-9573.033681058874,-6388.011550910226,negative,0.23578937810394623,231.22636827276438,30414125,39,0.008534850186440335,0.24432422829038658,0.005307254370783415,0.005307254370783415,False,False,False,False,True,False
hexc_00040,41,604672261,604520611,151650,604672261,604672261,True,False,-1617.0683062109456,negative,0.7568596623500748,-13895.06128730599,-132784.31185344377,-118889.25056613778,negative,0.7467076670478365,234.02143940953465,604525630,41,0.0014698183580815804,0.7481774854059181,0.008682176944156739,0.008682176944156739,False,True,False,True,True,False
hexc_00041,42,7117417,7115469,1948,7117417,7117417,False,True,-117.76229972501552,negative,0.1460888226947264,-1505.373515836785,-2935.478994847477,-1430.1054790106923,negative,0.13015673297709843,83.96168172265811,7116001,39,0.007641518998895068,0.1377982519759935,0.008290570718732904,0.008290570718732904,False,False,False,False,True,False
hexc_00042,43,12781267,12779528,1739,12781267,12781267,False,True,-151.7480364006467,negative,0.1300675391522673,-2025.7534664814043,-3255.654084869332,-1229.9006183879278,negative,0.1101458902583867,59.990640028518555,12780269,37,0.005372566168616574,0.11551845642700327,0.01454908272526402,0.01454908272526402,False,False,False,False,True,False
hexc_00043,44,109588091,109577354,10737,109588091,109588091,False,True,-629.3445955758762,negative,0.2415685632788372,-5924.212674655511,-13826.417254912514,-7902.204580257003,negative,0.22253016129984254,235.6779201208592,109583672,40,0.006636811923388666,0.2291669732232312,0.012401590055605982,0.012401590055605982,False,False,False,False,True,False
hexc_00044,45,12836777,12833438,3339,12836777,12836777,False,True,-163.66723291570224,negative,0.1752468754780604,-2020.026918484228,-4509.468817140625,-2489.441898656397,negative,0.16080955459196564,94.22200439377093,12834759,36,0.0060864238556851925,0.16689597844765083,0.00835089703040956,0.00835089703040956,False,False,False,False,True,False
hexc_00045,46,618029,618028,1,618029,618029,False,True,12.3342906609052,positive,0.0748436752518515,-546.4975466414396,-559.5084872373448,-13.01094059590514,negative,0.07317603245970992,0.0,618028,2,0.0,0.07317603245970992,0.0016676427921415715,0.0016676427921415715,True,False,False,False,True,False
hexc_00046,47,12807413,12805898,1515,12807413,12807413,False,True,-205.7621329185172,negative,0.1184377830877646,-2004.667713167148,-3002.6634605183744,-997.9957473512264,negative,0.09573306765367764,69.99762783200504,12806707,37,0.006714545286013089,0.10244761293969074,0.01599017014807387,0.01599017014807387,False,False,False,False,True,False
hexc_00047,48,3440630,3439819,811,3440630,3440807,False,True,46.90968440981942,positive,0.1225172337511368,-1059.9835425069589,-1751.6610990375343,-691.6775565305757,negative,0.1072136412049886,57.48108875473781,3440485,37,0.008909869588272725,0.11612351079326132,0.006393722957875478,0.006393722957875478,True,False,False,False,True,False
hexc_00048,49,33902159,33888759,13400,33902159,33902159,False,True,-291.8733586694325,negative,0.3075518627750951,-3286.909262209392,-13643.06508801648,-10356.155825807087,negative,0.2975764937115444,173.36115126700133,33890762,41,0.0049814047227133606,0.30255789843425773,0.004993964340837376,0.004993964340837376,False,False,False,False,True,False
hexc_00049,50,3457967,3457512,455,3457967,3457967,False,True,-93.6529697629686,negative,0.0793601948576568,-1032.5412923104789,-1300.260569031474,-267.71927672099514,negative,0.05536606911282309,30.359882641400645,3457702,35,0.006278619086263076,0.06164468819908617,0.017715506658570634,0.017715506658570634,False,False,False,False,True,False
hexc_00050,51,12842173,12840082,2091,12842173,12842173,False,True,-192.29332879440085,negative,0.1392439305539144,-1989.409656565634,-3458.407842659707,-1468.9981860940732,negative,0.11990574866534748,61.318915110934995,12841763,40,0.005005105175298496,0.12491085384064597,0.01433307671326843,0.01433307671326843,False,False,False,False,True,False
hexc_00051,52,1512479,1512478,1,1512479,1512479,False,True,13.229260584493224,positive,0.0713499660129912,-712.9292880586847,-726.835198578178,-13.905910519493318,negative,0.06868070822556867,0.0,1512478,2,0.0,0.06868070822556867,0.002669257787422538,0.002669257787422538,True,False,False,False,True,False
hexc_00052,53,356173,356170,3,356173,356243,False,True,22.56633807844032,positive,0.0917954514179663,-327.27066110333885,-352.19029905173835,-24.919637948399497,negative,0.08804212044408564,4.153275799052494,356172,4,0.014673696660234626,0.10271581710432028,-0.010920365686353975,0.010920365686353975,True,False,False,False,True,False
hexc_00053,54,7112297,7110038,2259,7112297,7112297,False,True,-113.30394854654696,negative,0.1547550134720171,-1488.4660516560812,-3170.0701790061385,-1681.6041273500573,negative,0.14213410863272255,36.23123036355423,7110425,39,0.003062369762677568,0.14519647839540012,0.00955853507661697,0.00955853507661697,False,False,False,False,True,False
hexc_00054,55,12895717,12894136,1581,12895717,12895717,False,True,-156.60587200935356,negative,0.1217247995908262,-2000.69471701668,-3100.31873499209,-1099.6240179754095,negative,0.1031699645978112,87.99334457305758,12894688,37,0.008255794795351922,0.11142575939316313,0.010299040197663076,0.010299040197663076,False,False,False,False,True,False
hexc_00055,56,1511449,1511046,403,1511449,1511527,False,True,9.625130217388572,positive,0.0952884508457212,-710.2584342675988,-1040.2049989253685,-329.9465646577695,negative,0.08118295535426816,31.371536904404707,1511174,35,0.007718928919738007,0.08890188427400617,0.006386566571715033,0.006386566571715033,True,False,False,False,True,False
hexc_00056,57,179620853,179616870,3983,179620853,179620853,False,True,-637.8829200418768,negative,0.1434186712486546,-7469.839610700379,-9996.865200801432,-2527.025590101053,negative,0.11084258327778278,185.7346871182781,179618414,39,0.008146855578006791,0.11898943885578957,0.024429232392865027,0.024429232392865027,False,False,False,False,True,False
hexc_00057,58,1188361,1188358,3,1188361,1188511,False,True,24.97616952660599,positive,0.0833294497303515,-619.1438039838251,-646.4732733804275,-27.32946939660235,negative,0.08063919288629051,4.554912407598067,1188360,4,0.013439867963997954,0.09407906085028847,-0.01074961111993697,0.01074961111993697,True,False,False,False,True,False
