scope,rows,neg_rows,neg_frac,mean_z,median_z,std_z,min_z,max_z,neg_max,neg_median,q01_z,q05_z,q10_z,q90_z,q95_z,median_p_star,median_h,median_mu_over_sqrt_p,median_cp_ratio
mu:0.05-0.10,14,7,0.5,0.0009887934309109239,-0.001971140258324124,0.017404047606772406,-0.03085627775811593,0.03361450102477777,0.03085627775811593,0.00917826988505208,-0.029258418205989557,-0.02286697999748406,-0.01702258122961878,0.02649453301007973,0.03030026462500243,109679724.0,11132.0,0.0768585091134394,0.2499692155585696
y_mod_30:28,8,5,0.625,-0.005731299004168316,-0.007721309328204432,0.018371569253376123,-0.03085627775811593,0.028027525306371624,0.03085627775811593,0.012223555991387514,-0.03070623657528713,-0.030106071843971922,-0.02935586592982791,0.016326531467132182,0.022177028386751896,74553821.0,1473.0,0.23287861817162592,0.09068141738944016
mu:0.10-0.25,61,36,0.5901639344262295,-0.0003828213836082254,-0.0040775732389164805,0.019750584303280787,-0.028712832289133048,0.05413372685817237,0.028712832289133048,0.0137888203852573,-0.027782072346923578,-0.022664588588850898,-0.022268676840985966,0.02955655356042303,0.036399211772755694,40874291.0,1963.0,0.1937085816680681,0.127736784305964
pstar_mod_30:17,32,16,0.5,0.00450187495045358,0.0001765720815235619,0.023906893238932723,-0.027161565718783934,0.058606911829291064,0.027161565718783934,0.014289589433120493,-0.026942170640873245,-0.024171427735389984,-0.02108101695338994,0.043213252489389446,0.055474719980733396,40271957.0,1091.0,0.24674543339632085,0.09647822500894004
y_mod_30:3,7,5,0.7142857142857143,0.0012168239611961343,-0.006924355481040229,0.025494235128827213,-0.027161565718783934,0.04340591073146826,0.027161565718783934,0.016277257610501236,-0.026542667939253445,-0.024067076821131492,-0.020972587923479048,0.03920189135624072,0.041303901043854487,33870121.0,1078.0,0.23955614321944,0.0967472985369818
y_mod_30:25,2,1,0.5,0.006230429730932647,0.006230429730932647,0.03268426939194016,-0.02645383966100752,0.03891469912287281,0.02645383966100752,0.02645383966100752,-0.025800154273168716,-0.023185412721813504,-0.019916985782619488,0.03237784524448478,0.035646272183678794,57849990.0,1745.0,0.18650935408911012,0.12188381623685751
y_mod_30:18,6,5,0.8333333333333334,-0.010696035486363978,-0.009367602462489312,0.008348599085578666,-0.023709331286169727,0.0006491257462533716,0.023709331286169727,0.009828744959035166,-0.023463668428665194,-0.02248101699864706,-0.021252702711124394,-0.0014678012854782282,-0.0004093377696124283,144479664.0,1732.0,0.22502309280072672,0.09595584946126814
pstar_mod_30:13,15,8,0.5333333333333333,0.0014748565719259195,-0.003584728317209828,0.020690995080545088,-0.022891283783521853,0.03891469912287281,0.022891283783521853,0.018867826969732805,-0.022832221143759563,-0.0225959705847104,-0.022389115407526257,0.023827146705190216,0.029309432075534277,40863643.0,1964.0,0.1778076591679192,0.1154116378424172
y_mod_30:26,5,3,0.6,-0.010195866604593998,-0.01786698348384646,0.012971083542810648,-0.022891283783521853,0.008092784107716178,0.022891283783521853,0.021085710397377805,-0.02281906084807609,-0.022530169106293043,-0.022169054429064233,0.00596441467825369,0.007028599392984933,33843191.0,771.0,0.3749579265399366,0.0761893412087709
h:8193<=h<=65536,18,9,0.5,0.0019630197397914723,-0.0019879526136115555,0.019026812261355577,-0.022823540091301494,0.058606911829291064,0.022823540091301494,0.00917826988505208,-0.022099596849571614,-0.01920382388265209,-0.018135105521139828,0.02379967596438046,0.03302936119959466,111489797.0,13124.0,0.06811119328809309,0.28669907588244936
pstar_mod_30:11,18,12,0.6666666666666666,-0.005030439232299297,-0.009943091518605781,0.016826223061550738,-0.022823540091301494,0.04340591073146826,0.022823540091301494,0.017688569510308998,-0.022662562823135883,-0.022018653750473443,-0.021628314630818924,0.011813992151175762,0.022938623025826763,109572251.0,2077.0,0.19646660597360943,0.12052842845497874
y_mod_30:0,9,6,0.6666666666666666,-0.0023151270681340216,-0.0019890196757464517,0.018398613513730403,-0.022823540091301494,0.03361450102477777,0.022823540091301494,0.01801018229581202,-0.022495551595638572,-0.021183597612986892,-0.019543655134672287,0.023005364195957417,0.028309932610367586,179620853.0,1841.0,0.2241335470647297,0.1154116378424172
y_mod_30:4,7,3,0.42857142857142855,0.0007417395679649984,0.002800099092446022,0.014349623726977474,-0.022664588588850898,0.021778533180106006,0.022664588588850898,0.012061281645800608,-0.022028390172267882,-0.01948359650593581,-0.01630260442302072,0.015731611452319803,0.018755072316212894,39651863.0,873.0,0.330218402199409,0.072593883103974
y_mod_30:10,14,12,0.8571428571428571,-0.012174292734701763,-0.012984555211038466,0.010278356843976372,-0.022469407785219782,0.018227140897361545,0.022469407785219782,0.01428812329830877,-0.022447904746653497,-0.02236189259238836,-0.021924432644623605,-0.002244513091296481,0.0075911790217025365,144205367.0,1133.0,0.27359116695124763,0.07882310098249101
pstar_mod_30:7,28,18,0.6428571428571429,0.0013884061621871212,-0.0057054465236287015,0.017769664467697673,-0.022308152148310185,0.05256241893529198,0.022308152148310185,0.007990773382474189,-0.021085093819650506,-0.01721874803036993,-0.015359568973915685,0.02878397611292818,0.033952991218651495,36728212.0,1380.5,0.22513579521407306,0.09915956228153
y_mod_30:12,6,5,0.8333333333333334,-0.012047036529901028,-0.01651098558624037,0.011193327863272769,-0.022308152148310185,0.011622644579318565,0.022308152148310185,0.016842403132266606,-0.022119503278696398,-0.02136490780024125,-0.020421663452172313,0.0007915394487096016,0.006207092014014083,36756172.0,364.5,0.4355094067293622,0.07301205016023475
y_mod_30:16,6,4,0.6666666666666666,-0.0014707953449401004,-0.008642264808922863,0.018933478318006576,-0.022268676840985966,0.03618590458927233,0.022268676840985966,0.01087388492646088,-0.02178371799733015,-0.019843882622706893,-0.017419088404427824,0.021648967178530383,0.028917435883901357,69830175.0,1421.0,0.2044073167055751,0.1279403641161325
y_mod_30:17,4,2,0.5,-0.007384676827585383,-0.010063518314689442,0.014150325678562531,-0.02152190019355062,0.012110229512587972,0.02152190019355062,0.020875302417311434,-0.02148310432697627,-0.021327920860678865,-0.02113394152780711,0.008507661062319594,0.010308945287453778,145087745.0,1714.0,0.30536639204195926,0.0999340457292244
