candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,bridge_excursion_raw,bridge_excursion_argmax,scale_denominator,threshold_relevant_flag,forbidden_flag,row_regime,bridge_sample_count,bridge_sample_min_t,bridge_sample_max_t,bridge_energy_raw,bridge_energy_mean,bridge_energy_rms,bridge_energy_max,bridge_samples_source,Q_exc_above_0p025_flag,missing_Q_exc_flag,bridge_samples_available_flag,bridge_energy_available_flag,Q_energy_sum,Q_energy_rms,Q_exc_over_Q_energy_rms,Q_exc_over_Q_energy_sum,V2_row_available_flag,V2_row,sqrt_V2_row,Q_exc_over_sqrt_V2_row,V2_global,sqrt_V2_global,Q_exc_over_sqrt_V2_global,variance_proxy_mode
hexc_00048,49,33902159,33888759,13400,33902159,negative,False,True,-291.8733586694325,0.3075518627750951,0.2975764937115444,0.0049814047227133,,173.36115126700133,33890762,34801.659555293445,False,False,finite_negative,41.0,33888759.0,33902159.0,65173.41610572949,1589.59551477389,39.8697318121641,173.36115126700133,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.007335594031106625,0.0011456273155255258,4.348189551004389,0.6790731195850843,False,,,,0.0004263792000474,0.0206489515483821,0.2412425013948762,partial_row_level_energy_available
hexc_00049,50,3457967,3457512,455,3457967,negative,False,True,-93.6529697629686,0.0793601948576568,0.055366069112823,0.006278619086263,,30.359882641400645,3457702,4835.439485065229,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.304064788546368,partial_row_level_energy_available
hexc_00050,51,12842173,12840082,2091,12842173,negative,False,True,-192.29332879440085,0.1392439305539144,0.1199057486653474,0.0050051051752984,,61.318915110935,12841763,12251.274041864272,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.2423902813453288,partial_row_level_energy_available
hexc_00051,52,1512479,1512478,1,1512479,positive,False,True,13.229260584493224,0.0713499660129912,0.0686807082255686,0.0,,0.0,1512478,202.4718567814125,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
hexc_00052,53,356173,356170,3,356243,positive,False,True,22.56633807844032,0.0917954514179663,0.0880421204440856,0.0146736966602346,,4.153275799052494,356172,283.0422282278585,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.7106267175770637,partial_row_level_energy_available
hexc_00053,54,7112297,7110038,2259,7112297,negative,False,True,-113.30394854654696,0.1547550134720171,0.1421341086327225,0.0030623697626775,,36.23123036355423,7110425,11831.108968329036,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.14830630773199935,partial_row_level_energy_available
hexc_00054,55,12895717,12894136,1581,12895717,negative,False,True,-156.60587200935356,0.1217247995908262,0.1031699645978112,0.0082557947953519,,87.99334457305758,12894688,10658.373512699049,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.3998166578098617,partial_row_level_energy_available
hexc_00055,56,1511449,1511046,403,1511527,positive,False,True,9.625130217388572,0.0952884508457212,0.0811829553542681,0.007718928919738,,31.371536904404707,1511174,4064.234459289399,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.37381699025502335,partial_row_level_energy_available
hexc_00056,57,179620853,179616870,3983,179620853,negative,False,True,-637.8829200418768,0.1434186712486546,0.1108425832777827,0.0081468555780067,,185.7346871182781,179618414,22798.32818194132,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.39454088305248736,partial_row_level_energy_available
hexc_00057,58,1188361,1188358,3,1188511,positive,False,True,24.97616952660599,0.0833294497303515,0.0806391928862905,0.0134398679639979,,4.554912407598067,1188360,338.9105026775217,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.6508741101216323,partial_row_level_energy_available
hexc_00058,59,293,292,1,293,positive,False,True,4.680172609017068,0.1707575979731007,0.1660290921582204,5.505631574898212e-17,,1.7763568394002505e-15,293,32.26436086822776,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,2.6663007862641786e-15,partial_row_level_energy_available
hexc_00059,60,3290983,3290975,8,3291137,positive,False,True,37.02008815604045,0.0730965487832678,0.068097615704397,0.0205672364492246,,13.100680718981152,3290980,636.9684498607004,False,False,finite_positive,9.0,3290975.0,3290983.0,376.9985729263588,41.88873032515098,6.47215036329897,13.100680718981152,prime_mesh_r2q_hexc_path_shape_worst_paths.csv,False,False,True,True,0.03048259469388652,0.010160864897962174,2.0241619838237876,0.674720661274596,False,,,,0.0004263792000474,0.0206489515483821,0.9960426514166575,partial_row_level_energy_available
hexc_00060,61,1190071,1190068,3,1190143,positive,False,True,24.97904537377347,0.0832943901091022,0.080631858151701,0.0134386455041789,,4.555391714250163,1190070,338.97699830192045,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.650814908093087,partial_row_level_energy_available
hexc_00061,62,113166227,113154493,11734,113166227,negative,False,True,-570.3217879884924,0.2503069484559692,0.2349919129337335,0.0041822745120619,,155.79720659571103,113163471,37251.7887447083,False,False,finite_negative,40.0,113154493.0,113166227.0,78024.18973967827,1950.604743491957,44.165651172511396,155.79720659571103,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.007498380977448326,0.0011855981326208188,3.527565029827427,0.5577570044307237,False,,,,0.0004263792000474,0.0206489515483821,0.2025417369139787,partial_row_level_energy_available
hexc_00062,63,30816007,30813688,2319,30816007,negative,False,True,-215.2921471839013,0.1321516982536188,0.1136507642000766,0.0075446709207132,,108.02985084773992,30815546,14318.696200672355,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.36537791776185097,partial_row_level_energy_available
