x,p_star,y,h,side,source_coordinate,block_id,Q_theta,Q_R2Q,E_theta_local,theta_local_norm,covered_flag,finite_certificate_flag,tail_flag,B2_active_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,scale_ratio_local_to_global,scale_ratio_global_to_local,sign_match,scale_compatibility_ok,localization_ok,crossing_status,post_P0,failure_reason
1512479,1512479,1512478.0,1.0,positive,theta_local,52,0.0653387626052911,0.0713499660129912,13.229260584493224,0.0653387626052911,True,True,False,True,False,True,0.0713499660129912,False,0.0008131212730101727,1229.8288498811532,True,True,True,positive_harmless,False,
356173,356243,356170.0,3.0,positive,theta_local,53,0.0797278138309229,0.0917954514179663,22.56633807844032,0.0797278138309229,True,True,False,True,False,True,0.0917954514179663,False,0.0029023078923781065,344.55338202612796,True,True,True,positive_harmless,False,
7112297,7112297,7110038.0,2259.0,negative,theta_local,54,0.0095767817581473,0.1547550134720171,-113.30394854654696,-0.0095767817581473,True,True,False,True,True,False,,True,0.01782186598211445,56.110847259404444,True,True,True,negative_transferred_repaid,False,
12895717,12895717,12894136.0,1581.0,negative,theta_local,55,0.0146932242356456,0.1217247995908262,-156.60587200935356,-0.0146932242356456,True,True,False,True,True,False,,True,0.011072436238332223,90.31436067683549,True,True,True,negative_transferred_repaid,False,
1511449,1511527,1511046.0,403.0,positive,theta_local,56,0.0023682517122969,0.0952884508457212,9.625130217388572,0.0023682517122969,True,True,False,True,False,True,0.0952884508457212,False,0.01632897501409536,61.24083104645506,True,True,True,positive_harmless,False,
179620853,179620853,179616870.0,3983.0,negative,theta_local,57,0.0279793726518573,0.1434186712486546,-637.8829200418768,-0.0279793726518573,True,True,False,True,True,False,,True,0.004708979241626892,212.36024808945913,True,True,True,negative_transferred_repaid,False,
1188361,1188511,1188358.0,3.0,positive,theta_local,58,0.0736954721948265,0.0833294497303515,24.97616952660599,0.0736954721948265,True,True,False,True,False,True,0.0833294497303515,False,0.0015888916013855126,629.369554932508,True,True,True,positive_harmless,False,
293,293,292.0,1.0,positive,theta_local,59,0.1450570376438435,0.1707575979731007,4.680172609017068,0.1450570376438435,True,True,False,True,False,True,0.1707575979731007,False,0.0584206237836986,17.11724276862369,True,True,True,positive_harmless,False,
3290983,3291137,3290975.0,8.0,positive,theta_local,60,0.0581191865376321,0.0730965487832678,37.02008815604045,0.0581191865376321,True,True,False,True,False,True,0.0730965487832678,False,0.001559139170225631,641.3795632209566,True,True,True,positive_harmless,False,
1190071,1190143,1190068.0,3.0,positive,theta_local,61,0.0736894995793346,0.0832943901091022,24.97904537377347,0.0736894995793346,True,True,False,True,False,True,0.0832943901091022,False,0.0015877347404659647,629.828128410494,True,True,True,positive_harmless,False,
113166227,113166227,113154493.0,11734.0,negative,theta_local,62,0.0153099168444497,0.2503069484559692,-570.3217879884924,-0.0153099168444497,True,True,False,True,True,False,,True,0.010182739267158906,98.20540168647673,True,True,True,negative_transferred_repaid,False,
