candidate_id,block_id,p_star,start_prime,worst_prime,end_prime,y,h,Q_tail_start,Q_tail_max_inside,Q_tail_end,Q_local,Q_O2,Q_exc,Q_o2p4_total,accumulation_proxy,unrepaid_tail,candidate_crossing_flag,tail_candidate_flag,tail_candidate_crossing_flag,post_P0_flag,finite_certificate_flag,covered_flag,near_forbidden_flag,forbidden_flag,C_minus_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_Q,endpoint_repayment_failure_flag,valid_scale_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,failure_type,status
b3_00066,66,1196077,1195679,1195811,1196077,1196076.0,1.0,0.0072874784226013,0.1910928704360599,0.0,0.0711424243631883,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0515180457833856,False,True,False,False,False,,pass
b3_00067,67,39699197,39693751,39695941,39699197,39695992.0,3205.0,0.0023280372572651,0.1895783027588109,0.0,0.1495716452263878,0.0499059549846063,0.0085253544488815,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1316093417511963,False,True,False,False,False,,pass
b3_00068,68,1192069,1191571,1191833,1192069,1192068.0,1.0,0.0195088680595816,0.187757040139767,0.0,0.0712244136304279,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0494376364840653,False,True,False,False,False,,pass
b3_00069,69,108581987,108573599,108578039,108581987,108578163.0,3824.0,0.0015533169302743,0.1866525155706986,0.0,0.1469597990717331,0.0499059549846063,0.0043804824344325,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1245862627972834,False,True,False,False,False,,pass
b3_00070,70,12847921,12846403,12847007,12847921,12847029.0,892.0,0.0065832773928686,0.1731600812374938,0.0,0.0908608054490663,0.0499059549846063,0.0077829840818417,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.0711926004758948,False,True,False,False,False,,pass
b3_00071,71,1191481,1191097,1191221,1191481,1191480.0,1.0,0.0108736514815466,0.1715804892868591,0.0,0.0710316103925829,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0453599267900989,False,True,False,False,False,,pass
b3_00072,72,12843647,12842779,12843151,12843647,12843190.0,457.0,0.0145654514713626,0.1652509681895346,0.0,0.0679786634633438,0.0499059549846063,0.0081632419242064,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.043641826458844,False,True,False,False,False,,pass
b3_00073,73,40882169,40876393,40877191,40882169,40877269.0,4900.0,0.0044429697602286,0.1635314246712118,0.0,0.1837301433813745,0.0499059549846063,0.0069729630121156,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1708297585564211,False,True,False,False,False,,pass
b3_00074,74,1186291,1186057,1186127,1186291,1186290.0,1.0,0.0055484020545364,0.1631208536533059,0.0,0.0716803042452162,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0487248441227248,False,True,False,False,False,,pass
b3_00075,75,113195507,113166673,113182453,113195507,113182659.0,12848.0,0.0008705883981625,0.1616450425831921,0.0,0.2647255241959858,0.0499059549846063,0.0052963922956069,0.0002378661538515,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2536736118314834,False,True,False,False,False,,pass
