gap_id,prime,eval_label,R_value
gap_006,604144573,prime_after_jump,-0.00069227120594634
gap_006,604144579,prime_left_limit,-0.0006925816483390061
gap_006,604144579,prime_after_jump,-0.00069153547857034
gap_006,604144613,prime_left_limit,-0.0006932946520942845
gap_006,604144613,prime_after_jump,-0.0006922484823608803
gap_006,604144631,prime_left_limit,-0.0006931798094912743
gap_006,604144631,prime_after_jump,-0.0006921336397703702
gap_006,604144643,prime_left_limit,-0.0006927545245179463
gap_006,604144643,prime_after_jump,-0.0006917083548156556
gap_006,604144663,prime_left_limit,-0.0006927431627161977
gap_006,604144663,prime_after_jump,-0.0006916969930284813
gap_006,604144693,prime_left_limit,-0.0006932492048334691
gap_006,604144693,prime_after_jump,-0.0006922030351706981
gap_006,604144699,prime_left_limit,-0.000692513477526839
gap_006,604144699,prime_after_jump,-0.0006914673078764587
gap_006,604144741,prime_left_limit,-0.0006936404043096003
gap_006,604144741,prime_after_jump,-0.0006925942346904426
gap_006,604144747,prime_left_limit,-0.0006929046770294847
gap_006,604144747,prime_after_jump,-0.0006918585074227178
gap_006,604144753,prime_left_limit,-0.0006921689497642896
gap_006,604144753,prime_after_jump,-0.0006911227801637454
gap_006,604144777,prime_left_limit,-0.000692364549517993
gap_006,604144777,prime_after_jump,-0.0006913183799361714
gap_006,604144781,prime_left_limit,-0.0006915253414936163
gap_006,604144781,prime_after_jump,-0.0006904791719221112
gap_006,604144831,prime_left_limit,-0.0006930661913035396
gap_006,604144831,prime_after_jump,-0.0006920200217715543
gap_006,604144873,prime_left_limit,-0.0006941931178973198
gap_006,604144873,prime_after_jump,-0.0006931469484088931
gap_006,604144901,prime_left_limit,-0.0006945956790879097
gap_006,604144901,prime_after_jump,-0.0006935495096285222
gap_006,604144903,prime_left_limit,-0.0006936529903903059
gap_006,604144903,prime_after_jump,-0.0006926068209329927
gap_006,604144913,prime_left_limit,-0.0006931242247461266
gap_006,604144913,prime_after_jump,-0.0006920780552930165
gap_006,604144921,prime_left_limit,-0.0006924919783444346
gap_006,604144921,prime_after_jump,-0.0006914458089057894
gap_006,604144939,prime_left_limit,-0.0006923771357661432
gap_006,604144939,prime_after_jump,-0.0006913309663399981
gap_006,604144967,prime_left_limit,-0.0006927796969746343
gap_006,604144967,prime_after_jump,-0.0006917335275713603
gap_006,604145021,prime_left_limit,-0.0006945275079098979
gap_006,604145021,prime_after_jump,-0.0006934813385626279
gap_006,604145041,prime_left_limit,-0.0006945161460402495
gap_006,604145041,prime_after_jump,-0.0006934699767137219
gap_006,604145053,prime_left_limit,-0.0006940908611930438
gap_006,604145053,prime_after_jump,-0.0006930446918789615
gap_006,604145057,prime_left_limit,-0.0006932516533729345
gap_006,604145057,prime_after_jump,-0.0006922054840568328
gap_006,604145077,prime_left_limit,-0.0006932402915228201
gap_006,604145077,prime_after_jump,-0.0006921941222274606
gap_006,604145093,prime_left_limit,-0.0006930219681873
gap_006,604145093,prime_after_jump,-0.0006919757989085343
gap_006,604145123,prime_left_limit,-0.0006935280100435631
gap_006,604145123,prime_after_jump,-0.0006924818407959108
gap_006,604145149,prime_left_limit,-0.0006938270903985527
gap_006,604145149,prime_after_jump,-0.0006927809211716973
gap_006,604145183,prime_left_limit,-0.0006945400936596237
gap_006,604145183,prime_after_jump,-0.0006934939244680301
gap_006,604145207,prime_left_limit,-0.000694735693236529
gap_006,604145207,prime_after_jump,-0.0006936895240636582
gap_006,604145221,prime_left_limit,-0.0006944138891658481
gap_006,604145221,prime_after_jump,-0.0006933677200136648
gap_006,604145233,prime_left_limit,-0.0006939886043834123
gap_006,604145233,prime_after_jump,-0.0006929424352375064
gap_006,604145273,prime_left_limit,-0.0006950120497381287
gap_006,604145273,prime_after_jump,-0.0006939658806275393
gap_006,604145293,prime_left_limit,-0.0006950006878370419
gap_006,604145293,prime_after_jump,-0.0006939545187471946
gap_006,604145327,prime_left_limit,-0.0006957136909444387
gap_006,604145327,prime_after_jump,-0.0006946675218898533
gap_006,604145341,prime_left_limit,-0.0006953918868922995
gap_006,604145341,prime_after_jump,-0.0006943457178522336
gap_006,604145389,prime_left_limit,-0.000696829254900612
gap_006,604145389,prime_after_jump,-0.0006957830858979916
gap_006,604145431,prime_left_limit,-0.0006979561806649971
gap_006,604145431,prime_after_jump,-0.0006969100117121033
gap_006,604145441,prime_left_limit,-0.0006974274152117561
gap_006,604145441,prime_after_jump,-0.0006963812462630654
gap_006,604145447,prime_left_limit,-0.0006966916883641558
gap_006,604145447,prime_after_jump,-0.0006956455194216878
gap_006,604145483,prime_left_limit,-0.000697508171988012
gap_006,604145483,prime_after_jump,-0.0006964620030828802
gap_006,604145501,prime_left_limit,-0.0006973933293348542
gap_006,604145501,prime_after_jump,-0.0006963471604422224
gap_006,604145533,prime_left_limit,-0.0006980028515079634
gap_006,604145533,prime_after_jump,-0.0006969566826485191
gap_006,604145561,prime_left_limit,-0.0006984054122739105
gap_006,604145561,prime_after_jump,-0.0006973592434373373
gap_006,604145611,prime_left_limit,-0.0006999462604773524
gap_006,604145611,prime_after_jump,-0.0006989000916926347
gap_006,604145651,prime_left_limit,-0.0007009697051814794
gap_006,604145651,prime_after_jump,-0.0006999235364320782
gap_006,604145653,prime_left_limit,-0.0007000270171042863
gap_006,604145653,prime_after_jump,-0.0006989808483631273
gap_006,604145671,prime_left_limit,-0.0006999121744132013
gap_006,604145671,prime_after_jump,-0.0006988660056845424
gap_006,604145693,prime_left_limit,-0.0007000042930567567
gap_006,604145693,prime_after_jump,-0.0006989581243447462
gap_006,604145723,prime_left_limit,-0.0007005103343488637
gap_006,604145723,prime_after_jump,-0.0006994641656679666
gap_006,604145747,prime_left_limit,-0.0007007059336296762
gap_006,604145747,prime_after_jump,-0.0006996597649736697
gap_006,604145753,prime_left_limit,-0.0006999702069610871
gap_006,604145753,prime_after_jump,-0.0006989240383113033
gap_006,604145771,prime_left_limit,-0.0006998553642700658
gap_006,604145771,prime_after_jump,-0.00069880919563895
gap_006,604145791,prime_left_limit,-0.0006998440022415573
gap_006,604145791,prime_after_jump,-0.0006987978336250157
gap_006,604145819,prime_left_limit,-0.0007002465628287684
gap_006,604145819,prime_after_jump,-0.0006992003942412659
gap_006,604145837,prime_left_limit,-0.0007001317201341624
gap_006,604145837,prime_after_jump,-0.0006990855515653279
gap_006,604145863,prime_left_limit,-0.0007004308000455755
gap_006,604145863,prime_after_jump,-0.0006993846314975379
gap_006,604145897,prime_left_limit,-0.0007011438025177189
gap_006,604145897,prime_after_jump,-0.0007000976340049431
gap_006,604145903,prime_left_limit,-0.0007004080759435933
gap_006,604145903,prime_after_jump,-0.0006993619074308722
gap_006,604145911,prime_left_limit,-0.0006997758300182913
gap_006,604145911,prime_after_jump,-0.0006987296615200351
gap_006,604145917,prime_left_limit,-0.000699040103462514
gap_006,604145917,prime_after_jump,-0.0006979939349704803
gap_006,604145921,prime_left_limit,-0.0006982008962675626
gap_006,604145921,prime_after_jump,-0.0006971547277735095
gap_006,604145939,prime_left_limit,-0.0006980860536087369
gap_006,604145939,prime_after_jump,-0.0006970398851333517
gap_006,604145957,prime_left_limit,-0.0006979712109540103
gap_006,604145957,prime_after_jump,-0.000696925042497293
gap_006,604145981,prime_left_limit,-0.0006981668102313588
gap_006,604145981,prime_after_jump,-0.0006971206417995323
gap_006,604145987,prime_left_limit,-0.0006974310837300387
gap_006,604145987,prime_after_jump,-0.0006963849153044349
gap_006,604145989,prime_left_limit,-0.0006964883959491906
gap_006,604145989,prime_after_jump,-0.0006954422275194929
gap_006,604146031,prime_left_limit,-0.000697615321008134
gap_006,604146031,prime_after_jump,-0.000696569152621995
gap_006,604146041,prime_left_limit,-0.0006970865558172755
gap_006,604146041,prime_after_jump,-0.0006960403874415076
gap_006,604146077,prime_left_limit,-0.0006979030388969135
gap_006,604146077,prime_after_jump,-0.0006968568705523137
gap_006,604146079,prime_left_limit,-0.000696960351186901
gap_006,604146079,prime_after_jump,-0.0006959141828505433
gap_006,604146107,prime_left_limit,-0.0006973629117207211
gap_006,604146107,prime_after_jump,-0.0006963167434072345
gap_006,604146121,prime_left_limit,-0.0006970411078266836
gap_006,604146121,prime_after_jump,-0.0006959949395215486
gap_006,604146139,prime_left_limit,-0.0006969262651928208
gap_006,604146139,prime_after_jump,-0.0006958800969125216
gap_006,604146149,prime_left_limit,-0.0006963975000592376
gap_006,604146149,prime_after_jump,-0.0006953513317831415
gap_006,604146157,prime_left_limit,-0.0006957652543014254
gap_006,604146157,prime_after_jump,-0.0006947190860336263
gap_006,604146161,prime_left_limit,-0.0006949260472944544
gap_006,604146161,prime_after_jump,-0.0006938798790308038
gap_006,604146217,prime_left_limit,-0.0006967773365681363
gap_006,604146217,prime_after_jump,-0.0006957311683625637
gap_006,604146223,prime_left_limit,-0.0006960416102287058
gap_006,604146223,prime_after_jump,-0.0006949954420231879
gap_006,604146227,prime_left_limit,-0.0006952024032693792
gap_006,604146227,prime_after_jump,-0.0006941562350680097
gap_006,604146247,prime_left_limit,-0.0006951910412950886
gap_006,604146247,prime_after_jump,-0.0006941448731144614
gap_006,604146269,prime_left_limit,-0.0006952831599396707
gap_006,604146269,prime_after_jump,-0.0006942369917818599
gap_006,604146337,prime_left_limit,-0.0006977553326345771
gap_006,604146337,prime_after_jump,-0.0006967091645411218
gap_006,604146341,prime_left_limit,-0.0006969161257571286
gap_006,604146341,prime_after_jump,-0.0006958699576616536
gap_006,604146349,prime_left_limit,-0.00069628388009704
gap_006,604146349,prime_after_jump,-0.0006952377120160299
gap_006,604146353,prime_left_limit,-0.0006954446732354096
gap_006,604146353,prime_after_jump,-0.00069439850515238
gap_006,604146377,prime_left_limit,-0.0006956402724590797
