block_id,p_star,y,h,canonical_z,neg_Q,is_tail,scale_bin,decade,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30,h_mod_30,Q_pp,Qpp_over_denom,cp_ratio,prime_count,local_prime_count,d_worst,mu_over_sqrt_p,recovery_position,recovery_pos_bin,shell_pattern,shell_active_count,canonical_scaled_E_post,denom_sqrt_h_logB
350,178894987,178894798,3,-0.018563746874519164,0.018563746874519164,False,100M<=p<500M,1e8-1e9,0.50-0.55,>=1.00,h<=4,7,28,3,0.0,0.0,0.0624748732312566,2,2,0.5093324645641792,1.1220151127475742,0.2894736842105263,0.25-0.50,10100,2,-11.610182363046729,625.4223590488089
183,109726069,109724532,1537,-0.018535174756034445,0.018535174756034445,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,19,12,7,0.0,0.0,0.0924099628241718,72,72,0.5206202622554175,0.2806423184946106,0.016005121638924456,<=0.05,11111,5,-249.06377370785867,13437.357725843489
78,3441797,3441229,568,-0.01826160714045132,0.01826160714045132,False,p<100M,1e6-1e7,0.50-0.55,0.10-0.25,257<=h<=1024,17,19,28,0.0,0.0,0.0865309897820664,34,34,0.5395140348759366,0.2364809512915388,0.030716723549488054,<=0.05,11111,5,-98.59910576164287,5399.256757814914
559,179412683,179412616,3,-0.01809724491802191,0.01809724491802191,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,23,16,3,0.0,0.0,0.0619950192191761,2,2,0.5046693825929665,0.9366262333476564,0.6277777777777778,0.50-0.75,10100,2,-11.32186424801846,625.612589060102
184,604356173,604335487,20686,-0.017950843415599656,0.017950843415599656,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,h>8192,23,7,16,0.0,0.0,0.2819169646022565,1005,1005,0.5205875205310606,0.0468781621859058,0.007865707434052759,<=0.05,11111,5,-1055.5320602935026,58801.251610062136
219,604167899,604161649,6250,-0.01794450994623471,0.01794450994623471,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,29,19,10,0.0,0.0,0.1550942530280692,290,290,0.5172732423296151,0.1340000012880298,0.007936507936507936,<=0.05,11111,5,-579.9713449901546,32320.266573334306
98,33843191,33842396,795,-0.01786698348384646,0.01786698348384646,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,11,26,15,0.0,0.0,0.0761893412087709,35,35,0.5345501807262867,0.4769763734223912,0.02334152334152334,<=0.05,11111,5,-151.42414938407126,8475.081958908948
301,604360789,604358714,2075,-0.017860118525054897,0.017860118525054897,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,19,14,5,0.0,0.0,0.0905498237696835,91,91,0.5110799580241403,0.2567016929339186,0.03127917833800187,<=0.05,11111,5,-332.61514908516074,18623.34500292116
432,604813747,604812190,1557,-0.017778306486607668,0.017778306486607668,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,7,10,27,0.0,0.0,0.0809591793277333,72,72,0.5071543563506292,0.2157421214577808,0.047123623011015914,<=0.05,11111,5,-286.8240189118285,16133.371259399311
241,40846543,40846297,128,-0.017631206691171575,0.017631206691171575,False,p<100M,1e7-1e8,0.50-0.55,0.50-1.00,65<=h<=256,13,7,8,0.0,0.0,0.0576405602980837,11,11,0.5148229707481402,0.5100416853509171,0.3526315789473684,0.25-0.50,11111,5,-61.26600565262925,3474.8617451865503
327,109497203,109497076,3,-0.017588553985587244,0.017588553985587244,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,23,16,3,0.0,0.0,0.0638594994842023,2,2,0.5099744377853106,0.994406721691662,0.43805309734513276,0.25-0.50,10100,2,-10.439260685639727,593.5258062825443
304,604870961,604869251,1710,-0.01751015553677154,0.01751015553677154,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,11,11,0,0.0,0.0,0.084228112951883,75,75,0.5110119311425245,0.2960057158298597,0.055248618784530384,0.05-0.25,11111,5,-296.0553706547587,16907.637972320623
316,604434563,604433380,1183,-0.017499423222618864,0.017499423222618864,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,23,10,13,0.0,0.0,0.0706267903397897,48,48,0.5105318094227971,0.4402289565620084,0.05511182108626198,0.05-0.25,11111,5,-246.0764136513368,14061.97281595378
57,179620853,179616870,3983,-0.01734757717544536,0.01734757717544536,False,100M<=p<500M,1e8-1e9,0.55-0.60,0.25-0.50,1025<=h<=8192,23,0,23,0.0,0.0,0.1434186712486546,176,176,0.5561088242646545,0.3345482204258432,0.04712918660287081,<=0.05,11111,5,-395.495757607358,22798.32818194132
12,3279709,3278912,797,-0.017344614750364543,0.017344614750364543,False,p<100M,1e6-1e7,0.60-0.65,0.25-0.50,257<=h<=1024,19,2,17,0.0,0.0,0.1060058846880691,42,42,0.6235492881763838,0.4174089909971991,0.0860091743119266,0.05-0.25,11111,5,-110.22126572475428,6354.78315956471
175,12776941,12776609,332,-0.017323802955789655,0.017323802955789655,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,1,29,2,0.0,0.0,0.0675855848506355,21,21,0.521066220051637,0.3102327233864931,0.2905982905982906,0.25-0.50,11111,5,-84.51742159025667,4878.687537946786
635,109814437,109814320,3,-0.017119019784247874,0.017119019784247874,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,7,10,3,0.0,0.0,0.0633755060442757,2,2,0.503832284347281,0.8248869568317236,0.25949367088607594,0.25-0.50,10100,2,-10.16375609912765,593.7113355333502
370,179411909,179411668,3,-0.017008446329552483,0.017008446329552483,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,h<=4,29,28,3,0.0,0.0,0.0609062405598658,2,2,0.5088328774479058,0.4755938532421187,0.5418250950570342,0.50-0.75,10100,2,-10.640693313350678,625.6123050382492
411,179436077,179435746,3,-0.016914177320963245,0.016914177320963245,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,h<=4,17,16,3,0.0,0.0,0.0608113493141144,2,2,0.5076667264614221,0.445165140625516,0.28969957081545067,0.25-0.50,10100,2,-10.581867456172755,625.621173017839
160,33870121,33869043,1078,-0.016846602726609126,0.016846602726609126,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,1025<=h<=8192,1,3,28,0.0,0.0,0.0914618710863124,57,57,0.5232136310345508,0.23955614321944,0.07863247863247863,0.05-0.25,11111,5,-166.27306648425542,9869.827714381128
243,30781319,30781182,7,-0.016842403132266606,0.016842403132266606,False,p<100M,1e7-1e8,0.50-0.55,0.50-1.00,5<=h<=16,29,12,7,0.0,0.0,0.0666639054628127,3,3,0.5145396995342892,0.5629218044653177,0.6674757281553398,0.50-0.75,11111,5,-13.247973291973452,786.5845026944545
453,180641999,180641716,3,-0.016834125977533268,0.016834125977533268,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,h<=4,29,16,3,0.0,0.0,0.060700372540659,2,2,0.5067003836203221,0.4066469180865404,0.40794979079497906,0.25-0.50,10100,2,-10.539210483934555,626.0622320398534
