scope,residual,rows,mean_z,median_z,std_z,rms_z,min_z,max_z,neg_frac,neg_mean,neg_max,q01_z,q05_z,q10_z,q90_z,q95_z,q99_z,pass_Q_le_1_frac,pass_Q_le_0p1_frac,pass_Q_le_0p05_frac,worst_block_id,worst_p_star,worst_y,worst_h,worst_is_tail,worst_neg_Q,worst_z
mu_bin:0.10-0.25,canonical_raw,74,0.007691538264051493,0.0023858293254779023,0.02721457261092521,0.02828060684042492,-0.02869169149367154,0.11315396530060888,0.4864864864864865,0.006778287546853855,0.02869169149367154,-0.02754297725099253,-0.022517450172480406,-0.02173062392125738,0.03832331739169323,0.05550525404524193,0.09140930311092951,1.0,1.0,1.0,382,604365031,604363228,1803,True,0.02869169149367154,-0.02869169149367154
mu_bin:0.25-0.50,fitted,196,0.0033745343767833664,0.00032798405933698153,0.04098471523745296,0.041123404107092115,-0.06850346210343525,0.40334659129309175,0.45918367346938777,0.007919956916779105,0.06850346210343525,-0.060431502158134476,-0.048804502888657335,-0.03210971727960099,0.02363792343415988,0.03546739263729233,0.1474991885923625,1.0,1.0,0.9489795918367347,2,24317,24178,3,False,0.06850346210343525,-0.06850346210343525
mu_bin:0.25-0.50,canonical_scaled,196,0.0256200318303841,0.02499550469907205,0.05691341354913055,0.0624141223827128,-0.03946320129494251,0.6951187300366968,0.27040816326530615,0.0036402691531261027,0.03946320129494251,-0.026820750683240593,-0.01786183476475279,-0.016819877111245312,0.06277097962696598,0.07360261177075088,0.1396277907697201,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
mu_bin:0.25-0.50,canonical_raw,196,0.02565403074176659,0.025023565043268064,0.056935539046776076,0.062448257780713695,-0.03945333721536144,0.695432816341246,0.27040816326530615,0.0036338089180063776,0.03945333721536144,-0.026805687045232143,-0.017836770337622865,-0.0168039545338527,0.06281827648743109,0.0736533739281951,0.13971152850984545,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
mu_bin:0.50-1.00,fitted,579,0.009037973538300591,0.003263629519694279,0.041785044926833076,0.042751315128501964,-0.06248519914418012,0.5736457947872946,0.4110535405872193,0.0030081747482639523,0.06248519914418012,-0.053572735939697455,-0.015320137379727776,-0.00428455273337697,0.022636769828911805,0.06165878532877086,0.12588647042674053,1.0,1.0,0.9758203799654577,23,354619,354550,3,False,0.06248519914418012,-0.06248519914418012
mu_bin:0.50-1.00,canonical_scaled,579,0.041724259118046975,0.03393589014924606,0.06307133925628876,0.07562345955146324,-0.021038775957499166,0.9748126741428922,0.0535405872193437,0.0007282651413981534,0.021038775957499166,-0.017222317308542536,-0.002071430042930954,0.018676803149830168,0.07054806716528339,0.08994937619139379,0.24888814878501897,1.0,1.0,1.0,178,109496207,109495510,697,False,0.021038775957499166,-0.021038775957499166
mu_bin:0.50-1.00,canonical_raw,579,0.04176121110880409,0.03396888191861562,0.06309853012172656,0.07566652666005315,-0.021022742925218055,0.9752445214850918,0.0535405872193437,0.0007272471557802369,0.021022742925218055,-0.01720553716629868,-0.0020420710747536546,0.01870158872254273,0.07059982684020409,0.09000363275541423,0.24902055739255513,1.0,1.0,1.0,178,109496207,109495510,697,False,0.021022742925218055,-0.021022742925218055
mu_bin:>=1.00,fitted,597,0.003945222589299101,0.002072050884958734,0.018528935015351796,0.01894429238800557,-0.05797823084686299,0.32149289373124756,0.474036850921273,0.001466370001564122,0.05797823084686299,-0.005331774344612613,-0.004892667328570059,-0.004614680867859059,0.014082562467335774,0.021388182246454494,0.06011596633557133,1.0,1.0,0.9949748743718593,65,3439001,3438886,3,False,0.05797823084686299,-0.05797823084686299
mu_bin:>=1.00,canonical_scaled,597,0.03612258135037728,0.032795475769241064,0.03153018679251699,0.04794782124962132,-0.019754849314279888,0.5686409428526018,0.008375209380234505,0.00013048730192134493,0.019754849314279888,0.017692368393174875,0.018132778427345782,0.018409893085606994,0.0557996505178394,0.06946214653485934,0.13847489493348608,1.0,1.0,1.0,680,604865039,604864888,3,True,0.019754849314279888,-0.019754849314279888
mu_bin:>=1.00,canonical_raw,597,0.03615704945837385,0.03282858317071923,0.03154466660663245,0.04798331185796667,-0.01974078249130878,0.5689069923039282,0.008375209380234505,0.00013032755036184002,0.01974078249130878,0.017717153377577646,0.018157564999670056,0.018434678534203983,0.05584465837123248,0.06951389710245427,0.13855924660057028,1.0,1.0,1.0,680,604865039,604864888,3,True,0.01974078249130878,-0.01974078249130878
