candidate_id,block_id,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,offsets_sorted,offsets_full_length,sample_offsets_min,sample_offsets_max,left_endpoint_sampled_flag,right_endpoint_sampled_flag,offset_gap_pattern,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,simple_geometric_h_match_flag,simple_geometric_h_symmetric_difference_count,simple_geometric_h_missing_offsets,simple_geometric_h_extra_offsets,grid_origin_rule,grid_depends_on_Lambda_by_code_flag,grid_depends_on_candidate_h_flag,grid_depends_on_parent_sr11_y_path_flag,grid_endpoint_complete_flag,lambda_event_count,samples_on_event_count,event_to_sample_alignment_score,nearest_sample_distance_to_event_mean,nearest_sample_distance_to_event_max,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,Q_R2Q,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,row_status
hexc_00030,31,7105465,2778,7108243,False,38,0.013678905687544997,"0,1,2,3,4,5,6,8,10,12,15,16,19,24,30,32,38,47,59,64,74,93,116,128,146,183,230,288,362,454,569,713,895,1122,1408,1766,2215,2778",126,0,2778,True,True,"1,1,1,1,1,1,2,2,2,3,1,3,5,6,2,6,9,12,5,10,19,23,12,18,37,47,58,74,92,115,144,182,227,286,358,449,563",563,75.08108108108108,10.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,171,5,0.1794634604614738,74.39181286549707,276.0,9.362748946239613,2266.1853792782854,242.0427368383577,0.1766899326140388,negative,False,False,True,primitive_full_verified
hexc_00031,32,3292080,1033,3293113,False,37,0.03581800580832527,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,20,24,29,32,35,43,53,64,78,96,117,128,142,173,211,258,314,383,467,570,695,847,1033",114,0,1033,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,3,3,8,10,11,14,18,21,11,14,31,38,47,56,69,84,103,125,152,186",186,28.694444444444443,6.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,61,3,0.3913924430602979,26.59016393442623,92.0,10.433514785246915,702.8129478372003,67.36109185669476,0.1154116378424172,negative,False,False,True,primitive_full_verified
hexc_00032,33,1197615,4,1197697,False,5,1.25,"0,1,2,3,4",9,0,4,True,True,"1,1,1,1",1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,2,2,1.0,0.0,0.0,24.4854630765767,24.4854630765767,1.0,0.0726584885625681,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00033,34,126,1,127,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.2157084836048593,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00034,35,354952,1,354953,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.080127585396028,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00035,36,39704004,3847,39707851,False,39,0.010137769690668054,"0,1,2,3,4,5,7,8,10,11,13,16,17,21,27,32,34,44,55,64,70,88,112,128,142,179,227,287,364,461,583,738,934,1183,1498,1896,2400,3039,3847",131,0,3847,True,True,"1,1,1,1,1,2,1,2,1,2,3,1,4,6,5,2,10,11,9,6,18,24,16,14,37,48,60,77,97,122,155,196,249,315,398,504,639,808",808,101.23684210526316,10.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,194,4,0.1547496840701008,108.50515463917526,380.0,24.37384681290929,12814.344762733344,525.7415811748842,0.1623741874086595,negative,False,False,True,primitive_full_verified
hexc_00036,37,1656,1,1657,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.1389495863976313,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00037,38,155920,1,156007,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0868104441327406,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00038,39,39682692,7975,39690667,False,39,0.004890282131661442,"0,1,2,3,4,5,6,8,10,13,16,17,22,28,32,36,47,61,64,79,102,128,131,170,219,283,366,474,612,791,1023,1322,1709,2210,2856,3692,4773,6170,7975",136,0,7975,True,True,"1,1,1,1,1,1,2,2,3,3,1,5,6,4,4,11,14,3,15,23,26,3,39,49,64,83,108,138,179,232,299,387,501,646,836,1081,1397,1805",1805,209.8684210526316,14.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,435,4,0.0654448007713223,261.5816091954023,875.0,15.142610100355745,8185.379545009751,540.5527508640967,0.2349256240499423,negative,False,False,True,primitive_full_verified
hexc_00039,40,30409154,8327,30417481,False,39,0.004683559505223971,"0,1,2,3,4,5,6,8,10,13,16,17,22,29,32,37,48,62,64,80,104,128,134,174,225,291,377,488,631,817,1058,1369,1772,2293,2968,3841,4971,6434,8327",136,0,8327,True,True,"1,1,1,1,1,1,2,2,3,3,1,5,7,3,5,11,14,2,16,24,24,6,40,51,66,86,111,143,186,241,311,403,521,675,873,1130,1463,1893",1893,219.1315789473684,15.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,470,1,0.06261550833598,265.51063829787233,944.0,15.415499961309294,16782.973974333727,1088.7077303010994,0.24963148266117,negative,False,False,True,primitive_full_verified
