group_field,group_value,rows,C_bridge_max,C_bridge_sq_max,B_abs_max,B_sq_over_h_max,dB_L2_max,ddB_L2_max,curvature_ratio_max,effective_support_min,effective_support_frac_min,kappa_L2_max,zero_crossing_count_max,threshold_relevant_rows,forbidden_rows,surviving_proxy_rows,failures
h_bin_shape,101<=h<=1k,62.0,8.008560508629008,64.13704142037213,99.80769344228564,64.13704142037233,110.57021068161897,179.0172691831005,2.0747631057556077,2.140379824677754,0.061153709276507255,0.683525270892206,11.0,0.0,0.0,0.0,0.0
h_bin_shape,10k<h<=100k,15.0,3.972523031931926,15.78093923922962,459.0970686143192,15.780939239229664,623.7746511368516,986.0596668527957,1.7222070203406938,1.9558972702648023,0.048897431756620056,0.7150344719309796,14.0,0.0,0.0,0.0,0.0
h_bin_shape,11<=h<=100,3.0,8.580752479596955,73.62931311610929,18.50388997128084,73.62931311610959,28.757011322049866,46.664075794202326,0.8207350341918539,2.795554907115363,0.20987604353427172,0.5980892364862637,4.0,0.0,0.0,0.0,0.0
h_bin_shape,1k<h<=10k,80.0,6.763592223850025,45.74617977052452,335.81014783297,45.74617977052461,464.1544990091314,709.0068651172052,2.0923493384552385,1.5165343292347004,0.037913358230867514,0.8120333708824401,13.0,0.0,0.0,0.0,0.0
h_bin_shape,2<=h<=10,64.0,7.389235181064235,54.6007965610774,13.100680718981152,54.60079656107779,22.43003988287357,34.54609331319811,0.5885121251796207,1.9795187585668574,0.24406722983928716,0.7107554347586448,2.0,0.0,0.0,0.0,0.0
h_bin_shape,h<=1,1241.0,4.547473508864642e-13,2.06795153138257e-25,4.547473508864641e-13,2.0679515313825692e-25,4.547473508864641e-13,0.0,4.5474735088646406e+17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
h_bin_shape,h>100k,3.0,2.2898667182106016,5.243489587168591,667.0135370697717,5.243489587168652,1474.2515025952246,2715.107599721836,0.8413732300380837,4.135463598521691,0.10086496581760224,0.491742674334354,4.0,3.0,1.0,0.0,0.0
p_star_bin_shape,100M<=p<500M,530.0,7.5172957888070675,56.50973597641647,667.0135370697717,56.50973597641649,1474.2515025952246,2715.107599721836,1.8860337637578575,0.0,0.0,0.8120333708824401,9.0,1.0,1.0,0.0,0.0
p_star_bin_shape,1M<=p<100M,734.0,8.580752479596955,73.62931311610929,363.3590972929378,73.62931311610959,665.981382093748,1034.6839898829146,4.5474735088646406e+17,0.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0
p_star_bin_shape,500M<=p<1B,142.0,8.008560508629008,64.13704142037213,311.51713925927834,64.13704142037233,583.7179531620146,818.8316415567805,2.0747631057556077,0.0,0.0,0.7382422708040317,11.0,1.0,0.0,0.0,0.0
p_star_bin_shape,p<1M,62.0,4.659963846370241,21.71526304947773,58.86631372712248,21.715263049477823,87.4113564817944,120.56372275443586,5.6843418860808024e+16,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
