candidate_id,x,source,theta_candidate_flag,B3_candidate_flag,post_P0_flag,finite_certificate_flag,selected_block_id,covered_flag,control_relation_flag,status
cand_00234,12805417,theta,True,False,False,True,theta_local:235:12804850:567,True,True,covered
cand_00235,7114039,theta,True,False,False,True,theta_local:236:7114038:1,True,True,covered
cand_00236,1189109,theta,True,False,False,True,theta_local:237:1189108:1,True,True,covered
cand_00237,109610882,theta,True,False,False,True,theta_local:238:109610360:522,True,True,covered
cand_00238,1185979,theta,True,False,False,True,theta_local:239:1185978:1,True,True,covered
cand_00239,3458053,theta,True,False,False,True,theta_local:240:3458052:1,True,True,covered
cand_00240,40846425,theta,True,False,False,True,theta_local:241:40846297:128,True,True,covered
cand_00241,30338299,theta,True,False,False,True,theta_local:242:30338298:1,True,True,covered
cand_00242,30781189,theta,True,False,False,True,theta_local:243:30781182:7,True,True,covered
cand_00243,7108399,theta,True,False,False,True,theta_local:244:7108398:1,True,True,covered
cand_00244,7114351,theta,True,False,False,True,theta_local:245:7114350:1,True,True,covered
cand_00245,12808387,theta,True,False,False,True,theta_local:246:12808371:16,True,True,covered
cand_00246,30364069,theta,True,False,False,True,theta_local:247:30364068:1,True,True,covered
cand_00247,22048823,theta,True,False,False,True,theta_local:248:22048822:1,True,True,covered
cand_00248,1197167,theta,True,False,False,True,theta_local:249:1197166:1,True,True,covered
cand_00249,12777763,theta,True,False,False,True,theta_local:250:12777762:1,True,True,covered
cand_00250,12802759,theta,True,False,False,True,theta_local:251:12802758:1,True,True,covered
cand_00251,39640132,theta,True,False,False,True,theta_local:252:39639838:294,True,True,covered
cand_00252,153059,theta,True,False,False,True,theta_local:253:153058:1,True,True,covered
cand_00253,109611739,theta,True,False,False,True,theta_local:254:109611738:1,True,True,covered
cand_00254,33472333,theta,True,False,False,True,theta_local:255:33472329:4,True,True,covered
cand_00255,33913801,theta,True,False,False,True,theta_local:256:33913800:1,True,True,covered
cand_00256,7103077,theta,True,False,False,True,theta_local:257:7103076:1,True,True,covered
cand_00257,179145961,theta,True,False,False,True,theta_local:258:179143998:1963,True,True,covered
cand_00258,1512751,theta,True,False,False,True,theta_local:259:1512750:1,True,True,covered
cand_00259,108586733,theta,True,False,False,True,theta_local:260:108586732:1,True,True,covered
cand_00260,3284137,theta,True,False,False,True,theta_local:261:3284136:1,True,True,covered
cand_00261,7118317,theta,True,False,False,True,theta_local:262:7118316:1,True,True,covered
cand_00262,39693439,theta,True,False,False,True,theta_local:263:39693438:1,True,True,covered
cand_00263,31039823,theta,True,False,False,True,theta_local:264:31039822:1,True,True,covered
cand_00264,33881387,theta,True,False,False,True,theta_local:265:33881386:1,True,True,covered
cand_00265,40875397,theta,True,False,False,True,theta_local:266:40875396:1,True,True,covered
cand_00266,359207,theta,True,False,False,True,theta_local:267:359206:1,True,True,covered
cand_00267,30796769,theta,True,False,False,True,theta_local:268:30796057:712,True,True,covered
cand_00268,178899467,theta,True,False,False,True,theta_local:269:178898710:757,True,True,covered
