metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,rho,W,K,rho_bin,W_bin,event_count,sample_count
product_margin_to_65,19,hexc_00423,424,178907011,4,False,19.86371425315634,0.0625000000367684,722.1805715246438,45.13628574684366,1/16..0.063,400..800,2,5
product_margin_to_65,20,hexc_00459,460,178299217,4,False,19.87987978931848,0.0625000000369003,721.9219229446782,45.12012021068152,1/16..0.063,400..800,2,5
top_eigenvector_alignment,1,hexc_00032,33,1197697,4,False,0.2897842057884488,0.0625000074574887,391.767362479616,24.48546307657668,1/16..0.063,100..400,2,5
top_eigenvector_alignment,2,hexc_00231,232,7103387,4,False,0.2897841572291803,0.0625000011154557,497.7685930500613,31.11053762086765,1/16..0.063,400..800,2,5
top_eigenvector_alignment,3,hexc_00185,186,22052431,4,False,0.2897841512551762,0.0625000003352271,571.823778567229,35.73898635214264,1/16..0.063,400..800,2,5
top_eigenvector_alignment,4,hexc_00123,124,30340987,4,False,0.2897841505194423,0.0625000002391374,593.6083048512339,37.10051919515607,1/16..0.063,400..800,2,5
top_eigenvector_alignment,5,hexc_00297,298,30423359,4,False,0.2897841505141939,0.0625000002384519,593.7952814317096,37.11220523107346,1/16..0.063,400..800,2,5
top_eigenvector_alignment,6,hexc_00399,400,31019993,4,False,0.2897841504770592,0.062500000233602,595.1346872686706,37.19591809331656,1/16..0.063,400..800,2,5
top_eigenvector_alignment,7,hexc_00254,255,33472553,4,False,0.289784150338733,0.062500000215536,600.3964743596705,37.52477977688646,1/16..0.063,400..800,2,5
top_eigenvector_alignment,8,hexc_00360,361,33862799,4,False,0.28978415031862,0.0625000002129092,601.2002262852478,37.57501427082905,1/16..0.063,400..800,2,5
top_eigenvector_alignment,9,hexc_00341,342,40864051,4,False,0.2897841500248326,0.0625000001745394,614.3043273743798,38.394020568119046,1/16..0.063,400..800,2,5
top_eigenvector_alignment,10,hexc_00428,429,108831299,4,False,0.2897841491636602,0.0625000000620669,684.8928925852447,42.80580582908696,1/16..0.063,400..800,2,5
top_eigenvector_alignment,11,hexc_00619,620,109709357,4,False,0.2897841491596531,0.0625000000615436,685.487680238085,42.84298005706769,1/16..0.063,400..800,2,5
top_eigenvector_alignment,12,hexc_00459,460,178299217,4,False,0.2897841489709666,0.0625000000369003,721.9219229446782,45.12012021068152,1/16..0.063,400..800,2,5
top_eigenvector_alignment,13,hexc_00423,424,178907011,4,False,0.2897841489699563,0.0625000000367684,722.1805715246438,45.13628574684366,1/16..0.063,400..800,2,5
top_eigenvector_alignment,14,hexc_00448,449,178913689,4,False,0.2897841489699452,0.0625000000367669,722.1834417950718,45.13646513874443,1/16..0.063,400..800,2,5
top_eigenvector_alignment,15,hexc_00525,526,179146433,4,False,0.2897841489695602,0.0625000000367167,722.2822301767951,45.14263941256952,1/16..0.063,400..800,2,5
top_eigenvector_alignment,16,hexc_00444,445,179382319,4,False,0.2897841489691714,0.0625000000366658,722.3822345675421,45.1488896869581,1/16..0.063,400..800,2,5
top_eigenvector_alignment,17,hexc_00322,323,179438351,4,False,0.2897841489690788,0.0625000000366538,722.4060132204793,45.15037585275888,1/16..0.063,400..800,2,5
top_eigenvector_alignment,18,hexc_00673,674,187509659,4,False,0.289784148956378,0.062500000034995,725.7547376795558,45.359671130370025,1/16..0.063,400..800,2,5
top_eigenvector_alignment,19,hexc_00662,663,604872131,4,True,0.2897841487666825,0.06250000001022,817.7394705925482,51.108716920391565,1/16..0.063,800..1040,2,5
top_eigenvector_alignment,20,hexc_00059,60,3291137,8,False,0.289566221076704,0.0703125109678581,675.6027791925528,47.50332782189178,>0.07,400..800,3,9
spectral_tightness,1,hexc_00000,1,180530237,684790,False,114838.53541857496,3.2735856737309205e-07,12959053.727783969,4.242257262838288,1e-8..1e-5,>1M,35864,41
spectral_tightness,2,hexc_00040,41,604672261,151650,True,55577.29324731847,7.088585359010924e-07,3033676.629773508,2.1504475741786093,1e-8..1e-5,>1M,7420,41
spectral_tightness,3,hexc_00002,3,30974597,64413,False,25529.91629544947,1.9422371715622123e-06,1093316.616665536,2.123480173174438,1e-8..1e-5,>1M,3676,41
spectral_tightness,4,hexc_00063,64,604810421,53021,True,20983.438652579865,2.0377749152049087e-06,1051188.9309305267,2.1420864345912927,1e-8..1e-5,>1M,2571,41
