block_id,p_star,y,h,theta_local_error,theta_local_norm,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,cp_residual_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30
53,356243,356170,3,22.56633807844032,0.0797278138309229,0.0917954514179663,-0.548319768917063,-0.5900709300975293,-0.0417511611804663,0.0880421204440856,-0.0917954514179663,0.0025588807575882,False,p<100M,0.55-0.60,0.50-1.00,2<=h<=4,23,10
886,59183,59182,1,9.988389617470986,0.0827232092941124,0.0905353629639327,-0.4900741524301304,-0.5339134899314986,-0.043839337501368,0.0883271811389778,-0.0905353629639327,0.0029991845302458,False,p<100M,0.50-0.55,0.50-1.00,h=1,23,22
14,1195669,1195386,205,18.90523282037472,0.0067422977497207,0.0899443884131837,-0.6281328589048997,-0.7943559478154691,-0.1662230889105694,0.0648220454203745,-0.0899443884131837,-0.0027052105335383,False,p<100M,0.60-0.65,0.50-1.00,65<=h<=256,19,6
114,359477,359416,3,22.58448267109209,0.07967922224676,0.0897827713986883,-0.6068931940393465,-0.6484863887567077,-0.0415931947173612,0.087981785829136,-0.0897827713986883,0.0025552666238871,False,p<100M,0.50-0.55,0.25-0.50,2<=h<=4,17,16
38,156007,155920,1,10.957104747706284,0.0766308585381272,0.0868104441327406,-0.5549762981009645,-0.584430540661439,-0.0294542425604744,0.081363154764434,-0.0868104441327405,0.0025326732587859,False,p<100M,0.55-0.60,>=1.00,h=1,7,10
253,153059,153058,1,10.938578746956969,0.0767459808386534,0.0867976721097067,-0.4840518795057769,-0.5137410681265461,-0.0296891886207691,0.0814934132197051,-0.0867976721097067,0.002540773963503,False,p<100M,0.50-0.55,>=1.00,h=1,29,28
1278,152981,152980,1,10.938069009656688,0.0767489581859055,0.0849231420569244,-0.4891339766189196,-0.5188294297976743,-0.0296954531787546,0.0814967959918256,-0.0849231420569244,0.002540990942465,False,p<100M,0.50-0.55,0.50-1.00,h=1,11,10
190,31026421,31025775,446,88.76041429147188,0.0141239471794488,0.0841518906254193,-0.5300963950993764,-0.6096433273636677,-0.0795469322642911,0.0705059941082901,-0.0841518906254193,-0.0023767663002295,False,p<100M,0.50-0.55,0.25-0.50,257<=h<=1024,1,15
58,1188511,1188358,3,24.97616952660599,0.0736954721948265,0.0833294497303515,-0.567923615967328,-0.5929921880540032,-0.0250685720866752,0.0806391928862905,-0.0833294497303515,0.0021370577344569,False,p<100M,0.55-0.60,0.50-1.00,2<=h<=4,1,28
61,1190143,1190068,3,24.97904537377347,0.0736894995793346,0.0832943901091022,-0.6155224430825692,-0.6405764575867605,-0.0250540145041913,0.080631858151701,-0.0832943901091022,0.0021366385172556,False,p<100M,0.55-0.60,0.25-0.50,2<=h<=4,13,28
