block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_t,exc_signed,Q_exc,Q_DeltaD,Q_DeltaD_log1,Q_delayed_proxy,sampled_points,sampled_offset_min,sampled_offset_max,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
309,108834839,108833866,973,-5334.194500249197,-6022.507405333554,-688.3129050843572,36.023724359908556,108834230,36.023724359908556,0.003372391273015866,0.06443699188399456,1.19242857564919,0.06780938315701042,38,0.0,973.0,False,257<=h<=1024,100M<=p<500M,0.10-0.25,0.50-0.55,0.0626204238921002
121,108842081,108840439,1642,-5503.47307130696,-6591.10752306141,-1087.6344517544494,114.32572440408967,108841310,-114.32572440408967,0.008238725408724648,0.0783788743940217,1.4504330956036544,0.08661759980274636,36,0.0,1642.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.05523590333716916
425,108843373,108842535,838,-5300.076800727035,-5923.599839927494,-623.5230392004587,33.64180410649078,108842753,-33.64180410649078,0.003393589863900551,0.06289738383355278,1.163942533789872,0.06629097369745333,36,0.0,838.0,False,257<=h<=1024,100M<=p<500M,0.10-0.25,0.50-0.55,0.06263982102908278
153,108849263,108847420,1843,-5463.6910115676,-6648.966109368655,-1185.2750978010554,61.5058837770157,108848907,-61.5058837770157,0.004183632628495639,0.08062245867210684,1.4919568591174734,0.08480609130060247,39,0.0,1843.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.015491452991452992
87,109467389,109460158,7231,-5686.430382908249,-11254.153785467564,-5567.723402559313,216.56927394503873,109464510,-216.56927394503873,0.007432440791926819,0.19107869635213975,3.5370839728681323,0.19851113714406657,38,0.0,7231.0,False,1025<=h<=8192,100M<=p<500M,0.05-0.10,0.50-0.55,0.04729907773386034
321,109471171,109470995,14,-5339.52837913216,-5410.797341641053,-71.26896250889331,13.164333829767202,109471003,-13.164333829767202,0.010267555200510526,0.05558640612626561,1.028969513215365,0.06585396132677614,14,0.0,14.0,False,5<=h<=16,100M<=p<500M,0.50-1.00,0.50-0.55,0.35294117647058826
275,109494199,109492961,1238,-5358.8281369471615,-6234.09158488742,-875.2634479402586,63.033965253412134,109493785,-63.033965253412134,0.005228012455890451,0.07259400847814497,1.3438154311892934,0.07782202093403542,37,0.0,1238.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.02365930599369085
178,109496207,109495510,697,-5438.876135927671,-5813.93395437238,-375.0578184447095,34.761778992031395,109495513,-34.761778992031395,0.0038424396271850734,0.041457516440913306,0.767436689219554,0.045299956068098376,37,0.0,697.0,False,257<=h<=1024,100M<=p<500M,0.50-1.00,0.50-0.55,0.07066666666666667
163,109511267,109509400,1867,-5528.888061270387,-6922.538028451576,-1393.649967181189,84.87833705574849,109510614,-84.87833705574849,0.005732442374278748,0.09412316974983156,1.7423646332131155,0.09985561212411032,39,0.0,1867.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.12593632958801498
79,109546081,109535495,10586,-5629.528205982864,-13711.075906795208,-8081.547700812343,152.6328723392062,109536245,152.6328723392062,0.004328946441507769,0.2292074218688508,4.2430547533282015,0.23353636831035857,40,0.0,10586.0,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,0.007872539831302717
274,109547591,109546815,776,-5372.028432568844,-5879.007612664097,-506.9791800952535,65.83835952501795,109546911,-65.83835952501795,0.006896799080000958,0.05310784728061055,0.9831255453906904,0.06000464636061151,37,0.0,776.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.08705882352941176
139,109556411,109553597,2814,-5577.114489186137,-7683.50311673887,-2106.388627552733,146.86807896261053,109555384,-146.86807896261053,0.008079063541420708,0.11587029451959277,2.14498511526129,0.12394935806101348,38,0.0,2814.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0945945945945946
44,109588091,109577354,10737,-5924.212674655511,-13826.417254912514,-7902.204580257003,235.6779201208592,109583672,-235.6779201208592,0.006636811923388666,0.22253016129984254,4.119531590288212,0.2291669732232312,40,0.0,10737.0,False,8193<=h<=65536,100M<=p<500M,0.10-0.25,0.55-0.60,0.007854370726298281
344,109597217,109596735,482,-5326.882494183475,-5635.030434989114,-308.14794080563934,47.04606017184142,109597074,-47.04606017184142,0.006252848752278183,0.04095566047711019,0.7581843965836234,0.04720850922938837,36,0.0,482.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.0622568093385214
238,109610987,109610360,522,-5386.834317013011,-5723.89277933448,-337.05846232146905,64.70127913943543,109610610,64.70127913943543,0.008263231192206386,0.04304693873902578,0.79690422244714,0.051310169931232164,35,0.0,522.0,False,257<=h<=1024,100M<=p<500M,0.50-1.00,0.50-0.55,0.05572289156626506
28,109670797,109660803,9994,-6062.627144332166,-13303.443764865187,-7240.816620533022,335.81014783296996,109668485,-335.81014783296996,0.009801010117957643,0.21133166289965347,3.912381740060717,0.2211326730176111,40,0.0,9994.0,False,8193<=h<=65536,100M<=p<500M,0.10-0.25,0.55-0.60,0.0157573370100453
130,109678603,109674416,4187,-5519.895666364461,-8603.10761282572,-3083.211946461258,77.62774602182799,109675206,77.62774602182799,0.003500328875593152,0.13902575250268706,2.573792772748124,0.1425260813782802,40,0.0,4187.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.015749882463563705
167,109682107,109679748,2359,-5453.633689758733,-7153.385010516275,-1699.7513207575412,134.7496860670908,109681262,-134.7496860670908,0.00809479113805022,0.10210882362506386,1.8903505362586552,0.11020361476311408,40,0.0,2359.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.031609195402298854
183,109726069,109724532,1537,-5448.4783715326375,-6465.863109263582,-1017.3847377309448,72.52622321265426,109724765,72.52622321265426,0.005397357478484606,0.07571315421440726,1.4017152939934336,0.08111051169289187,37,0.0,1537.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.016005121638924456
155,109764139,109762638,1501,-5481.35391417735,-6413.370502326608,-932.0165881492584,72.1996998915547,109763626,-72.1996998915547,0.0054369060202125894,0.07018431664754646,1.2993815198932055,0.07562122266775904,37,0.0,1501.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.031612903225806455
191,109772783,109770459,2324,-5448.920187169137,-7137.928095222615,-1689.007908053478,90.38099089834122,109771951,-90.38099089834122,0.005469682555933326,0.10221548801013534,1.8924096926575031,0.10768517056606867,40,0.0,2324.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.03166666666666667
25,109813367,109790208,23159,-6243.548424860049,-23926.429705648483,-17682.881280788435,238.2995725304463,109799994,-238.2995725304463,0.004568242033870992,0.3389837450779626,6.276044317307687,0.3435519871118336,41,0.0,23159.0,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.55-0.60,0.01576710582235444
177,110319577,110315160,4417,-5474.407026463776,-8752.192725143545,-3277.7856986797688,113.3595583565957,110317894,-113.3595583565957,0.004973526654107911,0.14380926297856408,2.663188203536213,0.148782789632672,40,0.0,4417.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.015819964349376114
62,113166227,113154493,11734,-5856.2186019128885,-14610.087699235217,-8753.869097322327,155.79720659571103,113163471,-155.79720659571103,0.0041822745120619845,0.23499191293373353,4.35777658828755,0.23917418744579552,40,0.0,11734.0,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.55-0.60,0.0
75,113195507,113182659,12848,-5799.97247180605,-15688.446175697762,-9888.473703891712,206.45914079307295,113190141,-206.45914079307295,0.0052963922956069075,0.2536736118314834,4.704282519308923,0.2589700041270903,41,0.0,12848.0,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,0.01578060364639191
347,177979733,177979051,682,-6779.548771023843,-7266.534626455285,-486.9858554314424,32.95722622556514,177979139,-32.95722622556514,0.003496875571972935,0.05167088183026705,0.9816010554042044,0.05516775740223999,36,0.0,682.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.10263157894736842
95,178011341,178005997,5344,-7170.087294076646,-11049.8280269501,-3879.7407328734553,182.22731859912165,178009269,-182.22731859912165,0.006907069951191832,0.14705611014008735,2.7936775439059063,0.15396318009127918,41,0.0,5344.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.031533164189923885
10,178298621,178254856,43765,-8710.023780257156,-41728.370810160646,-33018.34702990349,189.86549926782936,178261863,189.86549926782936,0.0025143310542018005,0.43725192631542403,8.30733638295576,0.4397662573696258,40,0.0,43765.0,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.60-0.65,0.007866340224882118
269,178899467,178898710,757,-6854.881099323675,-7326.551171646221,-471.67007232254673,32.488366979192506,178899336,-32.488366979192506,0.0032701375592180844,0.04747625573328854,0.9021596955347813,0.05074639329250663,36,0.0,757.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.06311881188118812
159,178905659,178902349,3310,-6996.431690742732,-9299.78205287505,-2303.350362132319,141.52648954555298,178904975,-141.52648954555298,0.006812526973916727,0.11087420116752512,2.106872503142349,0.11768672814144185,36,0.0,3310.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0077937649880095924
