block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_signed,exc_t,exc_offset,exc_offset_frac,Q_exc,Q_DeltaD,Q_delayed_proxy,sampled_points,endpoint_line_r2,rms_diff,mean_abs_diff,rms_diff_norm,mean_abs_diff_norm,exc_over_abs_DeltaD,rms_over_abs_DeltaD,max_abs_residual_slope,rms_residual_slope,max_abs_curvature,rms_curvature,zero_crossings,peak_count_90pct,shape_class,endpoint_dominated_2pct,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
111,30780011,30777698,2313,-2938.402426159111,-4635.73955686786,-1697.337130708749,103.84418611571164,-103.84418611571164,30779552,1854.0,0.8015564202334631,0.007262734120337649,0.1187096625628934,0.1259723966832311,40,0.9973038210290348,20.889790451112365,11.691840394880092,0.0014610061434440053,0.0008177128767788576,0.06118064834435685,0.01230739024862404,16.18512616293947,3.0115920742336377,17.06266226217349,4.506474104158449,11,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0157446808510638
243,30781319,30781182,7,-3022.466545001178,-3072.7566762851056,-50.29013128392762,12.28521502684498,12.28521502684498,30781186,4.0,0.5714285714285714,0.015618430041224854,0.0639348107058531,0.079553240747078,8,0.7704271691413405,6.874236958482196,5.226605529793744,0.008739349599355715,0.006644684089109238,0.24428679570322082,0.13669156916039218,9.734759780475997,8.431147944824046,17.062775324633094,13.84460980333414,1,1,small_absolute_excursion,False,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.6674757281553398
113,30784249,30783029,1220,-2937.080989820042,-3772.818109536277,-835.7371197162352,86.71467660723147,-86.71467660723147,30783842,813.0,0.6663934426229509,0.008350481782962244,0.0804801201663452,0.0888306019493075,37,0.9762990944623002,32.74903573401219,23.99779308863982,0.0031536786736242363,0.0023109482945505504,0.10375831653459934,0.03918580970189734,10.594385871937144,2.291422007925317,11.44109133043427,3.4254508549325537,3,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0317460317460317
268,30796769,30796057,712,-2851.2621863035374,-3394.78964311343,-543.5274568098926,38.46280050324822,-38.46280050324822,30796071,14.0,0.019662921348314606,0.004848185874481388,0.0685109275461097,0.0733591134205911,36,0.9803657674485807,18.774450130899318,14.64556412276593,0.002366494970071002,0.0018460542699642681,0.07076514722732986,0.0345418614932382,7.6963924154845245,2.216176957685524,8.78312374004895,3.4283141630508154,5,4,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.094147582697201
166,30799397,30798784,510,-2891.3488816673644,-3269.5170712739714,-378.16818960660703,24.448484868743435,-24.448484868743435,30798831,47.0,0.09215686274509804,0.003641169698940132,0.05632146779202,0.0599626374909602,35,0.9879690100797257,10.160299639011852,8.277094896277283,0.0015131970498924315,0.0012327269887430804,0.0646497657409424,0.026867145144019642,16.178129544921376,2.971236005482958,17.12657984065254,4.432799624431451,8,2,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0626911314984709
63,30816007,30813688,2319,-3050.1645931153994,-4677.495358670547,-1627.3307655551475,108.02985084773991,-108.02985084773991,30815546,1858.0,0.8012074169900819,0.007544670920713242,0.1136507642000766,0.1211954351207899,40,0.9948272613812055,27.466715106778622,18.382455973646053,0.00191824134836305,0.0012838079470380045,0.06638469150485618,0.01687838495292543,16.218381643734574,3.2567529171875473,17.12706383348268,4.87262894213948,3,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.031328320802005
174,30825511,30824836,675,-2876.426532159537,-3375.7104723839648,-499.2839402244276,85.60944577509645,-85.60944577509645,30825019,183.0,0.27111111111111114,0.011081566728119278,0.0646289466049177,0.075710513333037,36,0.951411553348052,28.094275761737727,20.16461478661827,0.0036366149636077342,0.0026101737055017078,0.17146444914013273,0.0562691356527698,16.18080140752454,3.2490740676619514,16.92055964870906,4.586484046782432,4,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1094986807387862
21,30847123,30831334,15789,-3291.774805658332,-15413.68237434975,-12121.907568691418,225.3338417937175,-225.3338417937175,30843312,11978.0,0.7586294255494331,0.006030386853480715,0.3244066291128366,0.3304370159663173,40,0.999651596767485,49.827539926842235,30.184923566127374,0.0013334851938981696,0.0008078092700036227,0.01858897541635377,0.00411053620434603,16.152948255773026,2.938063613638086,17.127636142372012,4.419576448238119,5,1,near_linear_endpoint_dominated,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,0.0078547191152444
179,30851287,30850871,350,-2875.782446443294,-3166.1871111855094,-290.4046647422156,36.68218819202775,-36.68218819202775,30851119,248.0,0.7085714285714285,0.006593416008431927,0.0521985971886696,0.0587920131971015,35,0.9277498342491822,19.438316948367913,17.007329323164193,0.0034939276106815543,0.0030569713244204843,0.1263140460384462,0.06693527793578243,16.09159805723948,4.173419727512675,17.065036810789024,6.282185257944871,5,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1578947368421052
3,30974597,30910184,64413,-4189.11794672998,-54354.14035448835,-50165.02240775837,169.26185381026153,-169.26185381026153,30957127,46943.0,0.7287814571592691,0.0022416133345536226,0.6643586881865706,0.6666003015211243,41,0.9999699089579047,57.70989470743611,38.371401459666345,0.0007642789358604534,0.0005081702890594467,0.003374101030683164,0.0011504010551086862,16.144443600077466,2.692066766379106,17.084921396115078,3.9458009331052555,9,1,near_linear_endpoint_dominated,True,False,8193<=h<=65536,p<100M,0.018-0.05,>=0.70,0.0078707411742961
