block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
198,40839853,40839496,3,0.0,7.87531508263498,0.0,7.87531508263498,0.0,0.014804129795277433,0.0,0.014804129795277433,0.0301511056,0.04495523539527743,0.9550447646047225,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.03592037752933982
513,33413579,33413518,3,0.0,7.500113452260244,0.0,7.500113452260244,0.0,0.014427369142893779,0.0,0.014427369142893779,0.0301511056,0.04457847474289378,0.9554215252571062,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.03675744007492223
227,17642453,17642326,3,0.0,6.935366372294702,0.0,6.935366372294702,0.0,0.014381816469629594,0.0,0.014381816469629594,0.0301511056,0.044532922069629596,0.9554670779303704,bdy,False,h<=4,p<100M,>=1.00,0.50-0.55,10100,True,0.03962509174997424
328,33489013,33488866,3,0.0,7.45374473955005,0.0,7.45374473955005,0.0,0.014334441425129895,0.0,0.014334441425129895,0.0301511056,0.04448554702512989,0.9555144529748701,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.036747872875922745
182,30788077,30787786,3,0.0,7.371598047031988,0.0,7.371598047031988,0.0,0.01431507391337843,0.0,0.01431507391337843,0.0301511056,0.04446617951337843,0.9555338204866216,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.037107175248672956
225,30422863,30422680,3,0.0,7.140903546845788,0.0,7.140903546845788,0.0,0.013886296934750767,0.0,0.013886296934750767,0.0301511056,0.04403740253475077,0.9559625974652493,bdy,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10100,True,0.03715859011625758
315,33926539,33926350,3,0.0,7.031714019381578,0.0,7.031714019381578,0.0,0.013502587692171383,0.0,0.013502587692171383,0.0301511056,0.04365369329217138,0.9563463067078286,bdy,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10100,True,0.03669287604054229
170,17641879,17641576,3,0.0,6.018252021720308,0.0,6.018252021720308,0.0,0.01248005208955423,0.0,0.01248005208955423,0.0301511056,0.04263115768955423,0.9573688423104457,bdy,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10100,True,0.03962524628040515
200,17591099,17590930,3,0.0,5.833293677007418,0.0,5.833293677007418,0.0,0.012100684392972806,0.0,0.012100684392972806,0.0301511056,0.042251789992972806,0.9577482100070271,bdy,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10100,True,0.03963894063244673
131,12786847,12786580,3,0.0,5.581377909673122,0.0,5.581377909673122,0.0,0.012033880705273987,0.0,0.012033880705273987,0.0301511056,0.04218498630527399,0.957815013694726,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.04119933627851038
