metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,lambda_event_count,prime_event_count,prime_power_event_count,sample_count,B_prime_effective_support_frac
lambda_event_weight_max,14,hexc_01408,1409,604872473,1,True,20.22052820534636,0.0,1,1,0,2,0.0
lambda_event_weight_max,15,hexc_00977,978,604872287,1,True,20.22052789784348,0.0,1,1,0,2,0.0
lambda_event_weight_max,16,hexc_00662,663,604872131,4,True,20.22052757380808,51.10871692039162,2,2,0,5,0.3999999999345915
lambda_event_weight_max,17,hexc_01021,1022,604871249,1,True,20.220526181777274,0.0,1,1,0,2,0.0
lambda_event_weight_max,18,hexc_01261,1262,604871021,1,True,20.22052580483748,0.0,1,1,0,2,0.0
lambda_event_weight_max,19,hexc_00303,304,604870961,1710,True,20.220525705642775,45.488075748826134,75,75,0,36,0.18217106741482197
lambda_event_weight_max,20,hexc_00869,870,604866473,1,True,20.220518285850886,0.0,1,1,0,2,0.0
max_lambda_gap,1,hexc_00000,1,180530237,684790,False,166,4.242257262839463,35864,35861,3,41,0.15926267327466226
max_lambda_gap,2,hexc_00063,64,604810421,53021,True,156,2.142086434591942,2571,2571,0,41,0.11110716423183119
max_lambda_gap,3,hexc_00218,219,604167899,6250,True,150,20.088774233023596,290,290,0,40,0.1176492774938442
max_lambda_gap,4,hexc_00296,297,604724143,5423,True,146,7.676155432851411,254,254,0,41,0.04466302972814988
max_lambda_gap,5,hexc_00154,155,109764139,1501,False,140,15.526863462696685,67,67,0,37,0.12089926041429813
max_lambda_gap,6,hexc_00040,41,604672261,151650,True,136,2.150447574178819,7420,7420,0,41,0.1452468690931007
max_lambda_gap,7,hexc_00061,62,113166227,11734,False,134,6.659239168363856,602,602,0,40,0.08063545118891983
max_lambda_gap,8,hexc_00023,24,180619079,61662,False,130,14.887526869901857,3182,3182,0,41,0.10625611742141922
max_lambda_gap,9,hexc_00183,184,604356173,20686,True,126,10.34327835039503,1005,1005,0,40,0.055112601838899655
max_lambda_gap,10,hexc_00315,316,604434563,1183,True,126,11.891139796726414,48,48,0,37,0.14734138030838528
max_lambda_gap,11,hexc_00214,215,604883911,4200,True,122,19.385522241824006,187,187,0,40,0.1118760376956425
max_lambda_gap,12,hexc_00043,44,109588091,10737,False,120,15.650024564874375,546,546,0,40,0.07581503938024836
max_lambda_gap,13,hexc_00056,57,179620853,3983,False,120,39.695186823043905,176,176,0,39,0.11747359593861738
max_lambda_gap,14,hexc_00038,39,39690667,7975,False,120,15.142610100355743,435,435,0,39,0.08700328779368059
max_lambda_gap,15,hexc_00009,10,178298621,43765,False,120,3.6259487032169244,2211,2211,0,40,0.1100354775024901
max_lambda_gap,16,hexc_00176,177,110319577,4417,False,120,8.50229606462273,226,226,0,40,0.07327802946518638
max_lambda_gap,17,hexc_00027,28,109670797,9994,False,120,17.104383267421262,502,502,0,40,0.037927074987456136
max_lambda_gap,18,hexc_00024,25,109813367,23159,False,118,8.632103006924334,1212,1212,0,41,0.08602448171814606
max_lambda_gap,19,hexc_00006,7,30774449,104130,False,118,5.249368097143086,5986,5986,0,41,0.10091716949212236
max_lambda_gap,20,hexc_00284,285,187503637,1204,False,116,26.378514641995505,57,57,0,38,0.19209867000000203
sample_count_over_h,1,hexc_01467,1468,604814519,1,True,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,2,hexc_01466,1467,108548059,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,3,hexc_01465,1466,109527673,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,4,hexc_01464,1465,108531329,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,5,hexc_00003,4,59921,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,6,hexc_01463,1464,30775567,1,False,2.0,0.0,1,1,0,2,0.0
