rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max_shape,B_L2_shape,dB_L2,ddB_L2,kappa_L2_shape,effective_support_frac,bridge_energy_fraction_shape,B_sq_over_h_shape,ratio_B_L2_to_ddB_L2,ratio_B_L2_to_h_ddB_L2,effective_support,shape_distance_to_mean
C_bridge_sq,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126676,44.51014034988162,9.4707785115379,13.343184080253371,18.798120552059135,32.51755001745618,0.7097839956771443,0.39698819308243194,7.352200833734834e-07,,,,,
C_bridge_sq,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858118,44.30282104878291,9.448779086688774,13.312072873716268,18.754122346758002,32.44134227149468,0.7097902164691954,0.39698123449067746,7.154629182248775e-07,,,,,
C_bridge_sq,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726108,44.301348930364064,9.448622690862976,13.311851701452259,18.75380955969922,32.44080050400745,0.7097902607968639,0.3969811849063058,7.589229592880686e-07,,,,,
C_bridge_sq,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.655460745638621,44.29515773673658,9.4479649185605,13.310921491277291,18.752494034409573,32.438521928815334,0.7097904472467811,0.396980976345879,7.705762945638787e-07,,,,,
C_bridge_sq,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408736,44.28904182928188,9.447315099767366,13.310002528817508,18.751194415905005,32.436270905205404,0.7097906314677979,0.3969807702788322,7.448955074200034e-07,,,,,
C_bridge_sq,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833227,44.28886413326633,9.447296218789234,13.309975827666483,18.751156654503266,32.436205500006,0.709790636820829,0.39698076429100904,7.612323883255991e-07,,,,,
C_bridge_sq,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744914708,44.27285143165968,9.445594643774712,13.307569489829442,18.74775355445967,32.43031110981836,0.7097911193320225,0.3969802245615251,7.690564429437336e-07,,,,,
C_bridge_sq,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.55570371628648,42.977251215732366,40.1850159934861,126.9506565792383,59.16336554857242,91.4395473594453,0.31654043449869024,0.2772292888542527,0.0003997805963526512,,,,,
C_bridge_sq,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490741,42.09537763075006,85.60944577509645,168.56565457042637,85.84066149154755,136.07897779915314,0.507870040271632,0.1076941991222326,8.866595523415061e-05,,,,,
C_bridge_sq,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,6.487786304142406,42.09137112821778,104.27347431840008,230.75004762122163,124.29714825986285,189.40201891473464,0.45188928623566726,0.13235312083443532,2.7773637107415588e-05,,,,,
C_bridge_sq,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280465,42.01752080974642,9.20277943201654,12.96418463456097,18.262130454622493,31.589180193018585,0.7098617993670829,0.3969011748666775,1.1772522978111859e-06,,,,,
C_bridge_sq,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.47925206868407,41.9807073695468,9.198762621303104,12.958504137368195,18.25409695762525,31.575265648534725,0.7098629999103682,0.3968998323635819,1.1530449445292063e-06,,,,,
