candidate_id,x,selected_block_id,control_type,right_endpoint_control_flag,containing_block_control_flag,partial_interval_used_flag,x_precedes_J_flag,scale_ratio,pstar_over_x,h_over_x,status
cand_01205,33471577,theta_local:1206:33471576:1,finite_certificate,True,True,False,True,0.0001728470265124958,1.0,2.987609457421143e-08,covered
cand_01206,39638069,theta_local:1207:39638068:1,finite_certificate,True,True,False,True,0.00015883410322081702,1.0,2.522827234596115e-08,covered
cand_01207,30802309,theta_local:1208:30802308:1,finite_certificate,True,True,False,True,0.00018018073881299348,1.0,3.246509863919617e-08,covered
cand_01208,109593481,theta_local:1209:109593480:1,finite_certificate,True,True,False,True,9.552293087833147e-05,1.0,9.124630323586491e-09,covered
cand_01209,604170643,theta_local:1210:604170642:1,right_endpoint,True,True,False,True,4.068367633731028e-05,1.0,1.6551615203190202e-09,covered
cand_01210,109590113,theta_local:1211:109590112:1,finite_certificate,True,True,False,True,9.55243987058142e-05,1.0,9.124910748107359e-09,covered
cand_01211,7103101,theta_local:1212:7103100:1,finite_certificate,True,True,False,True,0.00037521138269790616,1.0,1.4078358170607458e-07,covered
cand_01212,3241201,theta_local:1213:3241200:1,finite_certificate,True,True,False,True,0.0005554526177800083,1.0,3.0852761059866387e-07,covered
cand_01213,604810753,theta_local:1214:604810752:1,right_endpoint,True,True,False,True,4.066214156625435e-05,1.0,1.65340975675411e-09,covered
cand_01214,30386869,theta_local:1215:30386868:1,finite_certificate,True,True,False,True,0.0001814082455695526,1.0,3.290895156062311e-08,covered
cand_01215,112219519,theta_local:1216:112219518:1,finite_certificate,True,True,False,True,9.439865327896761e-05,1.0,8.911105740882742e-09,covered
cand_01216,178039549,theta_local:1217:178039548:1,finite_certificate,True,True,False,True,7.494484353723692e-05,1.0,5.616729572820924e-09,covered
cand_01217,109705303,theta_local:1218:109705302:1,finite_certificate,True,True,False,True,9.547423547260597e-05,1.0,9.115329639078615e-09,covered
cand_01218,109726283,theta_local:1219:109726282:1,finite_certificate,True,True,False,True,9.546510755374326e-05,1.0,9.11358676024777e-09,covered
cand_01219,17640167,theta_local:1220:17640166:1,finite_certificate,True,True,False,True,0.00023809411106512354,1.0,5.668880572389139e-08,covered
cand_01220,76024139,theta_local:1221:76024138:1,finite_certificate,True,True,False,True,0.00011468965460780495,1.0,1.3153716874057593e-08,covered
cand_01221,109591463,theta_local:1222:109591462:1,finite_certificate,True,True,False,True,9.552381034641164e-05,1.0,9.124798343097218e-09,covered
cand_01222,604432651,theta_local:1223:604432650:1,right_endpoint,True,True,False,True,4.067485765084407e-05,1.0,1.6544440449164286e-09,covered
cand_01223,12784633,theta_local:1224:12784632:1,finite_certificate,True,True,False,True,0.0002796764299373813,1.0,7.821890546251895e-08,covered
cand_01224,178013449,theta_local:1225:178013448:1,finite_certificate,True,True,False,True,7.495033747248194e-05,1.0,5.617553087238931e-09,covered
cand_01225,179412329,theta_local:1226:179412328:1,finite_certificate,True,True,False,True,7.465757135736215e-05,1.0,5.573752960979621e-09,covered
cand_01226,2275549,theta_local:1227:2275548:1,finite_certificate,True,True,False,True,0.0006629135622434513,1.0,4.394543910063022e-07,covered
cand_01227,108624221,theta_local:1228:108624220:1,finite_certificate,True,True,False,True,9.594816262107489e-05,1.0,9.206049910360231e-09,covered
cand_01228,604693459,theta_local:1229:604693458:1,right_endpoint,True,True,False,True,4.066608504695502e-05,1.0,1.6537304730461787e-09,covered
cand_01229,109670843,theta_local:1230:109670842:1,finite_certificate,True,True,False,True,9.548923391549892e-05,1.0,9.118193793768868e-09,covered
