candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,channel_full,channel_inferred,channel,post_P0_flag,finite_zone_flag,E_theta,D_start,D_end,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,S,E_theta_norm,neg_E_theta_norm,DeltaD_norm_signed,Q_delta_D_share,h_over_x,pstar_over_x,rho_proxy,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,h_bin,p_star_bin,row_regime,sign_consistent,sign_inconsistent_flag,positive_harmless_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,threshold_margin_Q_delta_D_minus_0p75,positive_cap_margin_0p25_minus_Q_delta_D,minus_E_theta,failure_type,status
hexc_00010,11,211,210,1,211,positive,negative,,,,False,True,4.351858133476067,-6.690759694963868,-11.719267763439934,-5.028508068476066,0.1755617761599286,0.1912764152417241,0.0,0.0157146390817954,False,False,False,28.642385480853928,0.15193769863844186,-0.15193769863844186,-0.1755617761599286,0.9178432999074337,0.004739336492890996,1.0,1.0,5.351858133476067,0.18685099176021946,0.06884283908215143,h=1,p<1K,positive_harmless,False,True,True,True,False,False,-0.5744382238400714,0.0744382238400714,-4.351858133476067,,pass
hexc_00011,12,3279709,3278912,797,3279709,negative,negative,,,,False,True,-166.86828088206357,-1129.0381509763808,-1595.281448924815,-466.2432979484343,0.0733688760483797,0.1060058846880691,0.0114062615417102,0.021230747097979,False,False,False,6354.78315956471,-0.026258689980775633,0.026258689980775633,-0.07336887604837976,0.6921207842779065,0.00024300936455033052,1.0,1.0,15.003265256912323,0.06665215757211776,0.01558875763331801,257<=h<=1024,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6766311239516203,0.17663112395162028,166.86828088206357,,pass
hexc_00012,13,42899,42898,1,42899,positive,negative,,,,False,True,9.666603794621116,-121.0460264651359,-131.38928019475702,-10.343253729621123,0.0909085751563544,0.0968247715409328,0.0,0.0059161963845783,False,False,False,113.77643651142559,0.08496138647874055,-0.08496138647874055,-0.09090857515635445,0.9388979050461551,2.3310566679875986e-05,1.0,1.0,10.666603794621116,0.09375055258959496,0.004828101767762978,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6590914248436456,0.1590914248436456,-9.666603794621116,,pass
hexc_00013,14,1195591,1195386,205,1195669,positive,negative,,,,False,True,18.90523282037472,-686.8422426041038,-868.601622871141,-181.7593802670372,0.0648220454203745,0.0899443884131837,0.0127144572989962,0.0124078856938128,False,False,False,2803.974775684992,0.006742297749720769,-0.006742297749720769,-0.06482204542037459,0.720690268331105,0.00017146331814140453,1.0000652397015368,1.0,13.994216419335903,0.07145809168838445,0.013094400258942923,65<=h<=256,1M<=p<100M,positive_harmless,False,True,True,True,False,False,-0.6851779545796255,0.1851779545796255,-18.90523282037472,,pass
hexc_00014,15,43133,43132,1,43133,positive,negative,,,,False,True,9.672043644375696,-145.4789301390939,-155.82762371846962,-10.34869357937572,0.0908636843222885,0.0943896668138165,0.0,0.0035259824915279,False,False,False,113.8925155474597,0.08492255700810557,-0.08492255700810557,-0.09086368432228856,0.9626444015478623,2.318410497762734e-05,1.0,1.0,10.672043644375696,0.09370276521751415,0.004814987536601454,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6591363156777115,0.1591363156777115,-9.672043644375696,,pass
hexc_00015,16,58309,58308,1,58309,positive,negative,,,,False,True,9.973511734352114,-142.77574764669592,-153.42590931604803,-10.650161669352116,0.0884432993920433,0.0939517191622745,0.0,0.0055084197702311,False,False,False,120.41795978396352,0.08282412152012163,-0.08282412152012163,-0.0884432993920433,0.9413696756233167,1.7150011147507247e-05,1.0,1.0,10.973511734352114,0.09112853061154,0.004141257194078538,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6615567006079567,0.16155670060795668,-9.973511734352114,,pass
hexc_00016,17,59333,59332,1,59333,positive,negative,,,,False,True,9.990920922612805,-160.6996955654813,-171.36726642309412,-10.667570857612787,0.0883074552338765,0.0929815072257821,2.3527838405727803e-16,0.0046740519919053,False,False,False,120.80034272712787,0.08270606437914654,-0.08270606437914654,-0.08830745523387654,0.9497313806652342,1.6854027269816123e-05,1.0,1.0,10.990920922612803,0.09098418658827692,0.004105365668222031,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6616925447661235,0.1616925447661235,-9.990920922612805,,pass
hexc_00017,18,3241093,3239129,1964,3241093,negative,negative,,,,False,True,-165.06704136906455,-1080.182066429391,-2475.688277714416,-1395.5062112850246,0.1401120285534746,0.159654089699117,0.0081749848918229,0.0113670762538194,False,False,False,9959.931532590872,-0.01657311004889265,0.01657311004889265,-0.14011202855347463,0.8775974910353299,0.0006059684186785136,1.0,1.0,14.991421176559264,0.06670481658961126,0.02461642579007996,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6098879714465254,0.1098879714465254,165.06704136906455,,pass
hexc_00018,19,1515197,1513853,1344,1515197,negative,negative,,,,False,True,-63.24655312102391,-753.3241327486062,-1758.088336176791,-1004.7642034281848,0.1353288100910507,0.1510851987794436,0.0103425912084517,0.0054137974799411,False,False,False,7424.614187859693,-0.008518496923980384,0.008518496923980384,-0.1353288100910507,0.8957118975539469,0.0008870133718585768,1.0,1.0,14.231056021475348,0.07026885415185997,0.029782769714359624,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6146711899089493,0.11467118990894931,63.24655312102391,,pass
hexc_00019,20,58511,58510,1,58511,positive,negative,,,,False,True,9.97697004973177,-153.79246668300976,-164.44608666774153,-10.653619984731762,0.0884162808823417,0.0923670994574258,0.0,0.003950818575084,False,False,False,120.4938714727083,0.08280064311811526,-0.08280064311811526,-0.08841628088234174,0.9572269931794802,1.7090803438669653e-05,1.0,1.0,10.97697004973177,0.09109982039391969,0.004134102494940063,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6615837191176583,0.1615837191176583,-9.97697004973177,,pass
