metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_total,K_unreduced,K_comp,K_prime,cancellation_fraction,cos_comp_prime,component_proof_source
cos_comp_prime,2,hexc_00178,179,30851287,350,False,-0.7792673129364188,37.784816578520775,37.16470245186868,0.0042601948709044156,37.160442256997776,-0.01668556683469191,-0.7792673129364188,smallness_driven
cos_comp_prime,3,hexc_00028,29,3456977,1261,False,-0.7261320226557296,21.41571235172158,21.239837998319576,0.0006905208179146665,21.239147477501664,-0.008280399945419514,-0.7261320226557296,smallness_driven
cos_comp_prime,4,hexc_00431,432,604813747,1557,True,-0.7208643855075523,34.565741303135226,34.3634521310239,0.0005729128956030473,34.36287921812829,-0.005886753500202069,-0.7208643855075523,smallness_driven
cos_comp_prime,5,hexc_00174,175,12776941,332,False,-0.7198956493018197,38.299762996427,37.77929285120538,0.003459222520538638,37.77583362868484,-0.013776598394033002,-0.7198956493018197,smallness_driven
cos_comp_prime,6,hexc_00071,72,12843647,457,False,-0.7186798355689893,36.81771421299384,36.477039846512525,0.0015400923094052849,36.47549975420312,-0.009339419204924537,-0.7186798355689893,smallness_driven
cos_comp_prime,7,hexc_00267,268,30796769,712,False,-0.7076820980635258,17.82202134527262,17.554926455116437,0.002028831264280346,17.552897623852157,-0.015214811115220384,-0.7076820980635258,smallness_driven
cos_comp_prime,8,hexc_00663,664,604206971,626,True,-0.6674520532316014,8.342029092730986,8.209452831245155,0.001201657664514556,8.20825117358064,-0.016149220199091152,-0.6674520532316014,smallness_driven
cos_comp_prime,9,hexc_00189,190,31026421,446,False,-0.6650843615121741,28.416178627244346,28.160193649787644,0.0013152252633446325,28.1588784245243,-0.009090313107936732,-0.6650843615121741,smallness_driven
cos_comp_prime,10,hexc_00195,196,39648137,846,False,-0.6433701410742763,18.080030813859832,17.87701222329452,0.0013926074631189374,17.8756196158314,-0.011356404975814138,-0.6433701410742763,smallness_driven
cos_comp_prime,11,hexc_00138,139,109556411,2814,False,-0.6388985702049346,27.346938677551424,27.191855927303074,0.000541717625608203,27.191314209677465,-0.005703279344483336,-0.6388985702049346,smallness_driven
cos_comp_prime,12,hexc_00109,110,39655321,985,False,-0.6360501981002489,33.57383084280595,33.40299748835251,0.0005399134426481378,33.40245757490986,-0.005114312106660801,-0.6360501981002489,smallness_driven
cos_comp_prime,13,hexc_00041,42,7117417,1948,False,-0.6307951743465614,22.42628599253822,22.3285051522601,0.00026903971746396335,22.328236112542637,-0.00437919330520975,-0.6307951743465614,smallness_driven
cos_comp_prime,14,hexc_00163,164,39637237,482,False,-0.624577638443062,25.5176462816844,25.2726927171535,0.0015216308526989845,25.2711710863008,-0.00969242048215313,-0.624577638443062,smallness_driven
cos_comp_prime,15,hexc_00155,156,33871261,614,False,-0.6186285855900289,14.103129541247876,13.896792511108101,0.0020016234307298616,13.89479088767737,-0.014847816859526741,-0.6186285855900289,smallness_driven
cos_comp_prime,16,hexc_00098,99,4991101,357,False,-0.5707655382550026,12.590108555553655,12.439137533656814,0.0014062759275870998,12.437731257729226,-0.012136775679853828,-0.5707655382550026,smallness_driven
cos_comp_prime,17,hexc_00275,276,108562291,313,False,-0.5695619585114439,56.509735976416216,56.086426457240464,0.0024622685923902923,56.083964188648075,-0.007547450353223573,-0.5695619585114439,smallness_driven
cos_comp_prime,18,hexc_00120,121,108842081,1642,False,-0.5694924814918558,16.376629893641507,16.27583563099683,0.0004811773628501159,16.27535445363398,-0.006192877891487036,-0.5694924814918558,smallness_driven
cos_comp_prime,19,hexc_00329,330,187419913,1083,False,-0.5387653142702303,21.210521075180296,21.122225707144654,0.00031789482056497197,21.121907812324093,-0.004180211368812969,-0.5387653142702303,smallness_driven
