candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,E_theta,Q_R2Q,Q_delta_D,DeltaD,Q_exc,epsilon,abs_epsilon,Q_reconstructed,formula_residual,abs_formula_residual,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,primitive_available_flag,row_regime,failure_type,component_bound_status,status
hexc_00060,61,1190071,1190068,3,1190143,positive,negative,False,True,True,24.97904537377347,0.0832943901091022,0.080631858151701,-27.33234524376985,0.0134386455041789,-0.0107761135467777,0.0107761135467777,0.08329439010910221,-1.3877787807814457e-17,1.3877787807814457e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00061,62,113166227,113154493,11734,113166227,negative,negative,False,True,True,-570.3217879884924,0.2503069484559692,0.2349919129337335,-8753.869097322327,0.0041822745120619,0.0111327610101736,0.0111327610101736,0.250306948455969,1.6653345369377348e-16,1.6653345369377348e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00062,63,30816007,30813688,2319,30816007,negative,negative,False,True,True,-215.2921471839013,0.1321516982536188,0.1136507642000766,-1627.3307655551475,0.0075446709207132,0.0109562631328288,0.0109562631328288,0.1321516982536186,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00063,64,604810421,604757400,53021,604810421,negative,negative,True,False,False,-1034.3984432700745,0.4494568065190746,0.436528398028676,-41097.65520487146,0.0016779826148503,0.0112504258755482,0.0112504258755482,0.4494568065190745,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00064,65,3438889,3438886,3,3439001,positive,negative,False,True,True,27.10131744255433,0.0792717980142518,0.0750723212794575,-29.45461731255397,0.0125120542877309,-0.0083125775529367,0.0083125775529367,0.0792717980142517,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00065,66,1196077,1196076,1,1196077,positive,negative,False,True,True,12.994557592691232,0.0711424243631883,0.0698053209783983,-13.671207527691196,0.0,0.0013371033847899,0.0013371033847899,0.0711424243631882,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00066,67,39699197,39695992,3205,39699197,negative,negative,False,True,True,-265.53724747196566,0.1495716452263878,0.1316093417511963,-2280.972504373403,0.0085253544488815,0.0094369490263099,0.0094369490263099,0.1495716452263877,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00067,68,1192069,1192068,1,1192069,positive,negative,False,True,True,12.991201010838148,0.0712244136304279,0.0698216715498185,-13.667850945838154,0.0,0.0014027420806093,0.0014027420806093,0.0712244136304278,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00068,69,108581987,108578163,3824,108581987,negative,negative,False,True,True,-400.9453068567673,0.1469597990717331,0.1245862627972834,-2637.631696644796,0.0043804824344325,0.017993053840017,0.017993053840017,0.1469597990717329,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00069,70,12847921,12847029,892,12847921,negative,negative,False,True,True,-139.04176855224262,0.0908608054490663,0.0711926004758948,-569.6987517866241,0.0077829840818417,0.0118852208913297,0.0118852208913297,0.09086080544906622,8.326672684688674e-17,8.326672684688674e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00070,71,1191481,1191480,1,1191481,positive,negative,False,True,True,12.990707629107597,0.0710316103925829,0.0698240755547498,-13.667357564107531,0.0,0.001207534837833,0.001207534837833,0.0710316103925828,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00071,72,12843647,12843190,457,12843647,negative,negative,False,True,True,-113.26485440576494,0.0679786634633438,0.043641826458844,-249.96047798659333,0.0081632419242064,0.0161735950802932,0.0161735950802932,0.06797866346334361,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00072,73,40882169,40877269,4900,40882169,negative,negative,False,True,True,-220.51959869872007,0.1837301433813745,0.1708297585564211,-3673.138631205552,0.0069729630121156,0.0059274218128377,0.0059274218128377,0.18373014338137442,8.326672684688674e-17,8.326672684688674e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00073,74,1186291,1186290,1,1186291,positive,negative,False,True,True,12.986342191006576,0.0716803042452162,0.0698453533838172,-13.662992126006657,0.0,0.0018349508613989,0.0018349508613989,0.0716803042452161,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00074,75,113195507,113182659,12848,113195507,negative,negative,False,True,True,-330.4150379443963,0.2647255241959858,0.2536736118314834,-9888.473703891712,0.0052963922956069,0.0057555200688954,0.0057555200688954,0.2647255241959857,5.551115123125783e-17,5.551115123125783e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00075,76,2879,2878,1,2879,positive,negative,False,True,True,6.965198290612176,0.1282261417306278,0.1204495617554677,-7.641848225612179,1.1199458377620308e-16,0.0077765799751599,0.0077765799751599,0.1282261417306277,8.326672684688674e-17,8.326672684688674e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00076,77,39674417,39673239,1178,39674417,negative,negative,False,True,True,-198.21267981504025,0.0933658727593846,0.070227735125299,-737.8526257071599,0.0048863359951688,0.0182518016389167,0.0182518016389167,0.0933658727593845,9.71445146547012e-17,9.71445146547012e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00077,78,3441797,3441229,568,3441797,negative,negative,False,True,True,-56.25170384278789,0.0865309897820664,0.0731587940029086,-395.00311291379376,0.0054337359968187,0.007938459782339,0.007938459782339,0.0865309897820663,9.71445146547012e-17,9.71445146547012e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00078,79,109546081,109535495,10586,109546081,negative,negative,False,True,True,-330.4584709322444,0.2408302537232801,0.2292074218688508,-8081.547700812343,0.0043289464415077,0.0072938854129215,0.0072938854129215,0.24083025372327999,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
