crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
64,65,3439001,3438886,3,positive,-1018.2610730673186,-0.002424035800293,27.10131744255433,0.0690743589894426,0.0690743589894426,0.0792717980142518,True,True,True,False,True,0.0792717980142518,False,False,False,False,positive_harmless
65,66,1196077,1196076,1,positive,-674.4558620199095,-0.0031488764187862,12.994557592691232,0.0663503397116,0.0663503397116,0.0711424243631883,True,True,True,False,True,0.0711424243631883,False,False,False,False,positive_harmless
66,67,39699197,39695992,3205,negative,-3536.5659119933844,-0.0018334605893745,-265.53724747196566,-0.0153211765083552,0.0153211765083552,0.1495716452263878,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
67,68,1192069,1192068,1,positive,-668.4079386747908,-0.0031273818402297,12.991201010838148,0.0663650323383584,0.0663650323383584,0.0712244136304279,True,True,True,False,True,0.0712244136304279,False,False,False,False,positive_harmless
68,69,108581987,108578163,3824,negative,-5734.952263906598,-0.0016075550798516,-400.9453068567673,-0.0189383064477639,0.0189383064477639,0.1469597990717331,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
69,70,12847921,12847029,892,negative,-2057.8280128818005,-0.0021427162451703,-139.04176855224262,-0.0173754024332304,0.0173754024332304,0.0908608054490663,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
70,71,1191481,1191480,1,positive,-668.027616560692,-0.0031265940287576,12.990707629107597,0.0663671925425114,0.0663671925425114,0.0710316103925829,True,True,True,False,True,0.0710316103925829,False,False,False,False,positive_harmless
71,72,12843647,12843190,457,negative,-2056.013603532687,-0.0021412702100796,-113.26485440576494,-0.0197754667444977,0.0197754667444977,0.0679786634633438,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
72,73,40882169,40877269,4900,negative,-3616.190528593957,-0.0018412323091605,-220.51959869872007,-0.0102558911015828,0.0102558911015828,0.1837301433813745,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
73,74,1186291,1186290,1,positive,-667.7788528108504,-0.0031342147122905,12.986342191006576,0.0663863120997883,0.0663863120997883,0.0716803042452162,True,True,True,False,True,0.0716803042452162,False,False,False,False,positive_harmless
74,75,113195507,113182659,12848,negative,-5860.925346642733,-0.0016018261842435,-330.4150379443963,-0.0084762905367088,0.0084762905367088,0.2647255241959858,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
75,76,2879,2878,1,positive,-50.450259322350576,-0.0148200403725385,6.965198290612176,0.1097843161595848,0.1097843161595848,0.1282261417306278,True,True,True,False,True,0.1282261417306278,False,False,False,False,positive_harmless
76,77,39674417,39673239,1178,negative,-3514.150094844401,-0.0018225384975376,-198.21267981504025,-0.0188655933333372,0.0188655933333372,0.0933658727593846,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
77,78,3441797,3441229,568,negative,-1081.606457427144,-0.0025734565076557,-56.25170384278789,-0.0104184161572551,0.0104184161572551,0.0865309897820664,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
78,79,109546081,109535495,10586,negative,-5775.924155026674,-0.0016103606118115,-330.4584709322444,-0.0093724045147303,0.0093724045147303,0.2408302537232801,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
79,80,1198607,1198510,3,positive,-633.2359128310345,-0.0029525655295751,24.993182690643494,0.073656563386218,0.073656563386218,0.0831464357639209,True,True,True,False,True,0.0831464357639209,False,False,False,False,positive_harmless
80,81,1512197,1512196,1,positive,-755.4222317207605,-0.0030341167814051,13.22907411823977,0.0653395541194198,0.0653395541194198,0.0705955645536329,True,True,True,False,True,0.0705955645536329,False,False,False,False,positive_harmless
81,82,12782599,12782006,494,negative,-2035.949292389676,-0.0021266793039514,-68.54730774172731,-0.0115177981909939,0.0115177981909939,0.0796044258439215,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
82,83,42923,42922,1,positive,-143.9948651453742,-0.0061080713427932,9.66716309178561,0.0849573926179324,0.0849573926179324,0.0952612074725035,True,True,True,False,True,0.0952612074725035,False,False,False,False,positive_harmless
83,84,617579,617578,1,positive,-485.2954281483544,-0.0034735019954906,12.33356227452393,0.0693739053920691,0.0693739053920691,0.0752538383487422,True,True,True,False,True,0.0752538383487422,False,False,False,False,positive_harmless
84,85,10357,10356,1,positive,-73.38927172170952,-0.0084365036208226,8.24541789858888,0.0964627367254228,0.0964627367254228,0.1086725867349362,True,True,True,False,True,0.1086725867349362,False,False,False,False,positive_harmless
85,86,15859,15858,1,positive,-107.6651510828433,-0.0091400855592023,8.6714924414986,0.0927057894159821,0.0927057894159821,0.1069835705399953,True,True,True,False,True,0.1069835705399953,False,False,False,False,positive_harmless
86,87,109467389,109460158,7231,negative,-5776.299588829279,-0.001611169116665,-178.26963014023477,-0.0061180353375162,0.0061180353375162,0.2045445847739718,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
87,88,3290641,3290318,323,negative,-1075.4844241356475,-0.0026326896640736,-37.87575835699317,-0.0093582764758578,0.0093582764758578,0.0705553720204413,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
88,89,1188149,1188148,1,positive,-679.47047850932,-0.0031858817684435,12.987907191915609,0.066379456518596,0.066379456518596,0.0739495641263946,True,True,True,False,True,0.0739495641263946,False,False,False,False,positive_harmless
