metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,sample_count,sample_offset_gaps_max,lambda_event_count,event_to_sample_alignment_score
event_to_sample_alignment_score,12,hexc_00048,49,33902159,13400,False,0.03757827373823572,4.868706166264128,3260.8458529138193,669.7561408631776,41,3186,756,0.03757827373823572
event_to_sample_alignment_score,13,hexc_00008,9,12883477,11482,False,0.04190741010814367,3.459859086542252,3001.906861133822,867.638474876125,39,2691,672,0.04190741010814367
event_to_sample_alignment_score,14,hexc_00074,75,113195507,12848,False,0.04309791653223222,15.294287511442386,10240.473736938296,669.5620001439694,41,3043,676,0.04309791653223222
event_to_sample_alignment_score,15,hexc_00061,62,113166227,11734,False,0.047268060770797586,6.659239168363856,15279.35316428806,2294.459288513905,40,2756,602,0.047268060770797586
event_to_sample_alignment_score,16,hexc_00078,79,109546081,10586,False,0.05156663778008741,14.296962892039497,8258.530388717578,577.6422902598356,40,2463,554,0.05156663778008741
event_to_sample_alignment_score,17,hexc_00043,44,109588091,10737,False,0.05197922170326458,15.650024564874375,17469.61274591748,1116.2674329040397,40,2501,546,0.05197922170326458
event_to_sample_alignment_score,18,hexc_00089,90,179641471,10782,False,0.052681519609350254,15.782038821551193,22223.818952747657,1408.1716059651228,40,2512,543,0.052681519609350254
event_to_sample_alignment_score,19,hexc_00027,28,109670797,9994,False,0.058211222474324836,17.104383267421262,20822.05034498363,1217.3517173602752,40,2312,502,0.058211222474324836
event_to_sample_alignment_score,20,hexc_00127,128,187449539,9358,False,0.060106597811164335,11.35315314289714,11358.192554036887,1000.4438776678442,39,2152,472,0.060106597811164335
samples_on_event_count,1,hexc_00303,304,604870961,1710,True,8,45.488075748826134,3704.4680363368107,81.43822255291616,36,328,75,0.3903155431510439
samples_on_event_count,2,hexc_00183,184,604356173,20686,True,8,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
samples_on_event_count,3,hexc_00095,96,3438637,375,False,7,42.836550242550295,451.7226125087714,10.54526123021147,36,58,23,0.7712031558185405
samples_on_event_count,4,hexc_00107,108,39634747,1622,False,6,15.227597133214324,1318.8990250423271,86.61241911670714,36,309,83,0.3277050410910828
