gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,global_error_process,envelope_type,envelope_constant,envelope_constant_status,R_upper_max_bound,R_upper_max_location,R_upper_max_label,R_lower_min_bound,R_lower_min_location,R_lower_min_label,theta_error_at_Rmax,theta_error_at_Rmin,upper_margin_to_1,lower_margin_to_minus1,prime_jump_count,prime_power_jump_count,jump_inventory_available,sampled_only,continuous_bound_available,upper_exit_possible,lower_exit_possible,margin_safe,margin_class,needed_data,eval_point_count
gap_045,604434563,604435092,529,316,903,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006814949532145266,604434863.0,prime_after_jump,-0.0006871713737515647,604434629.0,prime_left_limit,-13175.043544888496,-13284.780217528343,1.0006814949532146,0.9993128286262485,27,,True,False,True,False,False,True,margin_safe,,56
gap_046,604435093,604435456,363,903,695,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006795655382791895,604435129.0,prime_after_jump,-0.000685024673901879,604435093.0,prime_left_limit,-13137.746473431587,-13243.28510761261,1.0006795655382792,0.9993149753260981,18,,True,False,True,False,False,True,margin_safe,,38
gap_047,604435457,604435822,365,695,1329,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006832700140676228,604435787.0,prime_after_jump,-0.0006865794433074259,604435669.0,prime_left_limit,-13209.372113108635,-13273.35036623478,1.0006832700140675,0.9993134205566926,18,,True,False,True,False,False,True,margin_safe,,38
gap_048,604435823,604520611,84788,1329,41,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006006774736066138,604520611.0,gap_end,-0.0006851321311665151,604435823.0,prime_left_limit,-11613.62123131752,-13245.372113108635,1.0006006774736067,0.9993148678688335,4274,,True,False,True,False,False,True,margin_safe,,8550
gap_049,604672261,604672806,545,41,721,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.00067967463972126,604672517.0,prime_after_jump,-0.0006862544539249264,604672806.0,gap_end,-13142.946182250977,-13270.184599995613,1.0006796746397213,0.9993137455460751,26,,True,False,True,False,False,True,margin_safe,,54
gap_050,604672807,604672950,143,721,1408,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006832155870530592,604672909.0,prime_after_jump,-0.0006863061672547694,604672807.0,prime_left_limit,-13211.423014998436,-13271.184599995613,1.000683215587053,0.9993136938327453,8,,True,False,True,False,False,True,margin_safe,,18
gap_051,604672951,604673086,135,1408,1389,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006831471818188696,604673029.0,prime_after_jump,-0.0006862035589499267,604672987.0,prime_left_limit,-13210.101824760437,-13269.202816605568,1.000683147181819,0.9993137964410501,6,,True,False,True,False,False,True,margin_safe,,14
gap_052,604673087,604674856,1769,1389,1240,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006827530571221352,604674821.0,prime_after_jump,-0.0006915613928442156,604673677.0,prime_left_limit,-13202.504019975662,-13372.817050457,1.000682753057122,0.9993084386071558,89,,True,False,True,False,False,True,margin_safe,,180
gap_053,604674857,604675732,875,1240,1404,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006831936500465235,604675699.0,prime_after_jump,-0.0006896378404947264,604675217.0,prime_left_limit,-13211.035323858261,-13335.641397237778,1.0006831936500464,0.9993103621595053,43,,True,False,True,False,False,True,margin_safe,,88
gap_054,604675733,604676122,389,1404,1160,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006824826998751189,604676029.0,prime_after_jump,-0.0006899855859041843,604675891.0,prime_left_limit,-13197.291869401932,-13342.374714970589,1.000682482699875,0.9993100144140958,19,,True,False,True,False,False,True,margin_safe,,40
gap_055,604676123,604676182,59,1160,1384,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006831496787092142,604676143.0,prime_after_jump,-0.0006852524085449193,604676123.0,prime_left_limit,-13210.190851807594,-13250.851462483406,1.0006831496787092,0.9993147475914551,3,,True,False,True,False,False,True,margin_safe,,8
gap_056,604676183,604676356,173,1384,1127,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006823458867530178,604676269.0,prime_after_jump,-0.000685218205109212,604676183.0,prime_left_limit,-13194.64942574501,-13250.190851807594,1.000682345886753,0.9993147817948907,9,,True,False,True,False,False,True,margin_safe,,20
