candidate_id,block_id,x,y,h,right_endpoint,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,D_start,D_end,DeltaD,bridge_excursion_raw,bridge_excursion_argmax,threshold_relevant_flag,forbidden_flag,row_regime,scale_denominator,DeltaD_recomputed,DeltaD_recompute_error,Q_delta_D_recomputed,Q_delta_D_recompute_error,Q_exc_recomputed,Q_exc_recompute_error,line_slope_D,Q_R2Q_recomputed,formula_reconstruction_error,endpoint_path_valid_flag,endpoint_delta_valid_flag,normalization_valid_flag,bridge_excursion_valid_flag,formula_reconstruction_valid_flag,failure_type,status
hexc_00020,21,30847123,30831334,15789,30847123,30847123,negative,negative,False,True,-424.33160930738086,0.338124053326903,0.3244066291128366,0.0060303868534807,0.0076870373605856,-3291.774805658332,-15413.68237434975,-12121.907568691418,225.3338417937175,30843312,False,False,subthreshold_negative,37366.399083278666,-12121.907568691418,0.0,0.3244066291128366,0.0,0.006030386853480715,-1.5612511283791264e-17,-0.7677438449991398,0.3381240533269029,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00021,22,60209,60208,1,60209,60209,positive,negative,False,True,10.005577121783782,0.0940510554686493,0.0881934154907322,0.0,0.005857639977917,-135.82731565956084,-146.5095427163446,-10.682227056783772,0.0,60208,False,False,positive_harmless,121.12272778353059,-10.682227056783773,1.7763568394002505e-15,0.08819341549073224,-4.163336342344337e-17,0.0,0.0,-10.682227056783772,0.0940510554686492,9.71445146547012e-17,True,True,True,True,True,,pass
hexc_00022,23,354553,354550,3,354553,354619,positive,negative,False,True,22.55722059933116,0.0920232096308952,0.088072855820278,0.0146788192753852,-0.010728465464768,-358.86430389081664,-383.77482436010666,-24.91052046929002,4.1517562320296975,354552,False,False,positive_harmless,282.8399310693702,-24.91052046929002,0.0,0.08807285582027803,-2.7755575615628914e-17,0.014678819275385217,-1.734723475976807e-17,-8.303506823096674,0.0920232096308952,0.0,True,True,True,True,True,,pass
hexc_00023,24,180619079,180557417,61662,180619079,180619079,negative,negative,False,True,-1166.673386312199,0.5459231094474968,0.5329138719787416,0.0051149881925594,0.0078942492761956,-7832.904115998194,-55664.72449150575,-47831.82037550756,459.0970686143192,180574899,False,False,subthreshold_negative,89755.2548180161,-47831.82037550756,0.0,0.5329138719787416,0.0,0.0051149881925594744,-7.45931094670027e-17,-0.7757098435909889,0.5459231094474967,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00024,25,109813367,109790208,23159,109813367,109813367,negative,negative,False,True,-719.8064293124298,0.3557665519303423,0.3389837450779626,0.0045682420338709,0.0122145648185086,-6243.548424860049,-23926.429705648483,-17682.881280788435,238.2995725304463,109799994,False,False,subthreshold_negative,52164.39294669296,-17682.881280788435,0.0,0.3389837450779626,0.0,0.004568242033870992,-9.194034422677078e-17,-0.7635425225954676,0.35576655193034207,2.220446049250313e-16,True,True,True,True,True,,pass
hexc_00025,26,230563,230560,3,230563,230647,positive,negative,False,True,21.69655017143579,0.0944180902326222,0.0910569767225814,0.0151761792087925,-0.0118150656987517,-368.1857577200088,-392.2356077613473,-24.04985004133846,4.00831267749993,230562,False,False,positive_harmless,264.11869696278075,-24.049850041338516,5.684341886080802e-14,0.09105697672258141,-1.3877787807814457e-17,0.015176179208792539,-3.8163916471489756e-17,-8.016616680446154,0.0944180902326222,0.0,True,True,True,True,True,,pass
hexc_00026,27,1192781,1192323,458,1192781,1192781,negative,negative,False,True,-38.252494546276125,0.0967472985369818,0.0776974809855303,0.0120403626533005,0.0070094548981509,-623.3057979417131,-948.8325897505176,-325.52679180880466,50.44514412859007,1192436,False,False,subthreshold_negative,4189.669828156048,-325.52679180880455,-1.1368683772161603e-13,0.07769748098553032,-2.7755575615628914e-17,0.012040362653300515,-1.5612511283791264e-17,-0.7107571873554687,0.09674729853698169,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00027,28,109670797,109660803,9994,109670797,109670797,negative,negative,False,True,-700.5003791113922,0.2345732370876761,0.2113316628996534,0.0098010101179576,0.0134405640700649,-6062.627144332166,-13303.443764865187,-7240.816620533022,335.81014783297,109668485,False,False,subthreshold_negative,34262.81003604829,-7240.816620533022,0.0,0.21133166289965347,-5.551115123125783e-17,0.009801010117957644,-4.5102810375396984e-17,-0.724516371876428,0.2345732370876759,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00028,29,3456977,3455716,1261,3456977,3456977,negative,negative,False,True,-56.54292508843059,0.1341559286414388,0.1174356488415478,0.0077614986724626,0.0089587811274282,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,62.47652506736517,3456171,False,False,subthreshold_negative,8049.543999669534,-945.3034224797802,0.0,0.11743564884154789,-9.71445146547012e-17,0.007761498672462699,-9.8879238130678e-17,-0.7496458544645362,0.1341559286414386,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00029,30,4994789,4991760,3029,4994789,4994789,negative,negative,False,True,-113.94054074237602,0.1879865387221068,0.1751074858509674,0.0057126820734734,0.0071663707976659,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,74.79600740040587,4992724,False,False,subthreshold_negative,13092.975670345444,-2292.6780519420754,0.0,0.17510748585096741,-2.7755575615628914e-17,0.005712682073473406,-6.071532165918825e-18,-0.7569092281089718,0.1879865387221067,1.1102230246251565e-16,True,True,True,True,True,,pass
