block_id,p_star,y,h,post_z,neg_Q,is_tail,is_longa,scale_bin,decade,depth_bin,mu_bin,h_bin,recovery_position,recovery_pos_bin,delayed_risk_proxy,late_recovery_proxy,long_window_proxy,cp_ratio,R_eff_over_P,response_over_obstruction,post_over_obstruction,Q_pp,Qpp_over_denom,shell_pattern,canonical_scaled_E_post,canonical_scaled_response,denom_sqrt_h_logB
299,39651863,39651244,619,-0.022664588588850898,0.022664588588850898,False,True,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,0.07057057057057058,0.05-0.25,False,False,False,0.0700647985436921,0.1360810671265527,0.67651960670782,-0.32348039329218004,0.0,0.0,11111,-172.60495297030388,360.9821099537862,7615.622595294372
279,40863643,40862800,843,-0.022469407785219782,0.022469407785219782,False,True,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,0.11820083682008369,0.05-0.25,False,False,False,0.0829200752976066,0.1275616791098277,0.7290233070269737,-0.2709766929730263,0.0,0.0,11111,-200.3819979554493,539.0985668007079,8917.99195914986
209,40866037,40865652,274,-0.022308152148310185,0.022308152148310185,False,True,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.22064777327935223,0.05-0.25,False,False,False,0.0613874169888523,0.1093357434532913,0.636600573170211,-0.36339942682978893,0.0,0.0,11111,-113.42141780584176,198.690846088748,5084.303578879494
163,109511267,109509400,1867,-0.022303999796248364,0.022303999796248364,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.12593632958801498,0.05-0.25,False,False,False,0.1088223400603969,0.1428727234037813,0.7950420861757841,-0.20495791382421594,0.0,0.0,11111,-330.24778773035746,1281.047826907863,14806.662067218394
91,179602723,179595316,7407,-0.022268676840985966,0.022268676840985966,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.015811852245548763,0-0.05,False,False,False,0.1917202756433796,0.1481318171156979,0.8838480866655538,-0.11615191333444617,0.0,0.0,11111,-692.3230962134858,5268.17360451688,31089.54794023732
111,30780011,30777698,2313,-0.021876614984444962,0.021876614984444962,False,True,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,1025<=h<=8192,0.01574468085106383,0-0.05,False,False,False,0.1309387070981607,0.1402175315993412,0.8329247670969843,-0.16707523290301574,0.0,0.0,11111,-312.79670168083385,1559.3940248908712,14298.222183973308
139,109556411,109553597,2814,-0.02152190019355062,0.02152190019355062,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.0945945945945946,0.05-0.25,False,False,False,0.1307278386246201,0.142324725171339,0.8353686527676029,-0.16463134723239722,0.0,0.0,11111,-391.2433812218751,1985.2383022426195,18178.84934431196
443,604711937,604711166,771,-0.021085710397377805,0.021085710397377805,True,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,0.14142538975501115,0.05-0.25,False,False,False,0.0595213337383874,0.1655249175076883,0.6457453307404827,-0.35425466925951726,0.0,0.0,11111,-239.3806359663349,436.3497262239548,11352.742281621397
178,109496207,109495510,697,-0.021038775957499166,0.021038775957499166,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,0.07066666666666667,0.05-0.25,False,False,False,0.0652388028843534,0.2091276185576127,0.6775113118676644,-0.3224886881323355,0.0,0.0,11111,-190.33357737704387,399.8687595772965,9046.79900396964
463,604208581,604207847,503,-0.02022870464107225,0.02022870464107225,True,True,p>=500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,0.0316622691292876,0-0.05,False,False,False,0.055570383439438,0.146294102248421,0.6359804739674326,-0.3640195260325674,0.0,0.0,11111,-185.47692356779783,324.0477318519336,9168.996574857616
215,604883911,604879711,4200,-0.02015507619056956,0.02015507619056956,True,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.023709902370990237,0-0.05,False,False,False,0.1286153186276067,0.1629407905303989,0.8432917913228777,-0.1567082086771223,0.0,0.0,11111,-534.0659550245737,2873.961994072528,26497.83855813256
