candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,source,E_theta,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,S,E_theta_normalized,positive_flag,negative_flag,threshold_relevant_flag,forbidden_flag,positive_above_0p20_flag,positive_above_0p225_flag,positive_above_0p24_flag,positive_above_0p25_flag,positive_cap_pass_flag,h_bin,p_star_bin,finite_tail_regime,short_window_flag,single_step_flag,sign_consistent,sign_inconsistent_positive_harmless,neg_E_theta_norm,rho_proxy,h_over_x,pstar_over_x,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,positive_formula_prediction,positive_formula_residual,failure_type,status
hexc_00041,42,7117417,7115469,1948,7117417,negative,negative,False,True,theta_local,-117.76229972501552,-1430.1054790106923,0.1301567329770984,0.1460888226947264,0.007641518998895,0.0082905707187329,10987.564348763462,-0.010717780209247962,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.010717780209247962,1.0,0.00027369479686240104,1.0,15.778055436668373,0.06337916633731613,0.01654372379068271,,,,pass
hexc_00042,43,12781267,12779528,1739,12781267,negative,negative,False,True,theta_local,-151.7480364006467,-1229.9006183879278,0.1101458902583867,0.1300675391522673,0.0053725661686165,0.014549082725264,11166.105385346242,-0.013590059484822,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.013590059484822,1.0,0.0001360584987388183,1.0,16.363491141279816,0.061111653458675586,0.011664411632775068,,,,pass
hexc_00043,44,109588091,109577354,10737,109588091,negative,negative,False,True,theta_local,-629.3445955758762,-7902.204580257003,0.2225301612998425,0.2415685632788372,0.0066368119233886,0.0124015900556059,35510.71249892,-0.017722668774810324,False,True,False,False,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.017722668774810324,1.0,9.797597441495719e-05,1.0,18.512239267815275,0.05401831650580299,0.009898281386935673,,,,pass
hexc_00044,45,12836777,12833438,3339,12836777,negative,negative,False,True,theta_local,-163.66723291570224,-2489.441898656397,0.1608095545919656,0.1752468754780604,0.0060864238556851,0.0083508970304095,15480.68399898904,-0.01057235151407977,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.01057235151407977,1.0,0.0002601120203303368,1.0,16.367824812256128,0.06109547306806498,0.016127988725514932,,,,pass
hexc_00045,46,618029,618028,1,618029,positive,negative,False,True,theta_local,12.3342906609052,-13.01094059590514,0.0731760324597099,0.0748436752518515,0.0,0.0016676427921415,177.80330742950363,0.0693704230771723,True,False,False,False,False,False,False,False,True,h=1,100K<=p<1M,finite_zone,True,True,False,True,-0.0693704230771723,1.0,1.6180470495721075e-06,1.0,13.3342906609052,0.07499461541901883,0.0012720247833953972,0.07248235329739217,0.0006936791623177313,,pass
hexc_00046,47,12807413,12805898,1515,12807413,negative,negative,False,True,theta_local,-205.7621329185172,-997.9957473512264,0.0957330676536776,0.1184377830877646,0.006714545286013,0.0159901701480738,10424.775595424973,-0.019737799728640506,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.019737799728640506,1.0,0.00011829086795280202,1.0,16.365534701877635,0.061104022460400816,0.010876160533607529,,,,pass
hexc_00047,48,3440630,3439819,811,3440807,positive,negative,False,True,theta_local,46.90968440981942,-691.6775565305757,0.1072136412049886,0.1225172337511368,0.0089098695882727,0.0063937229578754,6451.395072088945,0.007271246588628184,True,False,False,False,False,False,False,False,True,257<=h<=1024,1M<=p<100M,finite_zone,False,False,False,True,-0.007271246588628184,1.0,0.00023571264564919796,1.0000514440669297,15.051216594860197,0.06643981193795906,0.015352936059568474,0.08071740304341213,0.026496238161576466,,pass
hexc_00048,49,33902159,33888759,13400,33902159,negative,negative,False,True,theta_local,-291.8733586694325,-10356.155825807087,0.2975764937115444,0.3075518627750951,0.0049814047227133,0.0049939643408373,34801.659555293445,-0.008386765527824882,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.008386765527824882,1.0,0.00039525506325423107,1.0,17.33898925763836,0.057673488641183,0.019881022691356474,,,,pass
hexc_00049,50,3457967,3457512,455,3457967,negative,negative,False,True,theta_local,-93.6529697629686,-267.71927672099514,0.055366069112823,0.0793601948576568,0.006278619086263,0.0177155066585706,4835.439485065229,-0.01936803677353957,False,True,False,False,False,False,False,False,True,257<=h<=1024,1M<=p<100M,finite_zone,False,False,True,False,0.01936803677353957,1.0,0.00013158020304994235,1.0,15.056191402091347,0.06641785915800043,0.011470841427286072,,,,pass
hexc_00050,51,12842173,12840082,2091,12842173,negative,negative,False,True,theta_local,-192.29332879440085,-1468.9981860940732,0.1199057486653474,0.1392439305539144,0.0050051051752984,0.0143330767132684,12251.274041864273,-0.015695782180474318,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.015695782180474318,1.0,0.00016282291166767494,1.0,16.36824507866729,0.06109390439805294,0.012760208135750567,,,,pass
