extreme_set,rank_in_set,candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,post_P0_flag,tail_flag,finite_certificate_flag,source,scale_bin,depth_bin,mu_bin,spf_class,channel_full,channel_inferred,status
top25_post_P0_positive_Q,15,cand_00949,950.0,604715537,604715536.0,1.0,604715537.0,19.22026871864579,0.0470094975640988,positive,0.050292038029149,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,16,cand_01356,1357.0,604203811,604203810.0,1.0,604203811.0,19.219422134411023,0.0470113634340528,positive,0.0502871937555969,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,17,cand_01388,1389.0,604673087,604673086.0,1.0,604673087.0,19.22019851788621,0.0470096522808173,positive,0.0502840921991392,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,18,cand_01113,1114.0,604357543,604357542.0,1.0,604357543.0,19.219676539369978,0.0470108027105137,positive,0.0502820747847901,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,19,cand_01376,1377.0,604687079,604687078.0,1.0,604687079.0,19.22022165739484,0.0470096012831252,positive,0.0502780299133259,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,20,cand_01148,1149.0,604692527,604692526.0,1.0,604692527.0,19.22023066697293,0.04700958142674,positive,0.0502751394000731,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,21,cand_00915,916.0,604811353,604811352.0,1.0,604811353.0,19.220427154148123,0.0470091483889731,positive,0.0502642768158267,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,22,cand_01454,1455.0,604873177,604873176.0,1.0,604873177.0,19.22052936922738,0.0470089231204707,positive,0.0502486490880784,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,23,cand_00732,733.0,604676711,604676710.0,1.0,604676711.0,19.2202045111894,0.0470096390720288,positive,0.0502399087413142,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,24,cand_01397,1398.0,604811167,604811166.0,1.0,604811167.0,19.220426846614167,0.0470091490667404,positive,0.0502199766170714,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,25,cand_01057,1058.0,604357393,604357392.0,1.0,604357393.0,19.219676291172497,0.0470108032575491,positive,0.0502046417587178,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
positive_Q_gt_0p20,1,cand_00033,34.0,127,126.0,1.0,127.0,3.844187086458591,0.1638184076850698,positive,0.2157084836048593,False,False,True,theta,p<100M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
