group_field,group_value,rows,E_end_over_h_max,C_end_max,endpoint_residual_fraction_max,affine_capture_fraction_min,E_best_over_h_max,E_gap_over_h_max,ratio_E_end_to_h4_ddR_sq_max,template_count,worst_template_C_end,failures
h_bin_laff,10k<h<=100k,15.0,15.780939239229737,3.972523031931941,9.384499837790036e-05,0.999906155001622,14.83639698133902,5.6158935440451145,2.361800182685474e-16,8.0,3.972523031931941,0.0
h_bin_laff,11<=h<=100,3.0,73.62931311610959,8.580752479596972,9.861270095805125e-06,0.9999901387299042,43.78193585251833,29.84737726359048,2.3584818330937423e-05,3.0,8.580752479596972,0.0
h_bin_laff,1k<h<=10k,80.0,45.74617977052387,6.763592223849976,0.0005320069009106,0.9994679930990894,29.835499306357605,36.63906076198799,1.036515589287061e-12,22.0,6.763592223849976,0.0
h_bin_laff,2<=h<=10,64.0,54.6007965610797,7.38923518106439,0.0002992154873217,0.9997007845126784,36.85830399288621,22.43020935100241,0.0013717421126794908,16.0,7.38923518106439,0.0
h_bin_laff,h<=1,1241.0,0.0,0.0,0.0,1.0,2.0183206946293878e-22,2.0183206946293878e-22,,1.0,0.0,0.0
h_bin_laff,h>100k,3.0,5.243489587168667,2.289866718210618,3.3053588386700646e-05,0.9999669464116132,3.754521262124791,1.488968325043903,7.400689712471193e-20,3.0,2.289866718210618,0.0
p_star_bin_laff,100M<=p<500M,530.0,56.50973597641633,7.517295788807058,9.384499837790036e-05,0.999906155001622,35.47977459476777,35.400860703944744,0.0013717421124830535,24.0,7.517295788807058,0.0
p_star_bin_laff,1M<=p<100M,734.0,73.62931311610959,8.580752479596972,0.0013147173309265,0.9986852826690736,43.78193585251833,40.34231991286319,0.0013717421124828948,31.0,8.580752479596972,0.0
p_star_bin_laff,500M<=p<1B,142.0,64.13704142037176,8.008560508628985,2.4265633807775945e-05,0.9999757343661922,29.98033535342825,43.91930344849154,0.0013717421124828536,19.0,8.008560508628985,0.0
p_star_bin_laff,p<1M,62.0,21.7152630494778,4.659963846370249,0.0013550898740644,0.9986449101259356,10.364883301182344,12.96660864125347,0.0013717421126794908,3.0,4.659963846370249,0.0
sample_count_bin_laff,11<=m<=25,3.0,73.62931311610959,8.580752479596972,9.861270095805125e-06,0.9999901387299042,43.78193585251833,29.84737726359048,2.3584818330937423e-05,3.0,8.580752479596972,0.0
sample_count_bin_laff,26<=m<=50,160.0,64.13704142037176,8.008560508628985,0.0013550898740644,0.9986449101259356,29.835499306357605,43.91930344849154,1.5609224569711558e-09,24.0,8.008560508628985,0.0
sample_count_bin_laff,3<=m<=5,61.0,50.20658843787949,7.085660762263424,0.0002992154873217,0.9997007845126784,29.98033535342825,20.226253084497003,0.0013717421126794908,16.0,7.085660762263424,0.0
sample_count_bin_laff,6<=m<=10,3.0,54.6007965610797,7.38923518106439,4.0678337800586574e-05,0.9999593216621994,36.85830399288621,22.43020935100241,0.0001369096730055348,2.0,7.38923518106439,0.0
sample_count_bin_laff,m<=2,1241.0,0.0,0.0,0.0,1.0,2.0183206946293878e-22,2.0183206946293878e-22,,1.0,0.0,0.0
template_cluster_id,1,1241.0,0.0,0.0,0.0,1.0,2.0183206946293878e-22,2.0183206946293878e-22,,0.0,0.0,0.0
template_cluster_id,10,13.0,32.97396823627521,5.7422964253228175,0.0001940008489264,0.9998059991510736,16.87583477700751,21.953138215270663,1.5609224569711558e-09,0.0,5.7422964253228175,0.0
template_cluster_id,11,6.0,18.77865222575702,4.333434230002461,8.377516743960191e-05,0.9999162248325604,10.162025168434884,10.724593828996571,1.2344614586922241e-11,0.0,4.333434230002461,0.0
template_cluster_id,12,10.0,26.95229227012873,5.191559714587585,0.000375106831128,0.999624893168872,17.71681178132743,21.27279850874023,2.2898582474697436e-10,0.0,5.191559714587585,0.0
