block_id,source_row,p_star,y,h,shell_sym_all_2,shell_sym_all_3,R3_q3,R3_non3,R3_rebuilt,R3_over_R2,R3_q3_over_R2,R3_non3_over_R2
130,130,109678603,109674416,4187,669.1637112500015,217.9896205643008,145.55404124444442,73.1353583643,218.68939960874445,0.3257642590287734,0.21751633986928054,0.10929367079347856
133,133,30343471,30342328,1143,182.6423305999997,67.9661087434918,48.984533111111105,20.689036500825047,69.67356961193616,0.3721268148529195,0.2681992337164755,0.11327624014027492
135,135,12831293,12830878,349,62.98011400000005,21.687560294187648,12.596022799999998,10.100523186807292,22.69654598680729,0.3443556849418791,0.19999999999999982,0.16037638780405009
139,139,109556411,109553597,2814,455.0313236499976,147.9723246118747,100.76818239999999,47.27392627170842,148.0421086717084,0.3251915130257989,0.22145328719723298,0.10389158683077986
150,150,108590687,108589025,1662,250.3459531499992,85.62033115570559,58.78143973333333,26.83889142237224,85.62033115570557,0.3420080495745208,0.23480083857442421,0.10720721100009652
153,153,108849263,108847420,1843,262.94197594999906,85.80364449299663,57.38188164444444,30.129223716996638,87.51110536144108,0.32632159313092335,0.21823020625415912,0.11458506618481486
154,154,12801751,12800706,1045,188.94034199999965,68.05810003476334,47.58497502222222,21.872683101429924,69.45765812365214,0.36020946778408747,0.25185185185185227,0.11576502333964213
155,155,109764139,109762638,1501,209.40887904999948,73.31945628282342,53.18320737777778,20.83602794949003,74.01923532726781,0.35012582377329526,0.25396825396825456,0.09949925735725428
156,156,33871261,33870647,614,88.17215960000007,31.107515521079385,20.993371333333332,11.513702276634959,32.50707360996829,0.3528042826919639,0.2380952380952379,0.13058206046974208
159,159,178905659,178902349,3310,492.8193920499973,169.2984380562361,109.16553093333333,60.34110584686939,169.5066367802027,0.34353039021455656,0.2215122470713537,0.12244060769578582
160,160,33870121,33869043,1078,177.91882204999973,54.54628449167326,40.587184577777776,14.658878958339871,55.246063536117646,0.30657961795826394,0.22812192723697183,0.08239082739779129
161,161,108572459,108571084,1375,196.8128562499996,65.59982279455758,41.986742666666665,23.622048460251122,65.60879112691778,0.3333106588892244,0.21333333333333374,0.12002289337361907
163,163,109511267,109509400,1867,300.7300443499988,92.82988639111431,65.77923017777778,27.564779592928414,93.34400977070618,0.3086817833308203,0.21873182082606252,0.09165954686206104
164,164,39637237,39636755,482,72.42713110000005,27.599192620998515,25.192045599999997,3.8067051098874134,28.99875070988741,0.3810615193758309,0.34782608695652145,0.05255910391689407
165,165,40844717,40842945,1772,296.0065357999988,97.29897691494624,60.18099782222222,37.1179819816509,97.29897980387312,0.3287055018970518,0.2033096926713956,0.1253958189853288
166,166,30799397,30798784,510,88.17215960000007,30.25201146182524,20.993371333333332,9.958419172936372,30.951790506269703,0.343101627532612,0.2380952380952379,0.11294289737388222
167,167,109682107,109679748,2359,368.43366689999823,118.2370158974395,74.1765787111111,45.45999527521743,119.63657398632853,0.3209180553240046,0.20132953466286896,0.12338719112647316
171,171,33862193,33861455,738,111.7897023500001,34.369387220970665,22.39292942222222,12.984139622748454,35.377069044970675,0.30744680859212103,0.20031298904538322,0.11614790405378017
174,174,30825511,30824836,675,114.9387080500001,38.79392307901328,30.790277955555553,9.403203212346602,40.193481167902156,0.3375183498855523,0.267884322678843,0.0818105873284748
175,175,12776941,12776609,332,62.98011400000005,19.48356888249497,16.794697066666664,4.088429904717202,20.883126971383867,0.3093606480689278,0.26666666666666644,0.06491620362448373
176,176,30359687,30358683,1004,162.17379354999986,48.86854253890464,27.991161777777776,20.884617775088312,48.87577955286609,0.30133439854348576,0.17259978425026984,0.12877923934516194
177,177,110319577,110315160,4417,710.1007853500026,235.0555797941354,159.54962213333332,76.20573670524536,235.75535883857867,0.33101720860409767,0.22468588322246774,0.10731678978172683
178,178,109496207,109495510,697,85.02315390000007,25.244730170042047,16.794697066666664,9.376412658200222,26.171109724866888,0.29691594597553533,0.1975308641975307,0.11028069682322399
179,179,30851287,30850871,350,64.55461685000004,21.630044935511936,13.995580888888888,8.3342430910675,22.329823979956387,0.33506580924756774,0.21680216802168006,0.12910374962697177
181,181,180635669,180633960,1709,236.17542749999927,76.33963418887785,58.78143973333333,18.25797349998889,77.03941323332222,0.32323275540118623,0.24888888888888963,0.07730682947525921
183,183,109726069,109724532,1537,225.15390754999936,75.52812076373948,53.18320737777778,23.044692430406123,76.22789980818389,0.33545107693486126,0.23620823620823686,0.10235084383462742
184,184,604356173,604335487,20686,3163.1762256500715,1047.687468136951,710.9755091555555,337.7196408054135,1048.695149960969,0.3312137526961965,0.22476632929594093,0.10676598985123188
