candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,O2_applicable_flag,B3_applicable_flag,endpoint_exclusion_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon_exported,epsilon,epsilon_export_difference,epsilon_abs,epsilon_positive_part,epsilon_negative_part,DeltaD,D_start,D_end,bridge_excursion_raw,scale_denominator,Q_reconstructed,formula_reconstruction_error,positive_flag,negative_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,sign_inconsistent_flag,E_theta_normalized,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,rho_proxy,row_regime,residual_cap_0p03_pass_flag,residual_cap_0p025_pass_flag,failure_type,status
hexc_00036,37,1657,1656,1,1657,positive,negative,False,True,True,True,True,False,6.412764017426562,0.1389495863976313,0.129017905192041,6.465466393439502e-17,0.0099316812055901,0.009931681205590228,1.2836953722228372e-16,0.009931681205590228,0.009931681205590228,0.0,-7.089413952426561,-24.515635713926613,-31.60504966635317,3.552713678800501e-15,54.94907037805399,0.1389495863976313,0.0,True,False,False,False,False,True,0.11670377630242393,7.4127640174265625,0.13490244632759307,0.024566243134638045,1.0,finite_positive,True,True,,pass
hexc_00037,38,155921,155920,1,156007,positive,negative,False,True,True,True,True,False,10.957104747706284,0.0868104441327406,0.081363154764434,0.0,0.0054472893683065,0.0054472893683066015,1.0148132334464322e-16,0.0054472893683066015,0.0054472893683066015,0.0,-11.633754682706297,-219.20299235558093,-230.83674703828723,0.0,142.98554076951442,0.0868104441327406,0.0,True,False,False,False,False,True,0.07663085853812723,11.957656157019837,0.08362842908916912,0.0025324897383011444,1.0,finite_positive,True,True,,pass
hexc_00038,39,39690667,39682692,7975,39690667,negative,negative,False,True,True,True,True,True,-364.0109776889212,0.2349256240499423,0.2184817075940539,0.0069005695359736,0.0095433469199146,0.009543346919914812,2.1163626406917047e-16,0.009543346919914812,0.009543346919914812,0.0,-5972.95270429004,-3641.029352975941,-9613.98205726598,188.65092151155025,27338.45670681034,0.2349256240499423,0.0,False,True,False,False,False,False,-0.013314979027263146,17.496626629858657,0.05715387435275449,0.014174937322052258,1.0,finite_negative,True,True,,pass
hexc_00039,40,30417481,30409154,8327,30417481,negative,negative,False,True,True,True,True,True,-228.7179970545885,0.24963148266117,0.2357893781039462,0.0085348501864403,0.0053072543707834,0.005307254370783488,8.847089727481716e-17,0.005307254370783488,0.005307254370783488,0.0,-6388.011550910226,-3185.022130148648,-9573.033681058874,231.2263682727644,27092.02425604648,0.24963148266117,0.0,False,True,False,False,False,False,-0.008442263113784956,17.230528034003125,0.05803652668255881,0.016545605288800405,1.0,finite_negative,True,True,,pass
hexc_00040,41,604672261,604520611,151650,604672261,negative,negative,True,False,False,True,True,True,-1617.0683062109456,0.7568596623500748,0.7467076670478365,0.0014698183580815,0.0086821769441567,0.008682176944156815,1.1449174941446927e-16,0.008682176944156815,0.008682176944156815,0.0,-118889.25056613778,-13895.06128730599,-132784.31185344377,234.02143940953465,159217.93201370913,0.7568596623500748,0.0,False,True,True,False,True,False,-0.010156320244579683,20.220197151857885,0.049455501966167395,0.01583657217083879,1.0,threshold_relevant_negative,True,True,,pass
hexc_00041,42,7117417,7115469,1948,7117417,negative,negative,False,True,True,True,True,True,-117.76229972501552,0.1460888226947264,0.1301567329770984,0.007641518998895,0.0082905707187329,0.008290570718732996,9.540979117872439e-17,0.008290570718732996,0.008290570718732996,0.0,-1430.1054790106923,-1505.373515836785,-2935.478994847477,83.96168172265811,10987.564348763462,0.1460888226947264,0.0,False,True,False,False,False,False,-0.010717780209247962,15.778055436668373,0.06337916633731613,0.01654372379068271,1.0,finite_negative,True,True,,pass
hexc_00042,43,12781267,12779528,1739,12781267,negative,negative,False,True,True,True,True,True,-151.7480364006467,0.1300675391522673,0.1101458902583867,0.0053725661686165,0.014549082725264,0.014549082725264095,9.540979117872439e-17,0.014549082725264095,0.014549082725264095,0.0,-1229.9006183879278,-2025.7534664814043,-3255.654084869332,59.99064002851856,11166.105385346242,0.1300675391522673,0.0,False,True,False,False,False,False,-0.013590059484822,16.363491141279816,0.061111653458675586,0.011664411632775068,1.0,finite_negative,True,True,,pass
hexc_00043,44,109588091,109577354,10737,109588091,negative,negative,False,True,True,True,True,True,-629.3445955758762,0.2415685632788372,0.2225301612998425,0.0066368119233886,0.0124015900556059,0.0124015900556061,1.9949319973733282e-16,0.0124015900556061,0.0124015900556061,0.0,-7902.204580257003,-5924.212674655511,-13826.417254912514,235.6779201208592,35510.71249892,0.2415685632788372,0.0,False,True,False,False,False,False,-0.017722668774810324,18.512239267815275,0.05401831650580299,0.009898281386935673,1.0,finite_negative,True,True,,pass
hexc_00044,45,12836777,12833438,3339,12836777,negative,negative,False,True,True,True,True,True,-163.66723291570224,0.1752468754780604,0.1608095545919656,0.0060864238556851,0.0083508970304095,0.008350897030409685,1.8388068845354155e-16,0.008350897030409685,0.008350897030409685,0.0,-2489.441898656397,-2020.026918484228,-4509.468817140625,94.22200439377092,15480.68399898904,0.1752468754780604,0.0,False,True,False,False,False,False,-0.01057235151407977,16.367824812256128,0.06109547306806498,0.016127988725514932,1.0,finite_negative,True,True,,pass
hexc_00045,46,618029,618028,1,618029,positive,negative,False,True,True,True,True,False,12.3342906609052,0.0748436752518515,0.0731760324597099,0.0,0.0016676427921415,0.0016676427921415993,9.93129189996722e-17,0.0016676427921415993,0.0016676427921415993,0.0,-13.01094059590514,-546.4975466414396,-559.5084872373448,0.0,177.80330742950363,0.0748436752518515,0.0,True,False,False,False,False,True,0.0693704230771723,13.3342906609052,0.07499461541901883,0.0012720247833953972,1.0,finite_positive,True,True,,pass
hexc_00046,47,12807413,12805898,1515,12807413,negative,negative,False,True,True,True,True,True,-205.7621329185172,0.1184377830877646,0.0957330676536776,0.006714545286013,0.0159901701480738,0.015990170148074002,2.0122792321330962e-16,0.015990170148074002,0.015990170148074002,0.0,-997.9957473512264,-2004.667713167148,-3002.6634605183744,69.99762783200504,10424.775595424973,0.11843778308776459,1.3877787807814457e-17,False,True,False,False,False,False,-0.019737799728640506,16.365534701877635,0.061104022460400816,0.010876160533607529,1.0,finite_negative,True,True,,pass
hexc_00047,48,3440630,3439819,811,3440807,positive,negative,False,True,True,True,True,True,46.90968440981942,0.1225172337511368,0.1072136412049886,0.0089098695882727,0.0063937229578754,0.0063937229578755,1.0061396160665481e-16,0.0063937229578755,0.0063937229578755,0.0,-691.6775565305757,-1059.9835425069589,-1751.6610990375343,57.48108875473781,6451.395072088945,0.1225172337511368,0.0,True,False,False,False,False,True,0.007271246588628184,15.051216594860197,0.06643981193795906,0.015352936059568474,1.0,finite_positive,True,True,,pass
hexc_00048,49,33902159,33888759,13400,33902159,negative,negative,False,True,True,True,True,True,-291.8733586694325,0.3075518627750951,0.2975764937115444,0.0049814047227133,0.0049939643408373,0.004993964340837432,1.3183898417423734e-16,0.004993964340837432,0.004993964340837432,0.0,-10356.155825807087,-3286.909262209392,-13643.06508801648,173.36115126700133,34801.659555293445,0.3075518627750951,0.0,False,True,False,False,False,False,-0.008386765527824882,17.33898925763836,0.057673488641183,0.019881022691356474,1.0,finite_negative,True,True,,pass
hexc_00049,50,3457967,3457512,455,3457967,negative,negative,False,True,True,True,True,True,-93.6529697629686,0.0793601948576568,0.055366069112823,0.006278619086263,0.0177155066585706,0.017715506658570804,2.0469737016526324e-16,0.017715506658570804,0.017715506658570804,0.0,-267.71927672099514,-1032.5412923104789,-1300.260569031474,30.359882641400645,4835.439485065229,0.0793601948576568,0.0,False,True,False,False,False,False,-0.01936803677353957,15.056191402091347,0.06641785915800043,0.011470841427286072,1.0,finite_negative,True,True,,pass
hexc_00050,51,12842173,12840082,2091,12842173,negative,negative,False,True,True,True,True,True,-192.29332879440085,0.1392439305539144,0.1199057486653474,0.0050051051752984,0.0143330767132684,0.014333076713268608,2.0816681711721685e-16,0.014333076713268608,0.014333076713268608,0.0,-1468.9981860940732,-1989.409656565634,-3458.407842659707,61.318915110935,12251.274041864273,0.1392439305539144,0.0,False,True,False,False,False,False,-0.015695782180474318,16.36824507866729,0.06109390439805294,0.012760208135750567,1.0,finite_negative,True,True,,pass
