rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
B_abs_max,3,hexc_00006,7,30774449,30670319,104130,30774449,threshold_relevant_negative,False,True,False,True,2.2898667182106016,5.2434895871685905,363.3590972929378,738.9212209105052,5.243489587168652,0.4917426743343476,0.0077023825323383,0.0037875901851982,3.305358838670055e-05
B_abs_max,4,hexc_00027,28,109670797,109660803,9994,109670797,finite_negative,False,False,False,True,4.136664184987013,17.111990579354266,335.81014783297,413.5422999525791,17.11199057935451,0.8120333708824421,0.0120697134740987,0.0098010101179576,8.612504006920934e-05
B_abs_max,5,hexc_00183,184,604356173,604335487,20686,604356173,post_P0_negative_tail,True,False,False,False,3.217020248908076,10.34921928188458,311.51713925927834,462.692068297118,10.349219281884606,0.673270973513283,0.0078687452329321,0.0052977977633042,2.4265633807775945e-05
B_abs_max,6,hexc_00104,105,604432601,604410439,22162,604432601,post_P0_negative_tail,True,False,False,False,2.993479707499257,8.960920759209838,292.8305669368456,445.6365400924948,8.960920759209897,0.6571062751632932,0.0073218794827109,0.0048112529540787,2.0850541453084038e-05
B_abs_max,7,hexc_00024,25,109813367,109790208,23159,109813367,finite_negative,False,False,False,True,2.9385108976466805,8.6348462955883,238.2995725304463,447.1849789064136,8.634846295588305,0.5328881419791891,0.0085726096604516,0.0045682420338709,6.209563255379281e-05
B_abs_max,8,hexc_00043,44,109588091,109577354,10737,109588091,finite_negative,False,False,False,True,3.959631268924325,15.67867978584326,235.6779201208592,410.29499736238625,15.678679785843395,0.5744109034619774,0.0115541189824018,0.0066368119233886,8.542050280370882e-05
B_abs_max,9,hexc_00040,41,604672261,604520611,151650,604672261,threshold_relevant_negative,True,True,False,False,1.4656777515477335,2.1482112713820194,234.02143940953465,570.7681134270679,2.1482112713820922,0.4100114107713354,0.0035848230548423,0.0014698183580815,6.803174577721107e-06
B_abs_max,10,hexc_00039,40,30417481,30409154,8327,30417481,finite_negative,False,False,False,True,3.924855301745167,15.404489139637146,231.2263682727644,358.15245506035376,15.404489139637171,0.6456087763904863,0.0132198484570757,0.0085348501864403,0.00018634179473541566
B_abs_max,11,hexc_00020,21,30847123,30831334,15789,30847123,finite_negative,False,False,False,True,2.507968798244117,6.289907492966041,225.3338417937175,315.13703274360233,6.289907492966134,0.7150344719309831,0.0084337008776589,0.0060303868534807,8.917534931222225e-05
B_abs_max,12,hexc_00089,90,179641471,179630689,10782,179641471,finite_negative,False,False,False,True,3.972523031931926,15.780939239229621,218.7079087637594,412.49252948068556,15.780939239229664,0.5302105932417797,0.0109967241394257,0.0058305796296811,6.206770650640548e-05
B_abs_max,13,hexc_00086,87,109467389,109460158,7231,109467389,finite_negative,False,False,False,True,4.115813491290787,16.939920695091256,216.5692739450369,349.98938061919085,16.939920695091253,0.618788128833767,0.0120112853585843,0.0074324407919268,7.629671252521654e-05
B_abs_max,14,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,4.938161259893362,24.385436628711595,209.64678474559517,306.2854464558407,24.38543662871164,0.684481705453216,0.0161300283803644,0.0110407093348006,0.0001517244341785868
B_abs_max,15,hexc_00074,75,113195507,113182659,12848,113195507,finite_negative,False,False,False,True,3.910332937491072,15.290703682027555,206.45914079307292,443.23240056057836,15.290703682027782,0.4658033585359619,0.0113704467744794,0.0052963922956069,9.384499837790002e-05
B_abs_max,16,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,5.844620224509285,34.15958556874296,195.88185471513864,404.5473698590188,34.159585568743424,0.4842000450612348,0.0142946321039825,0.0069214615088821,2.366859739580037e-05
B_abs_max,17,hexc_00009,10,178298621,178254856,43765,178298621,finite_negative,False,False,False,True,1.9041830682272305,3.6259131573232697,189.86549926782936,398.356736268201,3.6259131573232724,0.4766217864080475,0.005275317087686,0.0025143310542018,2.092108111132384e-05
