q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
479,45,0.0002726182254370979,4.367536971200461e-06,1.9075379194802897e-11,5.325352744451181e-10,4.8694185238363475e-11
503,37,0.00022415276313716937,3.960301933419404e-06,1.568399140384547e-11,4.839189670785321e-10,9.530666711250538e-11
509,47,0.00028473459101208,3.867394768188357e-06,1.495674229301068e-11,4.770579745878483e-10,5.351919738387529e-11
491,38,0.00023021094592466044,4.156448730204913e-06,1.727606604682203e-11,4.268425203951561e-10,4.2996855204726194e-11
499,41,0.00024838549428713363,4.024112481992097e-06,1.6193481267724593e-11,4.2527798345729195e-10,3.0279316190618664e-11
487,30,0.00018174548362473193,4.22507837520386e-06,1.785128727661529e-11,3.731036487760983e-10,5.896096360281069e-11
523,29,0.00017568730083724086,3.6629231591979664e-06,1.341700607018881e-11,3.159997303312283e-10,3.489286425913581e-11
569,38,0.00023021094592466044,3.0941359934651847e-06,9.573677546056785e-12,3.0674952331587496e-10,4.3188673273756604e-11
547,34,0.00020597821477469618,3.348266602379948e-06,1.1210889240612961e-11,3.0492754822388807e-10,4.230058557557004e-11
521,37,0.00022415276313716937,3.6911265318175108e-06,1.3624415073887165e-11,2.948551032078527e-10,2.687624821301171e-11
571,38,0.00023021094592466044,3.072479798445325e-06,9.440132111854625e-12,2.756262822776416e-10,5.202635662992542e-11
557,44,0.0002665600426496068,3.2290146338943206e-06,1.0426535505903674e-11,2.7560072340035205e-10,3.081824309135356e-11
617,34,0.00020597821477469618,2.6310804268664885e-06,6.9225842126399436e-12,2.3803446685846695e-10,6.073300481445579e-11
541,38,0.00023021094592466044,3.4230163620182103e-06,1.1717041014644383e-11,2.3690163821810727e-10,1.9792604050472675e-11
563,32,0.00019386184919971405,3.1604963243427746e-06,9.988737016184188e-12,2.1007730084177588e-10,1.9845796450387734e-11
587,38,0.00023021094592466044,2.90712886139391e-06,8.451398216749452e-12,1.967991116236964e-10,1.3961042614168719e-11
593,32,0.00019386184919971405,2.8485483797456814e-06,8.114227871751746e-12,1.837496607420703e-10,1.545078447909342e-11
599,29,0.00017568730083724086,2.791720872580276e-06,7.793705430400377e-12,1.607095620662495e-10,2.511997579946319e-11
601,30,0.00018174548362473193,2.7731558513588464e-06,7.690393375925809e-12,1.575290887253178e-10,1.4028377782612802e-11
577,33,0.00019992003198720512,3.0088580781821683e-06,9.053226934642092e-12,1.533655013062438e-10,2.3597755452591682e-11
607,38,0.00023021094592466044,2.7185585115348438e-06,7.390560380638545e-12,1.5288277629097057e-10,1.909476590511192e-11
619,23,0.00013933820411229448,2.6140920474091734e-06,6.833477232327884e-12,1.520753997792293e-10,2.2768073421372636e-11
643,33,0.00019992003198720512,2.4224454101926814e-06,5.8682417653635885e-12,1.5173898239346793e-10,1.959209066005036e-11
613,26,0.00015751275247476767,2.665557794624103e-06,7.105198356481312e-12,1.3580998712353968e-10,1.3398575738302563e-11
631,23,0.00013933820411229448,2.5155334188614695e-06,6.3279083814088735e-12,1.2820583281805876e-10,1.2315473078411825e-11
659,28,0.0001696291180497498,2.306156052967792e-06,5.318355740639986e-12,1.1543202673238078e-10,1.3387876227392237e-11
673,32,0.00019386184919971405,2.2111370551192247e-06,4.889127076521317e-12,1.1494664575435795e-10,9.554569762060306e-12
641,28,0.0001696291180497498,2.437597503900156e-06,5.941881591020271e-12,1.1438998589780422e-10,6.929063450107784e-12
647,29,0.00017568730083724086,2.392562003244314e-06,5.724352939368445e-12,1.1245305573041083e-10,1.0857217845260171e-11
661,27,0.00016357093526225873,2.2922110667950306e-06,5.254231574737612e-12,1.1023248354903881e-10,1.191851700852389e-11
683,29,0.00017568730083724086,2.146816485833158e-06,4.60882102384503e-12,1.0055151600855743e-10,9.69386399153495e-12
653,32,0.00019386184919971405,2.3487631413297756e-06,5.5166882940693156e-12,9.681185373549252e-11,7.287071124654897e-12
677,25,0.0001514545696872766,2.185066382316695e-06,4.7745150951305684e-12,8.985365168016561e-11,8.657218130763326e-12
701,22,0.0001332800213248034,2.037905033625433e-06,4.153056926075877e-12,7.664252621780219e-11,1.478118514646544e-11
739,27,0.00016357093526225873,1.8335771991008137e-06,3.362005345062385e-12,7.643096503041243e-11,9.18377018943107e-12
733,32,0.00019386184919971405,1.8637383609539358e-06,3.473520678091263e-12,7.592403342078915e-11,6.958025918684578e-12
773,21,0.00012722183853731235,1.6757267626969817e-06,2.8080601832189063e-12,7.420052278840157e-11,1.4390198422839993e-11
719,31,0.000187803666412223,1.9370760224855783e-06,3.7522635168885486e-12,7.291838300970726e-11,6.79701943257734e-12
761,30,0.00018174548362473193,1.729026903658621e-06,2.9895340335753184e-12,6.779225636952835e-11,8.863521245414724e-12
709,25,0.0001514545696872766,1.9921429880551105e-06,3.9686336848571445e-12,6.583701361914001e-11,7.488053408220882e-12
727,23,0.00013933820411229448,1.8946498876472618e-06,3.5896981967617815e-12,6.550906711296961e-11,3.833004167860438e-12
691,20,0.00012116365574982128,2.097359424484574e-06,4.398916555474262e-12,5.825386490216615e-11,5.2871957082196375e-12
751,24,0.00014539638689978554,1.775410563692854e-06,3.1520826696721773e-12,5.3645786598011284e-11,6.801193241675709e-12
757,30,0.00018174548362473193,1.7473597394337158e-06,3.053266058993863e-12,5.2007960739526495e-11,5.97668146592045e-12
809,29,0.00017568730083724086,1.5298192365590081e-06,2.3403468965459866e-12,5.184265508611843e-11,3.761404465924363e-12
797,26,0.00015751275247476767,1.576262744084286e-06,2.484604238388123e-12,4.8667572736928415e-11,5.8077356896009685e-12
821,21,0.00012722183853731235,1.48539853242625e-06,2.206408800134057e-12,4.67034290495462e-11,6.89415531490399e-12
787,22,0.0001332800213248034,1.6166005477042656e-06,2.6133973308377317e-12,4.3753767707652026e-11,8.992413553277052e-12
769,23,0.00013933820411229448,1.6932162982228001e-06,2.8669814325673225e-12,4.066679058382831e-11,5.752269472370091e-12
827,22,0.0001332800213248034,1.4639102213139472e-06,2.1430331360674502e-12,4.012895954750531e-11,4.214089149612043e-12
743,15,9.087274181236596e-05,1.8138746902808967e-06,3.290141392041619e-12,4.00645962408598e-11,7.672890532172811e-12
857,23,0.00013933820411229448,1.3631555414999073e-06,1.8581930303219055e-12,3.9357768033124206e-11,5.5627139251898485e-12
823,20,0.00012116365574982128,1.4781834898729649e-06,2.1850264297330176e-12,3.7325291120701e-11,4.320280650920385e-12
853,32,0.00019386184919971405,1.3759776321076124e-06,1.893314444060472e-12,3.7051411005912097e-11,3.1325610433915365e-12
929,24,0.00014539638689978554,1.159942095690583e-06,1.3454656653550616e-12,3.382136133937783e-11,5.957882966263833e-12
