candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,C_minus_flag,V2,sqrt_V2,V2_source,V2_available_flag,Q_exc_over_sqrt_V2,Q_exc_over_sqrt_V2_global,row_regime,Q_exc_above_0p025_flag,variance_ratio_above_constant_flag,missing_Q_exc_flag,missing_V2_flag,invalid_V2_flag
hexc_00068,69,108581987,108578163,3824,108581987,negative,False,True,-400.9453068567673,0.1469597990717331,0.1245862627972834,0.0043804824344325,0.017993053840017,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2121406708795209,0.2121406708795209,finite_negative,False,False,False,False,False
hexc_00069,70,12847921,12847029,892,12847921,negative,False,True,-139.04176855224262,0.0908608054490663,0.0711926004758948,0.0077829840818417,0.0118852208913297,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.37691909265250406,0.37691909265250406,finite_negative,False,False,False,False,False
hexc_00070,71,1191481,1191480,1,1191481,positive,False,True,12.990707629107597,0.0710316103925829,0.0698240755547498,0.0,0.001207534837833,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00071,72,12843647,12843190,457,12843647,negative,False,True,-113.26485440576494,0.0679786634633438,0.043641826458844,0.0081632419242064,0.0161735950802932,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3953344510048992,0.3953344510048992,finite_negative,False,False,False,False,False
hexc_00072,73,40882169,40877269,4900,40882169,negative,False,True,-220.51959869872007,0.1837301433813745,0.1708297585564211,0.0069729630121156,0.0059274218128377,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3376908990162239,0.3376908990162239,finite_negative,False,False,False,False,False
hexc_00073,74,1186291,1186290,1,1186291,positive,False,True,12.986342191006576,0.0716803042452162,0.0698453533838172,0.0,0.0018349508613989,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00074,75,113195507,113182659,12848,113195507,negative,False,True,-330.4150379443963,0.2647255241959858,0.2536736118314834,0.0052963922956069,0.0057555200688954,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2564969113902486,0.2564969113902486,finite_negative,False,False,False,False,False
hexc_00075,76,2879,2878,1,2879,positive,False,True,6.965198290612176,0.1282261417306278,0.1204495617554677,1.1199458377620308e-16,0.0077765799751599,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,5.423741903495248e-15,5.423741903495248e-15,finite_positive,False,False,False,False,False
hexc_00076,77,39674417,39673239,1178,39674417,negative,False,True,-198.21267981504025,0.0933658727593846,0.070227735125299,0.0048863359951688,0.0182518016389167,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.23663845516416343,0.23663845516416343,finite_negative,False,False,False,False,False
hexc_00077,78,3441797,3441229,568,3441797,negative,False,True,-56.25170384278789,0.0865309897820664,0.0731587940029086,0.0054337359968187,0.007938459782339,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2631482757895496,0.2631482757895496,finite_negative,False,False,False,False,False
hexc_00078,79,109546081,109535495,10586,109546081,negative,False,True,-330.4584709322444,0.2408302537232801,0.2292074218688508,0.0043289464415077,0.0072938854129215,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.20964485443072703,0.20964485443072703,finite_negative,False,False,False,False,False
hexc_00079,80,1198513,1198510,3,1198607,positive,False,True,24.993182690643494,0.0831464357639209,0.0805918938395926,0.0134319847655415,-0.0108774428412132,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.650492337786222,0.650492337786222,finite_positive,False,False,False,False,False
hexc_00080,81,1512197,1512196,1,1512197,positive,False,True,13.22907411823977,0.0705955645536329,0.0686815873299589,0.0,0.001913977223674,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00081,82,12782500,12782006,494,12782599,negative,False,True,-68.54730774172731,0.0796044258439215,0.0544062230194822,0.0108684538700757,0.0143297489543634,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.5263441024891782,0.5263441024891782,finite_negative,False,False,False,False,False
