block_id,p_star,start_prime,worst_prime,end_prime,covered_y,covered_h,d_start,d_worst,d_end,Q_tail_start,Q_tail_max_inside,Q_tail_end,candidate_crossing,first_crossing_inside_flag,covered_flag,finite_certificate_flag,covered_by_block_or_certificate,local_violation_flag,absorbed_by_HExc_flag,endpoint_favorable_flag_final,endpoint_repayment_norm,accumulation_proxy,Q_local,Q_post_response,Q_exc,Q_o2p4_total,Q_bdy,Q_pp,O2_total_with_o2p4,cross_Q,cross_Q_y,cross_Q_h,is_tail,B3_block_pass
49,33902159,33882019,33888653,33902159,33888759.0,13400.0,0.500099463904442,0.559337593663511,0.4997937085243714,0.00039785561776817246,0.23735037465404396,0.0,False,False,True,True,True,False,True,True,0.05954388513913959,0.0,0.3075518627750951,0.0,0.0049814047227133,0.0,0.0,0.0,0.0301511056,,,,False,True
50,3457967,3457117,3457481,3457967,3457512.0,455.0,0.5029474743652779,0.5585861223496483,0.49154388968638163,0.011789897461111476,0.23434448939859331,0.0,False,False,True,True,True,False,True,True,0.06704223266326667,0.0,0.0793601948576568,0.0100395656818993,0.006278619086263,0.0,0.0,0.0,0.0301511056,,,,False,True
51,12842173,12837641,12840031,12842173,12840082.0,2091.0,0.5007352084103398,0.5580235690234773,0.48994809883037416,0.0029408336413592195,0.2320942760939091,0.0,False,False,True,True,True,False,True,True,0.06807547019310309,0.0,0.1392439305539144,0.0,0.0050051051752984,0.0,0.0,0.0,0.0301511056,,,,False,True
52,1512479,1512223,1512331,1512479,1512478.0,1.0,0.5067470236765426,0.5578895862071762,0.4952976050919398,0.02698809470617025,0.23155834482870485,0.0,False,False,True,True,True,False,False,True,0.06259198111523641,0.0,0.0713499660129912,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
53,356243,356123,356143,356243,356170.0,3.0,0.5053617144049276,0.5577559153257986,0.4974049871541776,0.021446857619710435,0.2310236613031944,0.0,False,False,True,True,True,False,False,True,0.060350928171621014,0.0,0.0917954514179663,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
54,7112297,7108643,7109983,7112297,7110038.0,2259.0,0.5029259980126894,0.556380326479045,0.49920667875985647,0.011703992050757783,0.22552130591618003,0.0,False,False,True,True,True,False,True,True,0.05717364771918853,0.0,0.1547550134720171,0.0,0.0030623697626775,0.0,0.0,0.0,0.0301511056,,,,False,True
55,12895717,12892843,12894071,12895717,12894136.0,1581.0,0.5015159116051165,0.5562861011128931,0.4990376980064077,0.0060636464204661955,0.22514440445157247,0.0,False,False,True,True,True,False,True,True,0.05724840310648542,0.0,0.1217247995908262,0.0,0.0082557947953519,0.0,0.0,0.0,0.0301511056,,,,False,True
56,1511527,1510679,1510967,1511527,1511046.0,403.0,0.5009226884335929,0.5561480230216432,0.49377108111815526,0.0036907537343715546,0.22459209208657294,0.0,False,False,True,True,True,False,True,True,0.062376941903488,0.0,0.0952884508457212,0.0060365273109943,0.007718928919738,0.0,0.0,0.0,0.0301511056,,,,False,True
57,179620853,179605427,179616673,179620853,179616870.0,3983.0,0.50034775735718,0.5561088242646545,0.49808365512605945,0.0013910294287198255,0.22443529705861787,0.0,False,False,True,True,True,False,True,True,0.058025169138595026,0.0,0.1434186712486546,0.0173475771754453,0.0081468555780067,0.0,0.0,0.0,0.0301511056,,,,False,True
58,1188511,1188233,1188293,1188511,1188358.0,3.0,0.5067626254379647,0.5545502017536743,0.4952080420606757,0.027050501751858747,0.21820080701469724,0.0,False,False,True,True,True,False,False,True,0.05934215969299858,0.0,0.0833294497303515,0.0022962565448292,,0.0022962565448292,0.0022962565448292,0.0,0.0324473621448292,,,,False,True
59,293,283,283,293,292.0,1.0,0.5426063203226165,0.5426063203226165,0.46313709490589455,0.17042528129046586,0.17042528129046586,0.0,False,False,True,True,True,False,False,True,0.07946922541672191,0.0,0.1707575979731007,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
60,3291137,3290647,3290887,3291137,3290975.0,8.0,0.5013652185441343,0.5512735894464837,0.49626300622501274,0.005460874176537178,0.205094357785935,0.0,False,False,True,True,True,False,True,True,0.05501058322147102,0.0,0.0730965487832678,0.0,0.0205672364492246,0.0,0.0,0.0,0.0301511056,,,,False,True
61,1190143,1189757,1189933,1190143,1190068.0,3.0,0.5071237866443626,0.5512234961655321,0.49936172386481653,0.02849514657745056,0.2048939846621285,0.0,False,False,True,True,True,False,False,True,0.05186177230071561,0.0,0.0832943901091022,0.0022770928481098,,0.0022770928481098,0.0022770928481098,0.0,0.0324281984481098,,,,False,True
62,113166227,113148779,113154493,113166227,113154493.0,11734.0,0.5001449582423326,0.5505019497337198,0.49687208253249043,0.0005798329693305071,0.2020077989348792,0.0,False,False,True,True,True,False,True,True,0.05362986720122935,0.0,0.2503069484559692,0.0045914062629016,0.0041822745120619,0.0,0.0,0.0,0.0301511056,,,,False,True
63,30816007,30811999,30813613,30816007,30813688.0,2319.0,0.5012620004965108,0.5491127518864393,0.49987947062739385,0.005048001986043271,0.19645100754575706,0.0,False,False,True,True,True,False,True,True,0.04923328125904541,0.0,0.1321516982536188,0.007607550910807,0.0075446709207132,0.0,0.0,0.0,0.0301511056,,,,False,True
64,604810421,604724509,604756979,604810421,604757400.0,53021.0,0.5001466895388992,0.5487978692884932,0.49948374969610704,0.0005867581555967227,0.19519147715397267,0.0,False,False,True,False,True,False,True,True,0.04931411959238611,0.0,0.4494568065190746,0.0228235400913014,0.0016779826148503,0.0,0.0,0.0,0.0301511056,,,,True,True
