candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_certified_flag,finite_zone_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,epsilon_abs,Q_R2Q_recon,Q_R2Q_reconstruction_error,E_theta_sign,Q_R2Q_gt_0p75,Q_delta_D_gt_0p75,E_theta_positive,E_theta_nonnegative,E_theta_negative,positive_harmless_bound,positive_subthreshold_bound,Q_R2Q_minus_Q_delta_D,Q_exc_plus_abs_epsilon,direct_threshold_sign_counterexample,direct_delta_counterexample,endpoint_sign_bridge_counterexample,positive_harmless_counterexample_0p305,positive_harmless_counterexample_0p75,thresholdtransfer_failure_flag,Q_R2Q_bin,Q_delta_D_bin
hexc_00092,93,1188839,1188838,1,1188839,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0717695715648134,0.0698348939319513,0.0,0.001934677632862,12.988487758598636,0.001934677632862,0.0717695715648133,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0019346776328620918,0.001934677632862,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00093,94,618119,618118,1,618119,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0765541684740735,0.073175253227646,3.1969133879196994e-16,0.0033789152464271,12.334436274537484,0.0033789152464271,0.07655416847407341,8.326672684688674e-17,positive,False,False,True,True,False,True,True,0.0033789152464274996,0.00337891524642742,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00099,100,6421,6420,1,6421,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1159896775054861,0.1098531528794008,0.0,0.0061365246260852,7.767329147794049,0.0061365246260852,0.115989677505486,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.006136524626085299,0.0061365246260852,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00100,101,1510643,1510642,1,1510643,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.070535407834942,0.0686864351030437,0.0,0.0018489727318982,13.228045945966745,0.0018489727318982,0.0705354078349419,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0018489727318982963,0.0018489727318982,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00105,106,479,478,1,479,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1648068982246287,0.1535407636762682,4.663591625904842e-17,0.0112661345483604,5.171700597410915,0.0112661345483604,0.16480689822462866,5.551115123125783e-17,positive,False,False,True,True,False,True,True,0.011266134548360507,0.011266134548360446,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00106,107,231701,231700,1,231701,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0810551545684911,0.078831748748131,0.0,0.0022234058203601,11.35320302633692,0.0022234058203601,0.08105515456849109,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.002223405820360111,0.0022234058203601,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00111,112,3459077,3459076,1,3459077,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.067178289113327,0.0649900997036011,0.0,0.0021881894097258,14.056512348440547,0.0021881894097258,0.0671782891133269,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.002188189409725899,0.0021881894097258,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00113,114,359419,359416,3,359477,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0897827713986883,0.087981785829136,0.0146636407876059,-0.0128626552180536,22.58448267109209,0.0128626552180536,0.0897827713986883,0.0,positive,False,False,True,True,False,True,True,0.0018009855695522992,0.0275262960056595,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00114,115,3453551,3453550,1,3453551,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0680235969848095,0.0649968500806915,0.0,0.0030267469041179,14.054913535029169,0.0030267469041179,0.0680235969848094,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0030267469041179995,0.0030267469041179,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00118,119,1513271,1513270,1,1513271,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0705260023814927,0.0686782402480672,0.0,0.0018477621334255,13.2297840910738,0.0018477621334255,0.07052600238149269,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0018477621334255095,0.0018477621334255,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
