row_id,candidate_id,block_id,source,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,finite_certificate_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,Q_exc,Q_O2,accumulation_proxy,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,near_forbidden_flag,forbidden_flag,known_pstar_110312593_flag,finite_certification_mode,finite_certification_pass_flag,failure_type,status
finite_00071,cand_00071,72.0,theta,12843647.0,12843190.0,457.0,12843647.0,12843647.0,False,True,True,True,False,-113.26485440576494,negative,-0.0197754667444977,0.0679786634633438,0.0081632419242064,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00072,cand_00072,73.0,theta,40882169.0,40877269.0,4900.0,40882169.0,40882169.0,False,True,True,True,False,-220.51959869872007,negative,-0.0102558911015828,0.1837301433813745,0.0069729630121156,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00073,cand_00073,74.0,theta,1186291.0,1186290.0,1.0,1186291.0,1186291.0,False,True,True,True,False,12.986342191006576,positive,0.0663863120997883,0.0716803042452162,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00074,cand_00074,75.0,theta,113195507.0,113182659.0,12848.0,113195507.0,113195507.0,False,True,True,True,False,-330.4150379443963,negative,-0.0084762905367088,0.2647255241959858,0.0052963922956069,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00075,cand_00075,76.0,theta,2879.0,2878.0,1.0,2879.0,2879.0,False,True,True,True,False,6.965198290612176,positive,0.1097843161595848,0.1282261417306278,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00076,cand_00076,77.0,theta,39674417.0,39673239.0,1178.0,39674417.0,39674417.0,False,True,True,True,False,-198.21267981504025,negative,-0.0188655933333372,0.0933658727593846,0.0048863359951688,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00077,cand_00077,78.0,theta,3441797.0,3441229.0,568.0,3441797.0,3441797.0,False,True,True,True,False,-56.25170384278789,negative,-0.0104184161572551,0.0865309897820664,0.0054337359968187,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00078,cand_00078,79.0,theta,109546081.0,109535495.0,10586.0,109546081.0,109546081.0,False,True,True,True,False,-330.4584709322444,negative,-0.0093724045147303,0.2408302537232801,0.0043289464415077,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00079,cand_00079,80.0,theta,1198513.0,1198510.0,3.0,1198513.0,1198607.0,False,True,True,True,False,24.993182690643494,positive,0.073656563386218,0.0831464357639209,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00080,cand_00080,81.0,theta,1512197.0,1512196.0,1.0,1512197.0,1512197.0,False,True,True,True,False,13.22907411823977,positive,0.0653395541194198,0.0705955645536329,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
