block_id,source_row,p_star,y,h,carrier_count,weighted_discrepancy,signed_weighted_discrepancy,small_q_le_13_discrepancy,tail_q_gt_13_discrepancy,top_component_q,top_component_abs,denom_sqrt_h_log2p,Q_LAN,h_bin,scale_bin
88,88,3290641,3290318,323,38,0.08323858581354336,0.0827621650313352,0.08322166950809556,1.69163054481852e-05,3,0.08235493681315355,4047.3006386062534,2.0566444958288984e-05,257<=h<=1024,p<100M
90,90,179641471,179630689,10782,1086,0.08411633777806653,-0.03188793028651407,0.08408839783718679,2.7939940880509518e-05,3,0.05573932043344282,37510.49169286766,2.242474944524937e-06,8193<=h<=65536,100M<=p<500M
91,91,179602723,179595316,7407,732,0.051138179456932116,0.04129954116966531,0.051092107498389445,4.607195854303658e-05,3,0.036708548903670625,31089.547940237317,1.644867257485821e-06,1025<=h<=8192,100M<=p<500M
95,95,178011341,178005997,5344,524,0.3724900785048226,-0.32138637615156856,0.3724706288357075,1.9449669117503714e-05,3,0.34682490640107566,26382.72377242652,1.4118711991902996e-05,1025<=h<=8192,100M<=p<500M
96,96,3438637,3438262,375,46,0.19538464887572923,0.19154985261964116,0.19536827996963446,1.6368906095800604e-05,3,0.19326006970948997,4386.543471100524,4.454182436876886e-05,257<=h<=1024,p<100M
97,97,30981239,30980149,1090,106,0.09043999026172446,0.0896390366770123,0.09040598896000118,3.4001301723532533e-05,3,0.08060412198756851,9822.80843096036,9.207141816658873e-06,1025<=h<=8192,p<100M
98,98,33843191,33842396,795,70,0.03071317851500549,-0.02864107783354835,0.030697646440533716,1.5532074471909508e-05,3,0.02958008715705635,8475.081958908948,3.6239388201691677e-06,257<=h<=1024,p<100M
99,99,4991101,4990677,357,44,0.1672707439638339,0.1663275510073331,0.16725260827783353,1.813568600140425e-05,3,0.16553378648540581,4494.49845025331,3.7216776424610075e-05,257<=h<=1024,p<100M
102,102,33477793,33476547,1246,126,0.08351072369831984,0.08319316627201613,0.08349270597888787,1.8017719432465913e-05,3,0.08008917645063186,10596.814623892416,7.88073837868504e-06,1025<=h<=8192,p<100M
103,103,33824779,33823778,1001,114,0.0407660485476758,-0.02078296282102663,0.04072633436567857,3.971418199749582e-05,3,0.0307129673383173,9509.334343228942,4.2869508081502036e-06,257<=h<=1024,p<100M
104,104,30358319,30357034,1285,130,0.03338109291675985,-0.029375523690566327,0.03335282463199656,2.8268284763663704e-05,3,0.031124923767866696,10640.21954391273,3.137256029257138e-06,1025<=h<=8192,p<100M
105,105,604432601,604410439,22162,2124,0.22970133380255361,0.2283370176152346,0.22956349455061736,0.00013783925193801722,3,0.2230905617550939,60863.681401035305,3.7740295774919447e-06,8193<=h<=65536,p>=500M
108,108,39634747,39633125,1622,166,0.26296431267698833,0.22854273773258146,0.26292694055927995,3.7372117710231753e-05,3,0.24572595204342482,12327.189698576536,2.1332056949472737e-05,1025<=h<=8192,p<100M
109,109,33492847,33491912,935,92,0.23413361289779722,0.20561779667049235,0.2341102492228063,2.3363674992067993e-05,3,0.21985347275231326,9180.041793874834,2.5504634745129083e-05,257<=h<=1024,p<100M
110,110,39655321,39654336,985,98,0.028027162194060404,0.026637325307142,0.028011282994030967,1.5879200029599233e-05,3,0.025254544646787655,9606.883714235315,2.917404126848151e-06,257<=h<=1024,p<100M
111,111,30780011,30777698,2313,252,0.020609661799869814,-0.019758372973502403,0.020577001117253475,3.266068261656833e-05,5,0.013665079422776352,14298.222183973307,1.4414142915593324e-06,1025<=h<=8192,p<100M
113,113,30784249,30783029,1220,126,0.14018999579431327,0.13126273589961449,0.14017014770534492,1.9848088969479428e-05,3,0.1356447320061874,10384.392045996461,1.3500067714446636e-05,1025<=h<=8192,p<100M
116,116,12830269,12829371,898,104,0.22799939371781539,0.21109587820337763,0.22797292410915343,2.6469608663237535e-05,3,0.2195445054301511,8027.738060865798,2.8401449074339314e-05,257<=h<=1024,p<100M
117,117,17992327,17991472,705,84,0.0036699824749217087,-0.003650281605700242,0.0036537052433256393,1.6277231596085226e-05,3,0.002162771255134446,7409.880863717906,4.952822511481373e-07,257<=h<=1024,p<100M
118,118,179650181,179648340,1841,154,0.0949208584675025,-0.08105145944647002,0.09490719880343244,1.3659664070709101e-05,3,0.08729841396774615,15500.018024528928,6.123919231402784e-06,1025<=h<=8192,100M<=p<500M
120,120,108561281,108557409,3872,390,0.41656881418825914,0.397459728980367,0.4165491089234066,1.9705264853906393e-05,3,0.4066252286964003,21303.147501672913,1.9554331779167676e-05,1025<=h<=8192,100M<=p<500M
121,121,108842081,108840439,1642,154,0.09464379111807587,-0.08070321948400076,0.09460460243842887,3.918867964767205e-05,3,0.08729841396774615,13876.627601038987,6.820374073524146e-06,1025<=h<=8192,100M<=p<500M
125,125,33827861,33826320,1541,166,0.030104336246699448,0.02105479403967172,0.03006721802899704,3.7118217702577346e-05,3,0.02350372982120261,11798.830513831439,2.5514678095773115e-06,1025<=h<=8192,p<100M
128,128,187449539,187440181,9358,942,0.5748961507968756,0.5439141083798092,0.5748172129425114,7.893785436822395e-05,3,0.5590793985436117,35102.39969381473,1.637768801596137e-05,8193<=h<=65536,100M<=p<500M
129,129,40874291,40872504,1787,188,0.11126326187115203,0.10145551259139483,0.1112343775109607,2.888436019173248e-05,3,0.10627062306390576,12984.59708238197,8.568865184281963e-06,1025<=h<=8192,p<100M
130,130,109678603,109674416,4187,426,0.15565832977986896,-0.146594916392654,0.15561887092282256,3.945885704757444e-05,3,0.14985722882564148,22177.272130943267,7.018822191512168e-06,1025<=h<=8192,100M<=p<500M
133,133,30343471,30342328,1143,118,0.3097081465936833,0.3066594848009139,0.3096901802228874,1.796637079827429e-05,3,0.30251737688762875,10034.54017714075,3.086420913428758e-05,1025<=h<=8192,p<100M
135,135,12831293,12830878,349,42,0.09156040047021165,-0.07733902313679712,0.09154397840229826,1.6422067913761616e-05,3,0.08441471896090055,5004.629986494569,1.829513884488871e-05,257<=h<=1024,p<100M
139,139,109556411,109553597,2814,290,0.04393399947757187,-0.04270023521780998,0.04390585825331022,2.8141224262119428e-05,3,0.035244488063360294,18178.849344311962,2.416764595242026e-06,1025<=h<=8192,100M<=p<500M
150,150,108590687,108589025,1662,160,0.11341842129489318,0.10337064548208122,0.11340661990648794,1.1801388405713527e-05,3,0.10699154681561711,13957.39352890752,8.12604595979825e-06,1025<=h<=8192,100M<=p<500M
153,153,108849263,108847420,1843,168,0.06551513906720213,-0.05533235957895133,0.06547619347850504,3.894558869777891e-05,3,0.059881098065824444,14701.549882292638,4.456342330689378e-06,1025<=h<=8192,100M<=p<500M
154,154,12801751,12800706,1045,122,0.19349079413886083,0.19202123089833817,0.19347434804738578,1.644609147634678e-05,3,0.19130327666913022,8657.551325414432,2.234936725940791e-05,1025<=h<=8192,p<100M
155,155,109764139,109762638,1501,134,0.2517546752015064,0.24152074753808508,0.2517382231307836,1.6452070725133362e-05,3,0.24654986490252362,13279.556354871775,1.895806369383319e-05,1025<=h<=8192,100M<=p<500M
156,156,33871261,33870647,614,58,0.02971796418869631,0.02937030711986816,0.029692385206895336,2.557898180109981e-05,3,0.026284435720661154,7448.7957023873205,3.989633408682665e-06,257<=h<=1024,p<100M
159,159,178905659,178902349,3310,314,0.060832842113342535,-0.01644143685398828,0.060776076501173004,5.676561216989484e-05,3,0.035862422707684985,20774.44831960572,2.928253072113209e-06,1025<=h<=8192,100M<=p<500M
160,160,33870121,33869043,1078,114,0.03686620717001404,0.013260484065858166,0.03684389134573522,2.231582427906734e-05,3,0.024842588217238254,9869.827714381128,3.735243231885095e-06,1025<=h<=8192,p<100M
161,161,108572459,108571084,1375,126,0.08971138407882703,-0.08365923121447058,0.08968090398664967,3.0480092177925323e-05,3,0.0865774902160348,12694.987642197459,7.0666775429249885e-06,1025<=h<=8192,100M<=p<500M
