candidate_id,x,selected_block_id,p_star,h,pstar_over_x,h_over_x,scale_ratio,pstar_comparable_flag,h_short_flag,scale_positive_flag,geometry_pass_flag
cand_00156,1184609,theta_local:157:1184608:1,1184609,1.0,1.0,8.441603938514733e-07,0.0009187820165041723,True,True,True,True
cand_00157,60127,theta_local:158:60126:1,60127,1.0,1.0,1.663146340246478e-05,0.004078169123818283,True,True,True,True
cand_00158,178905659,theta_local:159:178902349:3310,178905659,3310.0,1.0,1.8501371161210725e-05,0.004301322024821058,True,True,True,True
cand_00159,33870121,theta_local:160:33869043:1078,33870121,1078.0,1.0,3.182746232291287e-05,0.005641583317023056,True,True,True,True
cand_00160,108572459,theta_local:161:108571084:1375,108572459,1375.0,1.0,1.2664353489497736e-05,0.0035587010958350713,True,True,True,True
cand_00161,1198751,theta_local:162:1198750:1,1198751,1.0,1.0,8.342015981634217e-07,0.0009133463735973454,True,True,True,True
cand_00162,109511267,theta_local:163:109509400:1867,109511267,1867.0,1.0,1.704847410814816e-05,0.0041289797902324685,True,True,True,True
cand_00163,39637237,theta_local:164:39636755:482,39637237,482.0,1.0,1.2160282514141942e-05,0.0034871596628405104,True,True,True,True
cand_00164,40844717,theta_local:165:40842945:1772,40844717,1772.0,1.0,4.338382366561629e-05,0.006586639785627895,True,True,True,True
cand_00165,30799294,theta_local:166:30798784:510,30799397,510.0,1.000003344232501,1.6558821121029592e-05,0.004069254718884241,True,True,True,True
cand_00166,109682107,theta_local:167:109679748:2359,109682107,2359.0,1.0,2.1507610170180264e-05,0.0046376298008983284,True,True,True,True
cand_00167,1196593,theta_local:168:1196592:1,1196593,1.0,1.0,8.357060420711136e-07,0.000914169591526164,True,True,True,True
cand_00168,359837,theta_local:169:359836:1,359837,1.0,1.0,2.7790360635509967e-06,0.0016670441096596684,True,True,True,True
cand_00169,17641579,theta_local:170:17641576:3,17641879,3.0,1.0000170052805364,1.7005280536396431e-07,0.00041237543403497943,True,True,True,True
cand_00170,33862193,theta_local:171:33861455:738,33862193,738.0,1.0,2.1794217521588163e-05,0.0046684277355002685,True,True,True,True
cand_00171,1198363,theta_local:172:1198360:3,1198397,3.0,1.0000283720375212,2.5034150753986897e-06,0.0015822248176917265,True,True,True,True
cand_00172,30850279,theta_local:173:30850276:3,30850439,3.0,1.0000051863388335,9.724385312690364e-08,0.0003118396544880055,True,True,True,True
cand_00173,30825511,theta_local:174:30824836:675,30825511,675.0,1.0,2.1897447215068065e-05,0.004679470826393522,True,True,True,True
cand_00174,12776941,theta_local:175:12776609:332,12776941,332.0,1.0,2.598431032905294e-05,0.005097480782607516,True,True,True,True
cand_00175,30359687,theta_local:176:30358683:1004,30359687,1004.0,1.0,3.3070169662816355e-05,0.005750666888528352,True,True,True,True
cand_00176,110319577,theta_local:177:110315160:4417,110319577,4417.0,1.0,4.003822458456308e-05,0.0063275765174799015,True,True,True,True
cand_00177,109496207,theta_local:178:109495510:697,109496207,697.0,1.0,6.365517300521652e-06,0.002522997681434062,True,True,True,True
