candidate_id,block_id,x,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,L_total,lambda_event_count,prime_event_count,prime_power_event_count,lambda_event_weight_sum,lambda_event_weight_sq_sum,lambda_event_weight_max,first_lambda_event_offset,last_lambda_event_offset,lambda_event_span,max_lambda_gap,mean_lambda_gap,min_lambda_gap,K_prime,E_prime,C_prime,B_prime_abs_max,B_prime_abs_mean,B_prime_abs_q95,B_prime_abs_q99,B_prime_effective_support,B_prime_effective_support_frac,B_prime_peak_offset,B_prime_peak_position_fraction,linear_mass_slope,lambda_density,prime_density,single_shock_bound_K,event_l2_bound_K,total_mass_bound_K,event_count_log_bound_K,single_shock_bound_pass_flag,event_l2_bound_pass_flag,total_mass_bound_pass_flag,event_count_log_bound_pass_flag,K_prime_above_65_flag,K_prime_component,E_prime_component,C_prime_component,B_prime_abs_max_component,K_comp,K_total,post_P0_flag_component,component_proof_source,Q_R2Q,Q_delta_D,Q_exc,E_theta,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,row_status,K_prime_component_delta
hexc_00010,11,211,210,1,211,False,2,2.0,5.351858133476067,1,1,0,5.351858133476067,28.642385480853928,5.351858133476067,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.351858133476067,1.0,1.0,57.284770961707856,57.284770961707856,57.284770961707856,57.284770961707856,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.1912764152417241,0.1755617761599286,0.0,4.351858133476067,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00011,12,3279709,3278912,797,3279709,False,37,0.04642409033877039,630.1317191179364,42,42,0,630.1317191179365,9453.951986851174,15.003265256912323,5,797,792,90,19.317073170731707,2,32.84926768012791,26180.86634106194,5.731428066383448,72.54869737027225,19.060721692565657,58.15546022792866,69.41100038933183,4.9742175513942986,0.1344383121998459,98,0.12296110414052698,0.790629509558264,0.05269761606022585,0.05269761606022585,10.449968418648782,438.8911210959767,18433.42708560284,438.8986735832488,True,False,False,False,False,32.84926768012791,26180.86634106194,5.731428066383448,72.54869737027225,0.000669809220093,32.745374624015376,False,smallness_driven,0.1060058846880691,0.0733688760483797,0.0114062615417102,-166.86828088206357,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00012,13,42899,42898,1,42899,False,2,2.0,10.666603794621116,1,1,0,10.666603794621116,113.77643651142559,10.666603794621116,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.666603794621116,1.0,1.0,227.55287302285117,227.55287302285117,227.55287302285117,227.55287302285117,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0968247715409328,0.0909085751563544,0.0,9.666603794621116,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00013,14,1195669,1195386,205,1195669,False,32,0.15609756097560976,223.90523282037472,16,16,0,223.9052328203747,3133.3470803107293,13.994149508948125,1,203,202,42,13.466666666666667,2,34.13933734207035,6998.564155124421,5.84288775710011,35.70230736652485,12.025192352092592,28.903114851395145,33.967004927770006,5.490556676637857,0.17157989614493302,148,0.7219512195121951,1.0922206479042669,0.07804878048780488,0.07804878048780488,30.569556367421356,489.10783692655286,7825.725390727212,489.1175790921942,True,False,False,False,False,34.13933734207035,6998.564155124421,5.84288775710011,35.70230736652485,0.0017410735459059,34.063658568677994,False,smallness_driven,0.0899443884131837,0.0648220454203745,0.0127144572989962,18.90523282037472,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00014,15,43133,43132,1,43133,False,2,2.0,10.672043644375696,1,1,0,10.672043644375696,113.8925155474597,10.672043644375696,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.672043644375696,1.0,1.0,227.7850310949194,227.7850310949194,227.7850310949194,227.7850310949194,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0943896668138165,0.0908636843222885,0.0,9.672043644375696,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00015,16,58309,58308,1,58309,False,2,2.0,10.973511734352114,1,1,0,10.973511734352114,120.41795978396352,10.973511734352114,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.973511734352114,1.0,1.0,240.83591956792705,240.83591956792705,240.83591956792705,240.83591956792705,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0939517191622745,0.0884432993920433,0.0,9.973511734352114,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00016,17,59333,59332,1,59333,False,2,2.0,10.990920922612803,1,1,0,10.990920922612803,120.80034272712787,10.990920922612803,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.990920922612803,1.0,1.0,241.60068545425574,241.60068545425574,241.60068545425574,241.60068545425574,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0929815072257821,0.0883074552338765,2.3527838405727803e-16,9.990920922612805,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00017,18,3241093,3239129,1964,3241093,False,39,0.01985743380855397,1798.9329586309354,120,120,0,1798.9329586309354,26967.998250459194,14.991421176559264,12,1964,1952,110,16.403361344537814,2,10.994680462888994,21593.552429113985,3.315822742983858,80.96581448573306,14.484455998853276,46.10647884884235,80.77873887543727,3.2939781750263353,0.08446097884682911,1581,0.804989816700611,0.9159536449241016,0.06109979633401222,0.06109979633401222,4.462813465797654,535.5152402076927,64261.82881685202,535.5376158957184,True,False,False,False,False,10.994680462888994,21593.552429113985,3.315822742983858,80.96581448573306,0.0004926170909386,11.07006202948254,False,smallness_driven,0.159654089699117,0.1401120285534746,0.0081749848918229,-165.06704136906455,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00018,19,1515197,1513853,1344,1515197,False,37,0.027529761904761904,1280.7534468789759,90,90,0,1280.7534468789759,18225.88213538116,14.231056021475348,6,1344,1338,42,15.03370786516854,2,13.194484781289816,17733.387546053513,3.632421338623841,76.86302337523387,14.001333294536465,43.32127533148964,68.35613503157242,3.0016273835476786,0.08112506442020753,890,0.6622023809523809,0.9529415527373333,0.06696428571428571,0.06696428571428571,5.5754087447884535,501.75419569129684,45157.87759867409,501.7867870309608,True,False,False,False,False,13.194484781289816,17733.387546053513,3.632421338623841,76.86302337523387,0.0003631545595759,13.22615587488372,False,smallness_driven,0.1510851987794436,0.1353288100910507,0.0103425912084517,-63.24655312102391,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00019,20,58511,58510,1,58511,False,2,2.0,10.97697004973177,1,1,0,10.97697004973177,120.4938714727083,10.97697004973177,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.97697004973177,1.0,1.0,240.9877429454166,240.9877429454166,240.9877429454166,240.9877429454166,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0923670994574258,0.0884162808823417,0.0,9.97697004973177,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
