candidate_id,block_id,x,y,h,p_star,right_endpoint,post_P0_flag,finite_certificate_flag,E_theta,E_theta_sign,Q_R2Q,near_forbidden_flag,forbidden_flag,channel_inferred,channel_full,C_minus_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,D_left,D_right,D_mid_proxy,endpoint_line_left,endpoint_line_right,bridge_excursion_raw,bridge_excursion_absmax,Q_exc,Q_exc_source,V2,sqrt_V2,Q_exc_over_sqrt_V2,variance_proxy_source,endpoint_exclusion_flag,endpoint_exclusion_Q,endpoint_exclusion_harmful_flag,valid_scale_flag,bridge_rigidity_pass_flag,failure_type,status
hexc_00037,38,155921,155920,1,156007,155921,False,True,10.957104747706284,positive,0.0868104441327406,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00038,39,39690667,39682692,7975,39690667,39690667,False,True,-364.0109776889212,negative,0.2349256240499423,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3641.029352975941,-9613.98205726598,,-3641.029352975941,-9613.98205726598,188.65092151155025,188.65092151155025,0.0069005695359736,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3341849836687848,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00039,40,30417481,30409154,8327,30417481,30417481,False,True,-228.7179970545885,negative,0.24963148266117,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3185.022130148648,-9573.033681058874,,-3185.022130148648,-9573.033681058874,231.2263682727644,231.2263682727644,0.0085348501864403,existing_o2p3,0.0004263792000474,0.0206489515483821,0.4133309222234593,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00040,41,604672261,604520611,151650,604672261,604672261,True,False,-1617.0683062109456,negative,0.7568596623500748,True,False,negative_transfer,negative_transferred_repaid,True,True,True,True,-13895.06128730599,-132784.31185344377,,-13895.06128730599,-132784.31185344377,234.02143940953465,234.02143940953465,0.0014698183580815,existing_o2p3,0.0004263792000474,0.0206489515483821,0.07118125850785215,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00041,42,7117417,7115469,1948,7117417,7117417,False,True,-117.76229972501552,negative,0.1460888226947264,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1505.373515836785,-2935.478994847477,,-1505.373515836785,-2935.478994847477,83.96168172265811,83.96168172265811,0.007641518998895,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3700681354687828,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00042,43,12781267,12779528,1739,12781267,12781267,False,True,-151.7480364006467,negative,0.1300675391522673,False,False,neutral,negative_transferred_repaid,True,True,True,True,-2025.7534664814043,-3255.654084869332,,-2025.7534664814043,-3255.654084869332,59.99064002851856,59.99064002851856,0.0053725661686165,existing_o2p3,0.0004263792000474,0.0206489515483821,0.26018590609930775,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00043,44,109588091,109577354,10737,109588091,109588091,False,True,-629.3445955758762,negative,0.2415685632788372,False,False,neutral,negative_transferred_repaid,True,True,True,True,-5924.212674655511,-13826.417254912514,,-5924.212674655511,-13826.417254912514,235.6779201208592,235.6779201208592,0.0066368119233886,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3214115693883069,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00044,45,12836777,12833438,3339,12836777,12836777,False,True,-163.66723291570224,negative,0.1752468754780604,False,False,neutral,negative_transferred_repaid,True,True,True,True,-2020.026918484228,-4509.468817140625,,-2020.026918484228,-4509.468817140625,94.22200439377092,94.22200439377092,0.0060864238556851,existing_o2p3,0.0004263792000474,0.0206489515483821,0.29475704088045995,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00045,46,618029,618028,1,618029,618029,False,True,12.3342906609052,positive,0.0748436752518515,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00046,47,12807413,12805898,1515,12807413,12807413,False,True,-205.7621329185172,negative,0.1184377830877646,False,False,neutral,negative_transferred_repaid,True,True,True,True,-2004.667713167148,-3002.6634605183744,,-2004.667713167148,-3002.6634605183744,69.99762783200504,69.99762783200504,0.006714545286013,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3251760880101006,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00047,48,3440630,3439819,811,3440807,3440630,False,True,46.90968440981942,positive,0.1225172337511368,False,False,positive_harmless,positive_harmless,False,True,True,True,-1059.9835425069589,-1751.6610990375343,,-1059.9835425069589,-1751.6610990375343,57.48108875473781,57.48108875473781,0.0089098695882727,existing_o2p3,0.0004263792000474,0.0206489515483821,0.43149259018774794,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00048,49,33902159,33888759,13400,33902159,33902159,False,True,-291.8733586694325,negative,0.3075518627750951,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3286.909262209392,-13643.06508801648,,-3286.909262209392,-13643.06508801648,173.36115126700133,173.36115126700133,0.0049814047227133,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2412425013948762,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00049,50,3457967,3457512,455,3457967,3457967,False,True,-93.6529697629686,negative,0.0793601948576568,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1032.5412923104789,-1300.260569031474,,-1032.5412923104789,-1300.260569031474,30.359882641400645,30.359882641400645,0.006278619086263,existing_o2p3,0.0004263792000474,0.0206489515483821,0.304064788546368,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00050,51,12842173,12840082,2091,12842173,12842173,False,True,-192.29332879440085,negative,0.1392439305539144,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1989.409656565634,-3458.407842659707,,-1989.409656565634,-3458.407842659707,61.318915110935,61.318915110935,0.0050051051752984,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2423902813453288,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00051,52,1512479,1512478,1,1512479,1512479,False,True,13.229260584493224,positive,0.0713499660129912,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00052,53,356173,356170,3,356243,356173,False,True,22.56633807844032,positive,0.0917954514179663,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00053,54,7112297,7110038,2259,7112297,7112297,False,True,-113.30394854654696,negative,0.1547550134720171,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1488.4660516560812,-3170.0701790061385,,-1488.4660516560812,-3170.0701790061385,36.23123036355423,36.23123036355423,0.0030623697626775,existing_o2p3,0.0004263792000474,0.0206489515483821,0.14830630773199935,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00054,55,12895717,12894136,1581,12895717,12895717,False,True,-156.60587200935356,negative,0.1217247995908262,False,False,neutral,negative_transferred_repaid,True,True,True,True,-2000.69471701668,-3100.31873499209,,-2000.69471701668,-3100.31873499209,87.99334457305758,87.99334457305758,0.0082557947953519,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3998166578098617,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00055,56,1511449,1511046,403,1511527,1511449,False,True,9.625130217388572,positive,0.0952884508457212,False,False,positive_harmless,positive_harmless,False,True,True,True,-710.2584342675988,-1040.2049989253685,,-710.2584342675988,-1040.2049989253685,31.371536904404707,31.371536904404707,0.007718928919738,existing_o2p3,0.0004263792000474,0.0206489515483821,0.37381699025502335,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00056,57,179620853,179616870,3983,179620853,179620853,False,True,-637.8829200418768,negative,0.1434186712486546,False,False,neutral,negative_transferred_repaid,True,True,True,True,-7469.839610700379,-9996.865200801432,,-7469.839610700379,-9996.865200801432,185.7346871182781,185.7346871182781,0.0081468555780067,existing_o2p3,0.0004263792000474,0.0206489515483821,0.39454088305248736,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00057,58,1188361,1188358,3,1188511,1188361,False,True,24.97616952660599,positive,0.0833294497303515,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00058,59,293,292,1,293,293,False,True,4.680172609017068,positive,0.1707575979731007,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00059,60,3290983,3290975,8,3291137,3290983,False,True,37.02008815604045,positive,0.0730965487832678,False,False,positive_harmless,positive_harmless,False,True,True,True,-997.1631099024464,-1040.539142616886,,-997.1631099024464,-1040.539142616886,13.100680718981152,13.100680718981152,0.0205672364492246,existing_o2p3,0.0004263792000474,0.0206489515483821,0.9960426514166575,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00060,61,1190071,1190068,3,1190143,1190071,False,True,24.97904537377347,positive,0.0832943901091022,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00061,62,113166227,113154493,11734,113166227,113166227,False,True,-570.3217879884924,negative,0.2503069484559692,False,False,neutral,negative_transferred_repaid,True,True,True,True,-5856.2186019128885,-14610.087699235217,,-5856.2186019128885,-14610.087699235217,155.79720659571103,155.79720659571103,0.0041822745120619,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2025417369139787,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00062,63,30816007,30813688,2319,30816007,30816007,False,True,-215.2921471839013,negative,0.1321516982536188,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3050.1645931153994,-4677.495358670547,,-3050.1645931153994,-4677.495358670547,108.02985084773992,108.02985084773992,0.0075446709207132,existing_o2p3,0.0004263792000474,0.0206489515483821,0.36537791776185097,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00063,64,604810421,604757400,53021,604810421,604810421,True,False,-1034.3984432700745,negative,0.4494568065190746,False,False,neutral,negative_transferred_repaid,True,True,True,True,-13652.919485136585,-54750.57469000804,,-13652.919485136585,-54750.57469000804,157.97632240264647,157.97632240264647,0.0016779826148503,existing_o2p3,0.0004263792000474,0.0206489515483821,0.08126236389865395,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
