metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,spectral_bound_over_h,spectral_tightness,rayleigh_over_h,top_eigenvalue_over_h,top_eigenvector_alignment,effective_rank,event_count,sample_count
rayleigh_over_h,14,hexc_00423,424,178907011,4,False,0.06250000003676842,45.13628574684368,194.21131057497533,4.302775635200693,0.06250000003676842,0.2689234773582496,0.2897841489699563,1.3157894736842108,2,5
rayleigh_over_h,15,hexc_00448,449,178913689,4,False,0.06250000003676699,45.1364651387445,194.21208245807975,4.302775635200792,0.06250000003676699,0.2689234773582496,0.2897841489699452,1.3157894736842108,2,5
rayleigh_over_h,16,hexc_00525,526,179146433,4,False,0.0625000000367167,45.142639412569515,194.2386489732154,4.302775635204254,0.0625000000367167,0.2689234773582496,0.28978414896956023,1.3157894736842108,2,5
rayleigh_over_h,17,hexc_00444,445,179382319,4,False,0.06250000003666589,45.14888968695817,194.26554250172617,4.302775635207752,0.06250000003666589,0.2689234773582496,0.2897841489691714,1.3157894736842108,2,5
rayleigh_over_h,18,hexc_00322,323,179438351,4,False,0.06250000003665383,45.150375852758906,194.27193713976092,4.302775635208582,0.06250000003665383,0.2689234773582496,0.2897841489690788,1.3157894736842108,2,5
rayleigh_over_h,19,hexc_00673,674,187509659,4,False,0.06250000003499508,45.359671130370074,195.17248776601042,4.302775635322779,0.06250000003499508,0.2689234773582496,0.289784148956378,1.3157894736842108,2,5
rayleigh_over_h,20,hexc_00662,663,604872131,4,True,0.06250000001022005,51.1087169203916,219.90934200484216,4.3027756370284,0.06250000001022005,0.2689234773582496,0.2897841487666825,1.3157894736842108,2,5
top_eigenvalue_over_h,1,hexc_00304,305,30386821,13,False,0.4890867504718154,73.9100313047598,580.75371466657,7.857576358909884,0.062243970421900996,0.4890867504718154,0.17464265053431005,1.863292916268869,4,12
top_eigenvalue_over_h,2,hexc_00355,356,33821677,7,False,0.45769404301912,55.20452323086658,412.6907602363456,7.475669312647868,0.061224490259990605,0.45769404301912,0.13232804383634733,1.7504553734061943,3,8
top_eigenvalue_over_h,3,hexc_00242,243,30781319,7,False,0.45769404301912,54.60627873649688,408.2184819041287,7.47566930671088,0.06122449030861354,0.45769404301912,0.13232804427735734,1.7504553734061943,3,8
top_eigenvalue_over_h,4,hexc_00059,60,3291137,8,False,0.4268955061452976,47.5033278218918,288.4117903765746,6.0714018070047855,0.07031251096785812,0.4268955061452976,0.289566221076704,1.6647922524211185,3,9
top_eigenvalue_over_h,5,hexc_00320,321,109471171,14,False,0.4123974346668557,36.46418346454122,565.254068380513,15.501624187750748,0.026603498425199126,0.4123974346668557,0.07073182590624083,2.131887243395501,4,14
top_eigenvalue_over_h,6,hexc_00245,246,12808469,16,False,0.3960070697976169,31.386703685806392,424.25535861264314,13.517040937449533,0.029296875819948328,0.3960070697976169,0.05407624171318626,2.1256449355586673,4,15
top_eigenvalue_over_h,7,hexc_00607,608,604715411,3,True,0.3333333333333333,30.285870598318812,272.57283538486934,9.0,0.037037037037037035,0.3333333333333333,8.178274724102153e-11,1.2195121951219514,2,4
top_eigenvalue_over_h,8,hexc_00679,680,604865039,3,True,0.3333333333333333,30.286611400725718,272.5795026065315,9.000000000000002,0.037037037037037035,0.3333333333333333,8.176159749240242e-11,1.2195121951219514,2,4
top_eigenvalue_over_h,9,hexc_00486,487,109567891,3,False,0.3333333333333333,25.384898559114717,228.46408703203238,8.999999999999998,0.03703703703703705,0.3333333333333333,4.930179042794691e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,10,hexc_00485,486,179621809,3,False,0.3333333333333333,26.75865279664806,240.82787516983254,9.0,0.037037037037037035,0.3333333333333333,2.929156917019782e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,11,hexc_00452,453,180641999,3,False,0.3333333333333333,26.7746028925046,240.97142603254133,8.999999999999998,0.03703703703703704,0.3333333333333333,2.9117452893245854e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,12,hexc_00634,635,109814437,3,False,0.3333333333333333,25.391063749181825,228.51957374263642,9.0,0.03703703703703704,0.3333333333333333,4.918511709028905e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,13,hexc_00536,537,109705961,3,False,0.3333333333333333,25.388354600598348,228.4951914053851,9.0,0.03703703703703704,0.3333333333333333,4.923634833176038e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,14,hexc_00519,520,179378513,3,False,0.3333333333333333,26.754839281508364,240.79355353357525,9.0,0.03703703703703704,0.3333333333333333,2.933336351595983e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,15,hexc_00512,513,33413579,3,False,0.3333333333333333,22.232392681297995,200.09153413168193,9.0,0.03703703703703704,0.3333333333333333,1.7274989216886638e-09,1.2195121951219514,2,4
top_eigenvalue_over_h,16,hexc_00558,559,179412683,3,False,0.3333333333333333,26.755376513433813,240.79838862090432,9.0,0.037037037037037035,0.3333333333333333,2.932747933392932e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,17,hexc_00344,345,31018529,3,False,0.3333333333333333,22.0419038514295,198.3771346628655,9.0,0.037037037037037035,0.3333333333333333,1.8689101377589168e-09,1.2195121951219514,2,4
top_eigenvalue_over_h,18,hexc_00349,350,178894987,3,False,0.3333333333333333,26.74723908352335,240.72515175171017,9.0,0.037037037037037035,0.3333333333333333,2.941684673629652e-10,1.2195121951219514,2,4
top_eigenvalue_over_h,19,hexc_00369,370,179411909,3,False,0.3333333333333333,26.755361636100748,240.79825472490674,9.0,0.03703703703703704,0.3333333333333333,2.932764031626789e-10,1.2195121951219514,2,4
