block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff,Q_delayed_proxy
21,30847123,30831334,15789,30833067,1733.0,-4539.436259115631,-4622.274889041841,82.83862992620925,82.83862992620925,0.3304370159663173
21,30847123,30831334,15789,30833618,2284.0,-4943.650556649601,-5045.3017476363675,101.65119098676678,101.65119098676678,0.3304370159663173
21,30847123,30831334,15789,30834344,3010.0,-5518.955390623044,-5602.683779105742,83.72838848269839,83.72838848269839,0.3304370159663173
21,30847123,30831334,15789,30835302,3968.0,-6270.456200134411,-6338.182382614918,67.7261824805073,67.7261824805073,0.3304370159663173
21,30847123,30831334,15789,30836564,5230.0,-7270.181169204187,-7307.075115003832,36.893945799644825,36.893945799644825,0.3304370159663173
21,30847123,30831334,15789,30838228,6894.0,-8601.103776903568,-8584.600873082401,-16.50290382116691,16.50290382116691,0.3304370159663173
21,30847123,30831334,15789,30840422,9088.0,-10254.53425025109,-10269.030869010514,14.496618759423654,14.496618759423654,0.3304370159663173
21,30847123,30831334,15789,30843312,11978.0,-12713.144422851745,-12487.810581058027,-225.3338417937175,225.3338417937175,0.3304370159663173
21,30847123,30831334,15789,30847123,15789.0,-15413.68237434975,-15413.68237434975,0.0,0.0,0.3304370159663173
3,30974597,30910184,64413,30910184,0.0,-4189.11794672998,-4189.11794672998,0.0,0.0,0.6666003015211243
3,30974597,30910184,64413,30910185,1.0,-4188.79459666498,-4189.896749493518,1.1021528285373279,1.1021528285373279,0.6666003015211243
3,30974597,30910184,64413,30910186,2.0,-4188.65088552498,-4190.675552257056,2.024666732075275,2.024666732075275,0.6666003015211243
3,30974597,30910184,64413,30910187,3.0,-4188.32753545998,-4191.4543550205935,3.1268195606135123,3.1268195606135123,0.6666003015211243
3,30974597,30910184,64413,30910188,4.0,-4188.221951765286,-4192.2331577841305,4.0112060188448595,4.0112060188448595,0.6666003015211243
3,30974597,30910184,64413,30910189,5.0,-4205.145198128901,-4193.011960547668,-12.133237581232606,12.133237581232606,0.6666003015211243
3,30974597,30910184,64413,30910191,7.0,-4204.821848063902,-4194.569566074744,-10.252281989157382,10.252281989157382,0.6666003015211243
3,30974597,30910184,64413,30910192,8.0,-4204.678136923902,-4195.348368838282,-9.329768085619435,9.329768085619435,0.6666003015211243
3,30974597,30910184,64413,30910193,9.0,-4204.354786858901,-4196.12717160182,-8.227615257081197,8.227615257081197,0.6666003015211243
3,30974597,30910184,64413,30910194,10.0,-4204.349403299027,-4196.905974365358,-7.443428933668656,7.443428933668656,0.6666003015211243
3,30974597,30910184,64413,30910197,13.0,-4203.495759127426,-4199.242382655971,-4.25337647145534,4.25337647145534,0.6666003015211243
3,30974597,30910184,64413,30910200,16.0,-4203.010796188724,-4201.578790946584,-1.432005242139894,1.432005242139894,0.6666003015211243
3,30974597,30910184,64413,30910201,17.0,-4202.687446123724,-4202.357593710122,-0.32985241360165674,0.32985241360165674,0.6666003015211243
3,30974597,30910184,64413,30910208,24.0,-4201.24682574761,-4207.809213054887,6.562387307276367,6.562387307276367,0.6666003015211243
3,30974597,30910184,64413,30910216,32.0,-4216.912599531445,-4214.039635163189,-2.872964368256362,2.872964368256362,0.6666003015211243
3,30974597,30910184,64413,30910229,45.0,-4248.617364658685,-4224.16407108918,-24.45329356950515,24.45329356950515,0.6666003015211243
3,30974597,30910184,64413,30910245,61.0,-4262.528842186168,-4236.624915305783,-25.90392688038446,25.90392688038446,0.6666003015211243
3,30974597,30910184,64413,30910248,64.0,-4262.061778440518,-4238.961323596397,-23.100454844120577,23.100454844120577,0.6666003015211243
3,30974597,30910184,64413,30910268,84.0,-4257.913633699722,-4254.537378867152,-3.3762548325694297,3.3762548325694297,0.6666003015211243
3,30974597,30910184,64413,30910299,115.0,-4268.687427251118,-4278.680264536823,9.992837285705718,9.992837285705718,0.6666003015211243
3,30974597,30910184,64413,30910312,128.0,-4318.038092381072,-4288.804700462814,-29.23339191825744,29.23339191825744,0.6666003015211243
3,30974597,30910184,64413,30910342,158.0,-4380.757264784054,-4312.1687833689475,-68.5884814151068,68.5884814151068,0.6666003015211243
3,30974597,30910184,64413,30910401,217.0,-4454.832357278418,-4358.118146417676,-96.71421086074224,96.71421086074224,0.6666003015211243
3,30974597,30910184,64413,30910481,297.0,-4507.135149851965,-4420.422367500698,-86.71278235126738,86.71278235126738,0.6666003015211243
3,30974597,30910184,64413,30910592,408.0,-4570.9069394211,-4506.86947425339,-64.03746516771025,64.03746516771025,0.6666003015211243
3,30974597,30910184,64413,30910744,560.0,-4677.649442910661,-4625.247494311131,-52.40194859952953,52.40194859952953,0.6666003015211243
3,30974597,30910184,64413,30910952,768.0,-4876.407742790916,-4787.238469126987,-89.16927366392883,89.16927366392883,0.6666003015211243
3,30974597,30910184,64413,30911238,1054.0,-5041.873823457437,-5009.976059498789,-31.897763958647374,31.897763958647374,0.6666003015211243
3,30974597,30910184,64413,30911630,1446.0,-5323.619931302477,-5315.266742805595,-8.353188496882467,8.353188496882467,0.6666003015211243
3,30974597,30910184,64413,30912168,1984.0,-5799.349425270607,-5734.262629588915,-65.08679568169191,65.08679568169191,0.6666003015211243
3,30974597,30910184,64413,30912907,2723.0,-6371.767489923991,-6309.797871843328,-61.96961808066317,61.96961808066317,0.6666003015211243
3,30974597,30910184,64413,30913920,3736.0,-7078.099972479302,-7098.725071307088,20.625098827786132,20.625098827786132,0.6666003015211243
